date,status,system,kernel,mesa_or_rocm,backend,driver,tool,build_or_version,model,quant,workload,n_prompt,n_gen,tps,stddev_tps,raw_evidence,notes
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,pp512,512,0,1116.65,6.72,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,pp2048,2048,0,1126.82,1.53,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,pp8192,8192,0,1148.64,2.34,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,pp16384,16384,0,1038.14,0.92,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,tg128,0,128,62.24,2.17,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b9010-vulkan-tg128-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3.6 35B-A3B,UD-Q4_K_M,pp512,512,0,1188.72,7.74,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3.6 35B-A3B,UD-Q4_K_M,pp2048,2048,0,1508.23,9.26,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3.6 35B-A3B,UD-Q4_K_M,pp8192,8192,0,1405.36,2.30,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3.6 35B-A3B,UD-Q4_K_M,pp16384,16384,0,1295.38,2.63,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3.6 35B-A3B,UD-Q4_K_M,tg128,0,128,52.72,0.03,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen36-b8460-hip-tg128-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
