checked_date,vendor,storefront,region,configuration,currency,listed_price,compare_at_price,fulfillment_state,source_url
2026-07-27,GMKtec,US official store,US,64GB RAM + 1TB SSD,USD,1999.99,2199.99,available; 128GB + 2TB selection unavailable,https://www.gmktec.com/products/amd-ryzen%E2%84%A2-ai-max-395-evo-x2-ai-mini-pc
2026-07-27,GMKtec,EU official store,EU,64GB RAM + 1TB SSD,EUR,1959.99,,available,https://de.gmktec.com/en/products/gmktec-evo-x2-amd-ryzen%E2%84%A2-ai-max-395-mini-pc-1
2026-07-27,GMKtec,EU official store,EU,128GB RAM + 1TB SSD,EUR,3229.99,,available,https://de.gmktec.com/en/products/gmktec-evo-x2-amd-ryzen%E2%84%A2-ai-max-395-mini-pc-1
2026-07-27,GMKtec,EU official store,EU,128GB RAM + 2TB SSD,EUR,3359.99,,available; page advertised GMKEVO50OFF for EUR 50 off,https://de.gmktec.com/en/products/gmktec-evo-x2-amd-ryzen%E2%84%A2-ai-max-395-mini-pc-1
2026-07-27,Bosgame,US official store,US,128GB RAM + 2TB SSD,USD,2899.00,3299.00,not recorded,https://www.bosgamepc.com/products/bosgame-m5-ai-mini-desktop-ryzen-ai-max-395
2026-07-27,Framework,US official store,US,Ryzen AI Max+ 395 128GB mainboard,USD,3149.00,,not recorded,https://frame.work/products/framework-desktop-mainboard-amd-ryzen-ai-max-300-series
2026-07-27,Beelink,US official store,US,128GB LPDDR5X-8000 + 2TB SSD,USD,4349.00,4699.00,pre-sale; orders ship within 35 days,https://www.bee-link.com/products/beelink-gtr9-pro-amd-ryzen-ai-max-395
2026-07-27,Corsair,US official store,US,128GB LPDDR5X-8000 + 4TB (2TB + 2TB) NVMe SSD,USD,3399.99,,out of stock,https://www.corsair.com/us/en/p/gaming-computers/cs-9080003-na/corsair-ai-workstation-300-amd-ryzen-ai-max-395-processor-amd-radeon-8060s-igpu-up-to-96gb-vram-128gb-lpddr5x-memory-4tb-2tb-2tb-m2-ssd-win11-home-cs-9080003-na
2026-07-27,Minisforum,US official store,US,128GB RAM + 2TB SSD Max AI Compute Edition,USD,3639.00,4549.00,estimated shipping mid-August,https://store.minisforum.com/products/minisforum-ms-s1-max-mini-pc?rdt_cid=4946120491028296516
2026-07-27,Nimo,US official store,US,128GB RAM + 2TB SSD,USD,3899.99,3899.99,available under pre-order selling plan,https://www.nimopc.com/products/nimos-smallest-office-gaming-ai-pc-amd-ryzen-ai-max-395-up-to-5-1-ghz-128gb-lpddr5-8000mhz-16gb-8-2tb-4tb-ssd-with-3-performance-modes-up-to-120w?variant=47338028007675
2026-07-27,HP,US official store,US,Ryzen AI Max+ PRO 395 + 128GB RAM + 1TB SSD,USD,11874.00,,MSRP shown for selected configuration,https://www.hp.com/us-en/shop/custom/hp-zbook-ultra-g1a-mobile-workstation-pc-customizable-14-inch-amd-ryzen-ai-128gb-ram-1tb-ssd-eclipse-gray-AY8K7AV_156618?catEntryId=3074457345621963823
