date,contributor,source,status,system,topology,backend,tool_build,model,quant,model_size_gb,nodes,fit_status,workload,pp512_tps,tg128_tps,pp_stddev,tg_stddev,tg_delta_vs_1n_pct,notes
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,17.7,1,fits,pp512/tg128 llama-bench r20,1391.602,94.998,11.131,0.444,0.00,Single-node baseline on ai-2.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV RPC,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,17.7,2,fits,pp512/tg128 llama-bench r20,1352.209,75.675,6.952,0.273,-20.34,2-node RPC costs single-stream tg throughput on a fits-on-one model.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV RPC,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,17.7,3,fits,pp512/tg128 llama-bench r20,1304.211,66.444,6.910,0.676,-30.06,3-node RPC is slower than 2-node RPC for this fits-on-one model.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,17.7,1,fits,pp512/tg128 llama-bench r20,1285.124,73.971,9.998,0.016,0.00,Single-node ROCm baseline.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2 RPC,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,17.7,2,fits,pp512/tg128 llama-bench r20,1242.453,57.922,7.390,0.529,-21.70,2-node RPC costs single-stream tg throughput on a fits-on-one model.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2 RPC,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,17.7,3,fits,pp512/tg128 llama-bench r20,1203.496,49.421,7.229,0.736,-33.19,3-node RPC is slower than 2-node RPC for this fits-on-one model.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-Next 80B,UD-Q8_K_XL,86.3,1,fits,pp512/tg128 llama-bench r20,709.754,40.106,9.960,0.244,0.00,Single-node baseline on larger fits-on-one model.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV RPC,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-Next 80B,UD-Q8_K_XL,86.3,2,fits,pp512/tg128 llama-bench r20,690.510,34.519,6.488,0.411,-13.93,Larger model amortizes 2-node RPC overhead better than 17.7GB model but still loses to one node.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV RPC,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-Next 80B,UD-Q8_K_XL,86.3,3,fits,pp512/tg128 llama-bench r20,679.932,29.426,5.381,0.358,-26.63,3-node RPC remains a substantial tg loss.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,Qwen3-Coder-Next 80B,UD-Q8_K_XL,86.3,1,fits,pp512/tg128 llama-bench r20,735.172,36.936,7.483,0.050,0.00,ROCm beats Vulkan on pp512 in this specific large-Q8 row; Vulkan still wins tg128.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2 RPC,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,Qwen3-Coder-Next 80B,UD-Q8_K_XL,86.3,2,fits,pp512/tg128 llama-bench r20,725.775,31.321,5.966,0.287,-15.20,Larger model amortizes 2-node RPC overhead better than 17.7GB model but still loses to one node.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2 RPC,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,Qwen3-Coder-Next 80B,UD-Q8_K_XL,86.3,3,fits,pp512/tg128 llama-bench r20,712.040,28.364,5.234,0.422,-23.21,3-node RPC remains a substantial tg loss.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,MiniMax-M2.7 230B,UD-Q4_K_XL,140.8,1,failed-load,pp512/tg128 llama-bench r5,,,,,,"Failed to load with RADV single allocation around 830472192 bytes, about 792 MiB."
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV RPC,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,MiniMax-M2.7 230B,UD-Q4_K_XL,140.8,2,failed-load,pp512/tg128 llama-bench r5,,,,,,"Failed on RPC follower with same RADV single allocation class; layer sharding did not rescue tensor allocation."
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,Vulkan/RADV RPC,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,MiniMax-M2.7 230B,UD-Q4_K_XL,140.8,3,skipped,pp512/tg128 llama-bench r5,,,,,,Skipped because 1-node and 2-node Vulkan/RADV failed with same expected root cause.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,MiniMax-M2.7 230B,UD-Q4_K_XL,140.8,1,failed-load,pp512/tg128 llama-bench r5,,,,,,Failed out of memory because 140.8GB model exceeds single-box practical memory ceiling.
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4413678896,community-reported,Corsair AI Workstation 300 x3,USB4 thunderbolt-net triangle mesh; 20Gbps per link; MTU 9000,ROCm 7.2 RPC,kyuz0 rocm-7.2 llama.cpp d6f303004 build 8738,MiniMax-M2.7 230B,UD-Q4_K_XL,140.8,2,exceeds-one-box,pp512/tg128 llama-bench r5,238.618,21.406,1.225,0.032,0.00,2-node ROCm makes the 140.8GB model usable.
