date,status,source,system,tool_route,model,quant,context_tokens,prompt_tokens_per_sequence,generation_tokens_per_sequence,concurrency,prompt_tps,aggregate_decode_tps,total_seconds,combined_tps,notes
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,1,1306.009155,89.140900,1.827963,350.116516,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,2,1303.817383,127.919151,2.786650,459.332855,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,4,1356.772095,181.606262,4.328751,591.394592,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,8,1383.890381,214.229614,7.739690,661.525208,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,9,1381.572876,143.053467,11.388262,505.783936,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,12,1379.005371,171.864700,13.392648,573.448975,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,16,1376.519409,208.839447,15.757818,649.836182,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,24,1376.983643,261.017334,20.693186,742.273315,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,stock-vulkan-b9946,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,32,1380.175049,321.973663,24.592495,832.774414,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
2026-07-10,measured-local,data/raw/2026-07-10/llamacpp-b9946-moe-concurrency,Beelink GTR9 Pro,patched-vulkan-b9946-flat-threshold,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,32768,512,128,1,932.203979,90.923424,1.957014,327.028809,"same-family issue #25356 reproducer; exact route details and caveats in raw README"
