date,status,source,run_group,run_id,repeat,system,backend,tool_route,build,model,quant,experts,experts_used,context_tokens,prompt_tokens_per_sequence,generation_tokens_per_sequence,concurrency,prompt_tps,aggregate_decode_tps,total_seconds,combined_tps,max_temp_c,avg_ppt_w,max_ppt_w,notes
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-48,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,48,1393.062378,344.075470,35.498257,865.394592,83.0,135.867,155.080,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-64,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,64,1416.811157,423.166901,42.486786,964.064453,84.0,139.738,154.084,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-low,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,1,1367.864868,93.573135,1.742220,367.347412,86.0,139.045,158.019,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-low,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,2,1410.441040,136.568726,2.600528,492.207733,86.0,139.045,158.019,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-low,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,4,1421.866821,184.237152,4.219387,606.723206,86.0,139.045,158.019,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-low,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,8,1415.846558,227.080490,7.402383,691.669189,86.0,139.045,158.019,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-low,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,9,1412.653320,234.539673,8.173696,704.699585,86.0,139.045,158.019,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-low,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,12,1413.705322,245.426422,10.604521,724.219421,86.0,139.045,158.019,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-low,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,16,1410.333496,227.539093,14.809206,691.461792,86.0,139.045,158.019,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
2026-07-13,measured-local,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate/discovery,discovery,30b-dense16-mid,0,Beelink GTR9 Pro,Vulkan/RADV,vulkan-b9979-density-dense16,b9979 4114ba18 + opt-in patch,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,128,8,65536,512,128,24,1420.139893,294.922729,19.068956,805.497681,94.0,148.869,173.034,"PPT is amdgpu sysfs APU/GPU telemetry, not wall power; each controlled run cooled below 50 C before high-DPM measurement"
