date,system,model,tool_route,concurrency,n,mean_aggregate_decode_tps,stddev_aggregate_decode_tps,min_aggregate_decode_tps,max_aggregate_decode_tps,max_temp_c,mean_avg_ppt_w,source
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,1,1,64.400,n/a,64.400,64.400,80.0,115.233,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,2,1,95.580,n/a,95.580,95.580,80.0,115.233,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,4,1,133.920,n/a,133.920,133.920,80.0,115.233,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,8,3,191.783,0.378,191.550,192.220,79.0,115.613,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,9,3,200.893,0.486,200.390,201.360,79.0,115.613,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,12,3,240.787,1.097,239.770,241.950,79.0,115.613,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,16,3,287.643,0.836,286.780,288.450,79.0,115.613,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,24,1,313.730,n/a,313.730,313.730,79.0,117.738,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,32,1,369.110,n/a,369.110,369.110,79.0,117.738,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,48,1,405.920,n/a,405.920,405.920,76.0,117.158,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,lemonade-rocm-b1259,64,1,425.850,n/a,425.850,425.850,79.0,121.229,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
