np,rep,request,phase,port,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
1,-1,0,warmup,18201,15,128,0.11506104469299316,1.5081381797790527,0.010969111299890233,84.87285960677185,True,
1,0,0,measure,18201,15,128,0.0833120346069336,1.4291210174560547,0.01059692112479623,89.56554304116935,True,
1,1,0,measure,18201,11,128,0.07852506637573242,1.4178171157836914,0.010545606688251646,90.27962674103327,True,
1,2,0,measure,18201,11,128,0.07464432716369629,1.4101839065551758,0.01051605968024787,90.7683029177952,True,
2,-1,0,warmup,18202,15,128,0.08363556861877441,1.4483911991119385,0.010746107326717828,88.37391450492207,True,
2,0,0,measure,18202,15,128,0.17519640922546387,2.1411943435668945,0.015480298695601816,59.77972078273476,True,
2,0,1,measure,18202,11,128,0.17479801177978516,2.1408424377441406,0.015480664771372877,59.789547209684805,True,
2,1,0,measure,18202,11,128,0.10894060134887695,2.1006932258605957,0.015683091531588336,60.9322667509255,True,
2,1,1,measure,18202,12,128,0.10826611518859863,2.1001791954040527,0.01568435496232641,60.94718025971785,True,
2,2,0,measure,18202,10,128,0.11458635330200195,2.0725419521331787,0.015416973219143124,61.75990786013045,True,
2,2,1,measure,18202,13,128,0.11405038833618164,2.0721428394317627,0.015418050796028197,61.77180335458971,True,
4,-1,0,warmup,18204,15,128,0.09544134140014648,1.5346133708953857,0.011332063224371962,83.40863075193793,True,
4,0,0,measure,18204,15,128,0.23962998390197754,3.3037071228027344,0.02412659164488785,38.74435452117495,True,
4,0,1,measure,18204,11,128,0.23897194862365723,3.303330898284912,0.024128810627253975,38.74876721144029,True,
4,0,2,measure,18204,11,128,0.23787355422973633,3.3028018474578857,0.024133293647465744,38.754974083146884,True,
4,0,3,measure,18204,12,128,0.2381730079650879,3.302767038345337,0.024130661656537395,38.75538253649494,True,
4,1,0,measure,18204,10,128,0.17801499366760254,3.211456775665283,0.023885368362186462,39.85730120047579,True,
4,1,1,measure,18204,13,128,0.17815017700195312,3.2113847732543945,0.02388373697836568,39.85819484044128,True,
4,1,2,measure,18204,13,128,0.1782839298248291,3.211275815963745,0.023881825875109574,39.85954721288416,True,
4,1,3,measure,18204,14,128,0.17870068550109863,3.2111616134643555,0.023877645102072888,39.86096478710315,True,
4,2,0,measure,18204,11,128,0.20238447189331055,3.2441728115081787,0.023951089288306047,39.455358094963586,True,
4,2,1,measure,18204,11,128,0.20244336128234863,3.2442033290863037,0.023950865888220117,39.45498694622506,True,
4,2,2,measure,18204,12,128,0.20315957069396973,3.2440459728240967,0.023943987418347457,39.45690075673308,True,
4,2,3,measure,18204,13,128,0.20270133018493652,3.2438230514526367,0.02394584032494252,39.45961230612734,True,
8,-1,0,warmup,18208,15,128,0.09585452079772949,1.599715232849121,0.011841422929538516,80.01424089213037,True,
8,0,0,measure,18208,15,128,0.3816792964935303,5.899420976638794,0.04344678488303357,21.697044592489522,True,
8,0,1,measure,18208,11,128,0.3811352252960205,5.8983800411224365,0.043442872565562334,21.700873647952015,True,
8,0,2,measure,18208,11,128,0.38086652755737305,5.898088216781616,0.043442690466332624,21.70194735911312,True,
8,0,3,measure,18208,12,128,0.3809940814971924,5.898489952087402,0.04344484937472606,21.700469279379274,True,
8,0,4,measure,18208,10,128,0.380359411239624,5.89723539352417,0.04343996836444524,21.705085766214868,True,
