np,rep,request,phase,port,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
1,-1,0,warmup,18101,24,128,0.11272668838500977,2.154486894607544,0.016076852017500268,59.4108974718624,True,
1,0,0,measure,18101,24,128,0.11786890029907227,2.1577017307281494,0.016061675830150213,59.32237907451854,True,
1,1,0,measure,18101,24,128,0.11690831184387207,2.163853168487549,0.016117676036564384,59.15373642910676,True,
1,2,0,measure,18101,24,128,0.11665558815002441,2.163775682449341,0.016119055860624537,59.15585475806214,True,
2,-1,0,warmup,18102,24,128,0.11183285713195801,2.1504950523376465,0.016052458229966052,59.52117855879767,True,
2,0,0,measure,18102,24,128,0.25916528701782227,2.8768553733825684,0.02061173296350194,44.49302567806851,True,
2,0,1,measure,18102,24,128,0.25953245162963867,2.877243757247925,0.020611900044238473,44.487019800655204,True,
2,1,0,measure,18102,24,128,0.1664586067199707,2.74524188041687,0.020305380107849602,46.626128252335626,True,
2,1,1,measure,18102,24,128,0.16688275337219238,2.7456278800964355,0.020305079737986165,46.61957322326732,True,
2,2,0,measure,18102,24,128,0.1681058406829834,2.711243152618408,0.02002470324358602,47.210815406350704,True,
2,2,1,measure,18102,24,128,0.16850614547729492,2.711622953414917,0.020024541794784426,47.204202870019806,True,
4,-1,0,warmup,18104,24,128,0.11363935470581055,2.152334451675415,0.016052717298973264,59.470311363720704,True,
4,0,0,measure,18104,24,128,0.2161092758178711,4.004289150238037,0.029828187987560362,31.96572355230415,True,
4,0,1,measure,18104,24,128,0.21594953536987305,4.004503488540649,0.029831133489533673,31.964012608875688,True,
4,0,2,measure,18104,24,128,0.2165827751159668,4.00564432144165,0.029835130286029004,31.954909055413136,True,
4,0,3,measure,18104,24,128,0.21668004989624023,4.005558729171753,0.029833690387996162,31.955591879804274,True,
4,1,0,measure,18104,24,128,0.24542689323425293,3.848646402359009,0.028371807158462645,33.2584463778078,True,
4,1,1,measure,18104,24,128,0.24597454071044922,3.849092960357666,0.02837101117832454,33.25458785181067,True,
4,1,2,measure,18104,24,128,0.24642229080200195,3.8493545055389404,0.02836954499792865,33.25232836201948,True,
4,1,3,measure,18104,24,128,0.24637198448181152,3.8495066165924072,0.0283711388355165,33.25101441527224,True,
4,2,0,measure,18104,24,128,0.2481389045715332,3.889772415161133,0.028674279610941728,32.90680953494746,True,
4,2,1,measure,18104,24,128,0.24799442291259766,3.889641046524048,0.028674382863082284,32.9079209286899,True,
4,2,2,measure,18104,24,128,0.24899601936340332,3.8900880813598633,0.0286700162361926,32.90413926958046,True,
4,2,3,measure,18104,24,128,0.24876666069030762,3.890273094177246,0.02867327900383416,32.90257442121058,True,
8,-1,0,warmup,18108,24,128,0.12536382675170898,2.2953734397888184,0.017086689866433934,55.76434656827623,True,
8,0,0,measure,18108,24,128,0.26749348640441895,6.440818786621094,0.04860886063162736,19.87324969705441,True,
8,0,1,measure,18108,24,128,0.2669382095336914,6.44044041633606,0.04861025359686904,19.874417233226836,True,
8,0,2,measure,18108,24,128,0.2682051658630371,6.441415786743164,0.04860795764472541,19.871407814324296,True,
8,0,3,measure,18108,24,128,0.26667356491088867,6.440158843994141,0.048610120307742144,19.87528616927953,True,
8,0,4,measure,18108,24,128,0.26802873611450195,6.441261053085327,0.048608128480085236,19.871885170480514,True,
8,0,5,measure,18108,24,128,0.26743388175964355,6.440741777420044,0.04860872358787717,19.873487313020757,True,
8,0,6,measure,18108,24,128,0.2675936222076416,6.44084620475769,0.04860828805157519,19.8731650983142,True,
8,0,7,measure,18108,24,128,0.26848673820495605,6.441774129867554,0.04860856213907557,19.870302407301534,True,
8,1,0,measure,18108,24,128,0.3341987133026123,6.283275604248047,0.0468431251255546,20.371539951782594,True,
