date,server,backend,build,model,quant,concurrency,context_total,context_per_slot,tokens_per_request,reps,aggregate_tps_mean,mean_request_tps,mean_ttft_s,p95_ttft_s,mean_itl_ms,p95_itl_ms,errors,source
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,1,4096,4096,128,5,59.56,62.91,0.114,0.114,16.02,16.02,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/vulkan-radv/np1
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,2,8192,4096,128,5,97.34,51.70,0.154,0.154,19.50,19.50,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/vulkan-radv/np2
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,4,16384,4096,128,5,138.12,36.86,0.229,0.242,27.35,27.38,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/vulkan-radv/np4
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,8,32768,4096,128,5,172.96,22.59,0.251,0.251,44.62,44.63,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/vulkan-radv/np8
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,16,65536,4096,128,5,190.77,12.43,0.438,0.443,81.09,81.24,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/vulkan-radv/np16
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,1,4096,4096,128,5,51.40,53.40,0.093,0.093,18.87,18.87,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/lemonade-b1259-rocm/np1
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,2,8192,4096,128,5,84.72,44.20,0.125,0.129,22.83,22.85,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/lemonade-b1259-rocm/np2
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,4,16384,4096,128,5,125.75,33.07,0.197,0.211,30.50,30.59,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/lemonade-b1259-rocm/np4
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,8,32768,4096,128,5,181.95,23.88,0.265,0.279,42.26,42.38,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/lemonade-b1259-rocm/np8
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,16,65536,4096,128,5,212.38,13.94,0.456,0.470,72.30,72.57,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-repeat-1/lemonade-b1259-rocm/np16
