np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
4,-1,0,warmup,24,128,0.4248680559976492,4.178609914000845,0.02955702250396217,34.09930806166028,True,
4,-1,1,warmup,24,128,0.3615143290007836,4.157088363001094,0.029886409716537877,33.7234892149095,True,
4,-1,2,warmup,24,128,0.42388861200015526,4.177889556001901,0.029559062551194847,34.096954665001405,True,
4,-1,3,warmup,24,128,0.36125060400081566,4.156892350001726,0.029886942881896934,33.722887607836235,True,
4,0,0,measure,24,128,0.2024538660007238,3.626031243002217,0.02695730218111412,37.38779233087104,True,
4,0,1,measure,24,128,0.20201311499840813,3.6255336009999155,0.02695685422048431,37.38841362959019,True,
4,0,2,measure,24,128,0.20134431900078198,3.6252350880022277,0.026959769834657053,37.38437019044574,True,
4,0,3,measure,24,128,0.20095920599851524,3.6247202109989303,0.02695874807086941,37.385787095844464,True,
4,1,0,measure,24,128,0.2012492369976826,3.619536933998461,0.026915651157486443,37.44564862469236,True,
4,1,1,measure,24,128,0.2011921949997486,3.619624635000946,0.02691679086615116,37.44406310395158,True,
4,1,2,measure,24,128,0.20148763199904351,3.619698790000257,0.02691504848819853,37.446487090296536,True,
4,1,3,measure,24,128,0.2009611230023438,3.6192753620016447,0.026915860149600793,37.44535787250254,True,
4,2,0,measure,24,128,0.3095243819989264,3.8344204850000096,0.02775508742520538,36.31312704253078,True,
4,2,1,measure,24,128,0.2584264399993117,3.816119315000833,0.02801332972442143,35.97837264127114,True,
4,2,2,measure,24,128,0.25856098299846053,3.8162198009995336,0.02801306155906357,35.978717057505484,True,
4,2,3,measure,24,128,0.2582279019989073,3.8159808039999916,0.028013802377961295,35.97776560817517,True,
4,3,0,measure,24,128,0.20088224500068463,3.6241755560004094,0.026955065440942713,37.39089478214164,True,
4,3,1,measure,24,128,0.2011602890015638,3.6242721250018803,0.0269536365039395,37.39287704650622,True,
4,3,2,measure,24,128,0.2006768139981432,3.623827324998274,0.026953941031497092,37.39245457910136,True,
4,3,3,measure,24,128,0.20094008799787844,3.6239060089974373,0.02695248756692566,37.39447103891178,True,
4,4,0,measure,24,128,0.2597254470019834,3.8236964650022855,0.02806276392126222,35.91499463758803,True,
4,4,1,measure,24,128,0.25925058999928297,3.82329128299898,0.0280633125433047,35.91429251955819,True,
4,4,2,measure,24,128,0.31048998000187567,3.841219674999593,0.027801021220454466,36.25312925578766,True,
4,4,3,measure,24,128,0.2586604960015393,3.8226748580018466,0.028063105212600845,35.91455785496887,True,
