date,server,backend,build,model,quant,concurrency,context_total,context_per_slot,tokens_per_request,reps,aggregate_tps_mean,mean_request_tps,mean_ttft_s,p95_ttft_s,mean_itl_ms,p95_itl_ms,errors,source
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,1,4096,4096,128,5,58.80,62.10,0.115,0.115,16.2,16.2,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/vulkan-radv/np1
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,2,8192,4096,128,5,96.08,51.03,0.156,0.156,19.7,19.8,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/vulkan-radv/np2
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,4,16384,4096,128,5,138.83,36.78,0.206,0.207,27.4,27.4,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/vulkan-radv/np4
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,8,32768,4096,128,5,170.87,22.32,0.254,0.255,45.2,45.2,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/vulkan-radv/np8
2026-05-05,llama-server,Vulkan/RADV,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,16,65536,4096,128,5,189.72,12.32,0.399,0.400,81.8,81.9,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/vulkan-radv/np16
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,1,4096,4096,128,5,48.62,50.48,0.097,0.097,20.0,20.0,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/lemonade-b1259-rocm/np1
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,2,8192,4096,128,5,82.19,42.86,0.127,0.132,23.6,23.6,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/lemonade-b1259-rocm/np2
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,4,16384,4096,128,5,127.03,33.18,0.172,0.175,30.4,30.4,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/lemonade-b1259-rocm/np4
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,8,32768,4096,128,5,177.17,23.25,0.271,0.284,43.4,43.5,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/lemonade-b1259-rocm/np8
2026-05-05,Lemonade llamacpp-rocm,ROCm/gfx1151,b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,16,65536,4096,128,5,207.81,13.63,0.460,0.475,73.9,74.3,0,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/lemonade-b1259-rocm/np16
