run,phase,model,created_at,done_reason,wall_s,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_tps,eval_count,eval_duration_ns,eval_tps,load_duration_ns,total_duration_ns,response_chars
0,cold,qwen3.6:35b-a3b,2026-05-07T02:18:38.339574299Z,length,10.424033403396606,19,142474244,133.35743687118634,128,2523440993,50.724387990474405,7680465722,10394700939,0
1,warm,qwen3.6:35b-a3b,2026-05-07T02:18:41.156151485Z,length,2.799959659576416,19,119767562,158.6406175655475,128,2533489468,50.5232019381736,113614152,2798719408,0
2,warm,qwen3.6:35b-a3b,2026-05-07T02:18:43.957589368Z,length,2.8014121055603027,19,120854139,157.21430939158816,128,2533015854,50.532648580888036,115807537,2800271528,0
3,warm,qwen3.6:35b-a3b,2026-05-07T02:18:46.746307212Z,length,2.78865909576416,19,119966320,158.37778469823863,128,2524875394,50.6955710781504,111953881,2787573133,0
4,warm,qwen3.6:35b-a3b,2026-05-07T02:18:49.550166215Z,length,2.8039207458496094,19,119540897,158.9414206922004,128,2535123633,50.49063419779969,116385959,2802640537,0
5,warm,qwen3.6:35b-a3b,2026-05-07T02:18:52.338482955Z,length,2.7880706787109375,19,121117695,156.87220599764552,128,2525010360,50.69286131562644,110021477,2786933831,0
6,warm,qwen3.6:35b-a3b,2026-05-07T02:18:55.139550141Z,length,2.8009634017944336,19,122104147,155.60487065193615,128,2533720704,50.518591018309806,113090016,2799941081,0
7,warm,qwen3.6:35b-a3b,2026-05-07T02:18:57.93485277Z,length,2.795379638671875,19,119133039,159.4855647055222,128,2534102023,50.51098923336442,109341035,2794218536,0
8,warm,qwen3.6:35b-a3b,2026-05-07T02:19:00.728546889Z,length,2.7936899662017822,19,120517900,157.65292956481983,128,2527748519,50.63794876661146,113276201,2792465824,0
9,warm,qwen3.6:35b-a3b,2026-05-07T02:19:03.535856559Z,length,2.807009696960449,19,119278815,159.29065022988365,128,2542372496,50.34667429787991,110083920,2805936401,0
10,warm,qwen3.6:35b-a3b,2026-05-07T02:19:06.353017679Z,length,2.8173398971557617,19,120048802,158.26896798187124,128,2554190311,50.11372858504278,109463906,2816113549,0
