phase,model_label,backend_label,nodes,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,ROCm-7.2,1,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,Radeon 8060S Graphics,ROCm,/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:42:43Z,696504598,7109155,735.171795,7.483121
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,ROCm-7.2,1,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,Radeon 8060S Graphics,ROCm,/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:42:58Z,3465490015,4736219,36.935679,0.050203
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,ROCm-7.2,2,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052","ROCm,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:47:22Z,705498685,5850660,725.774782,5.965538
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,ROCm-7.2,2,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052","ROCm,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:47:37Z,4087099729,37284242,31.320535,0.286532
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,ROCm-7.2,3,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052, 10.0.0.1:50052","ROCm,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:51:51Z,719097731,5326767,712.040187,5.233714
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,ROCm-7.2,3,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052, 10.0.0.1:50052","ROCm,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:52:07Z,4513758178,65789073,28.363582,0.421684
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,Vulkan/RADV,1,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,AMD Radeon 8060S Graphics (RADV GFX1151),Vulkan,/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:26:37Z,721510559,10045843,709.754048,9.960050
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,Vulkan/RADV,1,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,AMD Radeon 8060S Graphics (RADV GFX1151),Vulkan,/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:26:54Z,3191649970,19930405,40.106098,0.244388
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,Vulkan/RADV,2,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052","Vulkan,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:32:57Z,741543823,7006050,690.509663,6.487630
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,Vulkan/RADV,2,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052","Vulkan,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:33:14Z,3708572375,44474930,34.519313,0.411188
