build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","1024","256","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:10Z","1348514972","75125545","95.149345","5.164310"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","1024","512","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:16Z","1292949907","1931830","98.998598","0.147706"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","1024","1024","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:23Z","1292962082","1683275","98.997623","0.128686"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","1024","2048","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:29Z","1294402778","4075825","98.888084","0.310137"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","2048","256","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:36Z","1302661967","15918285","98.271908","1.183927"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","2048","512","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:42Z","1293414990","1695718","98.962960","0.129582"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","2048","1024","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:49Z","1295632017","3601622","98.794092","0.273855"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","2048","2048","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:25:55Z","1303548126","20369446","98.212364","1.506140"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","4096","256","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:26:02Z","1301632441","8784421","98.341623","0.661315"
"b81c2cdd7","9179","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics (RADV STRIX_HALO)","Vulkan","/home/hoge-heer/benchmark-models/qwen3-coder-break100/Qwen3-Coder-30B-A3B-Instruct-Q4_K_S.gguf","qwen3moe 30B.A3B Q4_K - Small","17450039296","30532122624","4096","512","12","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-05-16T15:26:08Z","1294130125","1065566","98.908191","0.081375"
