file,avg_ts,stddev_ts,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,split_mode,flash_attn,use_mmap,use_direct_io,no_op_offload,no_kv_offload,no_host,test_time
break-100-routes-strict2/16-t12-cpumask-r5.csv,99.111823,0.074817,2048,512,12,0xffff0000,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:22Z
break-100-routes-strict2/13-t12-poll-r5.csv,99.104801,0.056776,2048,512,12,0x0,0,75,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:53Z
break-100-routes-strict2/16-t12-cpumask-r5.csv,99.071807,0.098042,2048,512,12,0xffffffff,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:29Z
break-100-routes-strict2/12-threads-fine-r5.csv,99.047317,0.064204,2048,512,15,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:23Z
break-100-routes-strict2/13-t12-poll-r5.csv,99.044410,0.080442,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:47Z
break-100-routes-strict2/15-t12-nohost-r5.csv,99.042938,0.056996,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,1,2026-05-16T15:26:40Z
break-100-routes-strict2/26-max-t15-poll50-r10.csv,99.038424,0.121226,2048,512,15,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:31:24Z
break-100-routes-strict2/14-t12-batch-r5.csv,99.033893,0.087385,4096,2048,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:26:21Z
break-100-routes-strict2/15-t12-nohost-r5.csv,99.020320,0.074928,2048,512,12,0x0,0,100,f16,f16,layer,1,0,0,0,0,1,2026-05-16T15:26:53Z
break-100-routes-strict2/16-t12-cpumask-r5.csv,99.003942,0.075755,2048,512,12,0xffff,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:09Z
break-100-routes-strict2/12-threads-fine-r5.csv,99.000523,0.080882,2048,512,14,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:16Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.998598,0.147706,1024,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:16Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.997623,0.128686,1024,1024,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:23Z
break-100-routes-strict2/12-threads-fine-r5.csv,98.996419,0.087939,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:03Z
break-100-routes-strict2/12-threads-fine-r5.csv,98.992131,0.191157,2048,512,11,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:23:57Z
break-100-routes/01-threads-r5.csv,98.975477,0.041871,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:16:42Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.962960,0.129582,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:42Z
break-100-routes-strict2/29-max-t15-poll50-r20.csv,98.955522,0.685874,2048,512,15,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:33:12Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.908191,0.081375,4096,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:26:08Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.907214,0.215424,4096,1024,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:26:15Z
break-100-routes-strict2/12-threads-fine-r5.csv,98.904323,0.140281,2048,512,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:29Z
break-100-routes-strict2/20-t12-mmap-r5.csv,98.903122,0.241777,2048,512,12,0x0,0,50,f16,f16,layer,1,1,0,0,0,0,2026-05-16T15:28:47Z
break-100-routes-strict2/16-t12-cpumask-r5.csv,98.901483,0.152143,2048,512,12,0xfff000,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:16Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.888084,0.310137,1024,2048,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:29Z
break-100-routes/01-threads-r5.csv,98.887070,0.041101,2048,512,32,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:14Z
break-100-routes-strict2/13-t12-poll-r5.csv,98.886564,0.291487,2048,512,12,0x0,0,100,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:00Z
break-100-routes-strict2/13-t12-poll-r5.csv,98.869893,0.125056,2048,512,12,0x0,0,25,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:40Z
break-100-routes-strict2/15-t12-nohost-r5.csv,98.864903,0.159685,2048,512,12,0x0,0,75,f16,f16,layer,1,0,0,0,0,1,2026-05-16T15:26:46Z
break-100-routes-strict2/21-t12-directio-r5.csv,98.847558,0.142383,2048,512,12,0x0,0,50,f16,f16,layer,1,0,1,0,0,0,2026-05-16T15:28:55Z
break-100-routes-strict2/12-threads-fine-r5.csv,98.836581,0.128251,2048,512,13,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:10Z
break-100-routes/01-threads-r5.csv,98.812619,0.085633,2048,512,8,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:16:35Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.794092,0.273855,2048,1024,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:49Z
break-100-routes/01-threads-r5.csv,98.759372,0.476254,2048,512,20,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:16:55Z
break-100-routes/03-batch-r5.csv,98.744123,0.092184,2048,256,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:28Z
break-100-routes/03-batch-r5.csv,98.743640,0.043881,2048,2048,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:47Z
break-100-routes/03-batch-r5.csv,98.718604,0.116051,4096,512,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:19:00Z
break-100-routes/01-threads-r5.csv,98.712642,0.224764,2048,512,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:16:48Z
break-100-routes/02-poll-r5.csv,98.690980,0.159756,2048,512,16,0x0,0,25,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:31Z
break-100-routes/03-batch-r5.csv,98.686845,0.153245,2048,512,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:34Z
break-100-routes/03-batch-r5.csv,98.686264,0.186658,1024,1024,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:15Z
break-100-routes/03-batch-r5.csv,98.639627,0.302401,2048,1024,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:41Z
break-100-routes/03-batch-r5.csv,98.637118,0.258378,1024,2048,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:21Z
break-100-routes/02-poll-r5.csv,98.614505,0.076734,2048,512,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:38Z
break-100-routes-strict2/28-max-t12-nohost-poll75-r10.csv,98.597249,1.101608,2048,512,12,0x0,0,75,f16,f16,layer,1,0,0,0,0,1,2026-05-16T15:31:59Z
break-100-routes/03-batch-r5.csv,98.562441,0.205539,4096,256,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:54Z
break-100-routes/02-poll-r5.csv,98.559998,0.132715,2048,512,16,0x0,0,75,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:44Z
break-100-routes/00-baseline-r10.csv,98.549012,0.632156,2048,512,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:16:19Z
break-100-routes-strict2/23-max-t12-mask-high-poll75-r10.csv,98.544560,0.948806,2048,512,12,0xffff0000,1,75,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:30:31Z
break-100-routes/03-batch-r5.csv,98.511757,0.176790,1024,512,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:08Z
break-100-routes/01-threads-r5.csv,98.484041,0.753910,2048,512,28,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:08Z
break-100-routes/02-poll-r5.csv,98.469141,0.337978,2048,512,16,0x0,0,100,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:51Z
break-100-routes/03-batch-r5.csv,98.437161,0.325964,4096,1024,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:19:07Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.341623,0.661315,4096,256,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:26:02Z
break-100-routes-strict2/27-max-t14-poll75-r10.csv,98.323536,1.703701,2048,512,14,0x0,0,75,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:31:41Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.271908,1.183927,2048,256,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:36Z
break-100-routes-strict2/17-t12-split-r5.csv,98.228363,1.751089,2048,512,12,0x0,0,50,f16,f16,none,1,0,0,0,0,0,2026-05-16T15:27:39Z
break-100-routes-strict2/14-t12-batch-r5.csv,98.212364,1.506140,2048,2048,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:55Z
break-100-routes/01-threads-r5.csv,98.139227,1.268702,2048,512,24,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:01Z
break-100-routes-strict2/17-t12-split-r5.csv,98.001545,2.055049,2048,512,12,0x0,0,50,f16,f16,row,1,0,0,0,0,0,2026-05-16T15:28:01Z
break-100-routes-strict2/25-max-t12-mask-all-poll75-r10.csv,97.956609,2.900845,2048,512,12,0xffffffff,1,75,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:31:05Z
break-100-routes-strict2/22-t12-delay2-r5.csv,97.952365,1.865401,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:29:05Z
break-100-routes/03-batch-r5.csv,97.942938,1.124727,4096,2048,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:19:13Z
break-100-routes-strict2/24-max-t12-mask-high-poll50-r10.csv,97.906872,3.197663,2048,512,12,0xffff0000,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:30:48Z
break-100-routes/03-batch-r5.csv,97.725543,2.206495,1024,256,16,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:18:02Z
break-100-routes-strict2/20-t12-mmap-r5.csv,96.535166,4.606565,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:28:38Z
break-100-routes/02-poll-r5.csv,95.650084,4.897912,2048,512,16,0x0,0,0,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:17:25Z
break-100-routes-strict2/17-t12-split-r5.csv,95.614547,4.889861,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:50Z
break-100-routes-strict2/15-t12-nohost-r5.csv,95.561670,4.639525,2048,512,12,0x0,0,25,f16,f16,layer,1,0,0,0,0,1,2026-05-16T15:26:33Z
break-100-routes-strict2/14-t12-batch-r5.csv,95.149345,5.164310,1024,256,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:10Z
break-100-routes-strict2/16-t12-cpumask-r5.csv,95.052492,5.302126,2048,512,12,0xfff,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:02Z
break-100-routes/06-fa0-r5.csv,94.830839,4.289126,2048,512,16,0x0,0,50,f16,f16,layer,0,0,0,0,0,0,2026-05-16T15:19:46Z
break-100-routes-strict2/18-t12-nopo-r5.csv,94.624456,5.208310,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,1,0,0,2026-05-16T15:28:12Z
break-100-routes-strict2/12-threads-fine-r5.csv,94.265174,5.578056,2048,512,10,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:23:50Z
break-100-routes/05-kv-q4-r5.csv,90.799429,4.217098,2048,512,16,0x0,0,50,q4_0,q4_0,layer,1,0,0,0,0,0,2026-05-16T15:19:35Z
break-100-routes/04-kv-q8-r5.csv,90.467911,4.419796,2048,512,16,0x0,0,50,q8_0,q8_0,layer,1,0,0,0,0,0,2026-05-16T15:19:23Z
