file,avg_ts,stddev_ts,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,split_mode,flash_attn,use_mmap,use_direct_io,no_op_offload,no_kv_offload,no_host,test_time
16-t12-cpumask-r5.csv,99.111823,0.074817,2048,512,12,0xffff0000,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:22Z
13-t12-poll-r5.csv,99.104801,0.056776,2048,512,12,0x0,0,75,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:53Z
16-t12-cpumask-r5.csv,99.071807,0.098042,2048,512,12,0xffffffff,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:29Z
12-threads-fine-r5.csv,99.047317,0.064204,2048,512,15,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:23Z
13-t12-poll-r5.csv,99.044410,0.080442,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:47Z
15-t12-nohost-r5.csv,99.042938,0.056996,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,1,2026-05-16T15:26:40Z
14-t12-batch-r5.csv,99.033893,0.087385,4096,2048,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:26:21Z
15-t12-nohost-r5.csv,99.020320,0.074928,2048,512,12,0x0,0,100,f16,f16,layer,1,0,0,0,0,1,2026-05-16T15:26:53Z
16-t12-cpumask-r5.csv,99.003942,0.075755,2048,512,12,0xffff,1,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:27:09Z
12-threads-fine-r5.csv,99.000523,0.080882,2048,512,14,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:16Z
14-t12-batch-r5.csv,98.998598,0.147706,1024,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:16Z
14-t12-batch-r5.csv,98.997623,0.128686,1024,1024,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:25:23Z
12-threads-fine-r5.csv,98.996419,0.087939,2048,512,12,0x0,0,50,f16,f16,layer,1,0,0,0,0,0,2026-05-16T15:24:03Z
