file,avg_ts,stddev_ts,n_batch,n_ubatch,n_threads,poll,type_k,type_v,flash_attn,use_mmap,use_direct_io,no_host,test_time
01-threads-r5.csv,98.975477,0.041871,2048,512,12,50,f16,f16,1,0,0,0,2026-05-16T15:16:42Z
01-threads-r5.csv,98.887070,0.041101,2048,512,32,50,f16,f16,1,0,0,0,2026-05-16T15:17:14Z
01-threads-r5.csv,98.812619,0.085633,2048,512,8,50,f16,f16,1,0,0,0,2026-05-16T15:16:35Z
01-threads-r5.csv,98.759372,0.476254,2048,512,20,50,f16,f16,1,0,0,0,2026-05-16T15:16:55Z
03-batch-r5.csv,98.744123,0.092184,2048,256,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:28Z
03-batch-r5.csv,98.743640,0.043881,2048,2048,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:47Z
03-batch-r5.csv,98.718604,0.116051,4096,512,16,50,f16,f16,1,0,0,0,2026-05-16T15:19:00Z
01-threads-r5.csv,98.712642,0.224764,2048,512,16,50,f16,f16,1,0,0,0,2026-05-16T15:16:48Z
02-poll-r5.csv,98.690980,0.159756,2048,512,16,25,f16,f16,1,0,0,0,2026-05-16T15:17:31Z
03-batch-r5.csv,98.686845,0.153245,2048,512,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:34Z
03-batch-r5.csv,98.686264,0.186658,1024,1024,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:15Z
03-batch-r5.csv,98.639627,0.302401,2048,1024,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:41Z
03-batch-r5.csv,98.637118,0.258378,1024,2048,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:21Z
02-poll-r5.csv,98.614505,0.076734,2048,512,16,50,f16,f16,1,0,0,0,2026-05-16T15:17:38Z
03-batch-r5.csv,98.562441,0.205539,4096,256,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:54Z
02-poll-r5.csv,98.559998,0.132715,2048,512,16,75,f16,f16,1,0,0,0,2026-05-16T15:17:44Z
00-baseline-r10.csv,98.549012,0.632156,2048,512,16,50,f16,f16,1,0,0,0,2026-05-16T15:16:19Z
03-batch-r5.csv,98.511757,0.176790,1024,512,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:08Z
01-threads-r5.csv,98.484041,0.753910,2048,512,28,50,f16,f16,1,0,0,0,2026-05-16T15:17:08Z
02-poll-r5.csv,98.469141,0.337978,2048,512,16,100,f16,f16,1,0,0,0,2026-05-16T15:17:51Z
03-batch-r5.csv,98.437161,0.325964,4096,1024,16,50,f16,f16,1,0,0,0,2026-05-16T15:19:07Z
01-threads-r5.csv,98.139227,1.268702,2048,512,24,50,f16,f16,1,0,0,0,2026-05-16T15:17:01Z
03-batch-r5.csv,97.942938,1.124727,4096,2048,16,50,f16,f16,1,0,0,0,2026-05-16T15:19:13Z
03-batch-r5.csv,97.725543,2.206495,1024,256,16,50,f16,f16,1,0,0,0,2026-05-16T15:18:02Z
02-poll-r5.csv,95.650084,4.897912,2048,512,16,0,f16,f16,1,0,0,0,2026-05-16T15:17:25Z
06-fa0-r5.csv,94.830839,4.289126,2048,512,16,50,f16,f16,0,0,0,0,2026-05-16T15:19:46Z
05-kv-q4-r5.csv,90.799429,4.217098,2048,512,16,50,q4_0,q4_0,1,0,0,0,2026-05-16T15:19:35Z
04-kv-q8-r5.csv,90.467911,4.419796,2048,512,16,50,q8_0,q8_0,1,0,0,0,2026-05-16T15:19:23Z
