name,n_prompt,n_gen,avg_ts,stddev_ts,batch,ubatch,cache_k,cache_v
guide,512,0,761.474107,21.129577,2048,512,f16,f16
guide,0,128,59.175098,0.217231,2048,512,f16,f16
ub1024,512,0,760.500165,20.881404,2048,1024,f16,f16
ub1024,0,128,59.301523,0.044265,2048,1024,f16,f16
ub2048,512,0,720.174515,58.850230,2048,2048,f16,f16
ub2048,0,128,59.247628,0.102626,2048,2048,f16,f16
b4096-ub2048,512,0,713.470686,61.360634,4096,2048,f16,f16
b4096-ub2048,0,128,58.796211,0.587082,4096,2048,f16,f16
b4096-ub4096,512,0,760.324472,20.636983,4096,4096,f16,f16
b4096-ub4096,0,128,59.076026,0.194775,4096,4096,f16,f16
q8kv-guide,512,0,697.602551,59.789784,2048,512,q8_0,q8_0
q8kv-guide,0,128,58.134762,0.209506,2048,512,q8_0,q8_0
