run,phase,model,created_at,done_reason,wall_s,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_tps,eval_count,eval_duration_ns,eval_tps,load_duration_ns,total_duration_ns,response_chars
0,cold,qwen3.6:35b-a3b,2026-05-15T23:37:40.711902255Z,length,11.445753812789917,25,161416469,154.87886802925914,128,2591000015,49.401775090302344,8614804082,11432047869,0
1,warm,qwen3.6:35b-a3b,2026-05-15T23:37:43.612967933Z,length,2.9009242057800293,25,133270782,187.58800409830266,128,2607718414,49.085054319058855,127068399,2899736429,0
2,warm,qwen3.6:35b-a3b,2026-05-15T23:37:46.502061062Z,length,2.8892111778259277,25,132639900,188.48023860090365,128,2605266445,49.131251141569905,117468615,2887892913,0
3,warm,qwen3.6:35b-a3b,2026-05-15T23:37:49.377854007Z,length,2.875490665435791,25,132258504,189.0237621317719,128,2597016886,49.28731911217923,113598109,2874358011,0
4,warm,qwen3.6:35b-a3b,2026-05-15T23:37:52.250397536Z,length,2.8727481365203857,25,132478324,188.71011683390557,128,2593334487,49.357304521127126,114726665,2871403881,0
5,warm,qwen3.6:35b-a3b,2026-05-15T23:37:55.126081297Z,length,2.875394582748413,25,133019072,187.94297407216916,128,2593264932,49.358628353209845,115861794,2874132107,0
6,warm,qwen3.6:35b-a3b,2026-05-15T23:37:58.026861968Z,length,2.900629758834839,25,132445681,188.75662695259953,128,2619366907,48.86676992747088,115431864,2899517472,0
7,warm,qwen3.6:35b-a3b,2026-05-15T23:38:00.944328309Z,length,2.9173922538757324,25,132667705,188.44073619876065,128,2633753572,48.599839165211016,118321101,2916337364,0
8,warm,qwen3.6:35b-a3b,2026-05-15T23:38:03.822915568Z,length,2.8785483837127686,25,133317536,187.5222176323451,128,2597249528,49.28290432631855,114397042,2877472881,0
9,warm,qwen3.6:35b-a3b,2026-05-15T23:38:06.723584524Z,length,2.9006118774414062,25,132358110,188.8815124362232,128,2616633833,48.91781126793984,118302235,2899492246,0
10,warm,qwen3.6:35b-a3b,2026-05-15T23:38:09.618948144Z,length,2.895655632019043,25,133288990,187.56237855804895,128,2612747418,48.990575636270705,114629226,2894220185,0
