run,phase,model,created_at,done_reason,wall_s,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_tps,eval_count,eval_duration_ns,eval_tps,load_duration_ns,total_duration_ns,response_chars
0,cold,qwen3.6:35b-a3b,2026-05-15T23:36:13.621201024Z,length,11.698977947235107,25,145460412,171.86806813114208,128,2619603908,48.86234884942002,8854950829,11685420397,0
1,warm,qwen3.6:35b-a3b,2026-05-15T23:36:16.519830346Z,length,2.898261308670044,25,132416537,188.7981710320668,128,2614701858,48.953956111045066,117405805,2897085554,0
2,warm,qwen3.6:35b-a3b,2026-05-15T23:36:19.404597047Z,length,2.8847174644470215,25,133065104,187.87795784535666,128,2602499283,49.183490975816724,115806199,2883527278,0
3,warm,qwen3.6:35b-a3b,2026-05-15T23:36:22.31427228Z,length,2.9095072746276855,25,132924540,188.07663355464686,128,2627040172,48.724036032746284,116491749,2908436632,0
4,warm,qwen3.6:35b-a3b,2026-05-15T23:36:25.215710738Z,length,2.901413917541504,25,133215308,187.66612017291587,128,2622771383,48.803338647682665,111995571,2900314952,0
5,warm,qwen3.6:35b-a3b,2026-05-15T23:36:28.115258265Z,length,2.899477243423462,25,133211922,187.67089029764168,128,2618684326,48.87950744163121,114618057,2898406286,0
6,warm,qwen3.6:35b-a3b,2026-05-15T23:36:31.008379116Z,length,2.8931238651275635,25,132628773,188.4960513055489,128,2611277924,49.0181450329605,116112970,2891973548,0
7,warm,qwen3.6:35b-a3b,2026-05-15T23:36:33.902884407Z,length,2.8944766521453857,25,135654416,184.29182578177182,128,2605050657,49.135320902897895,121014040,2893262853,0
8,warm,qwen3.6:35b-a3b,2026-05-15T23:36:36.783192413Z,length,2.88020396232605,25,133760866,186.90070382768005,128,2591769996,49.387098468439866,121203741,2879058594,0
9,warm,qwen3.6:35b-a3b,2026-05-15T23:36:39.666398258Z,length,2.8830208778381348,25,133141255,187.77049983493097,128,2596099094,49.30474352686631,117955963,2881799475,0
10,warm,qwen3.6:35b-a3b,2026-05-15T23:36:42.554691963Z,length,2.888213634490967,25,132252157,189.0328336951056,128,2604276358,49.14992973261097,118833117,2887120501,0
