epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779014422332,38.000,47.250,36.098,1,2900,1000
1779014422844,38.000,52.875,43.028,1,2900,1000
1779014423353,38.000,52.875,45.095,3,2900,1000
1779014423875,40.000,52.625,52.032,14,2900,1000
1779014424385,41.000,52.750,59.046,28,2900,1000
1779014424894,40.000,52.875,64.030,36,2900,1000
1779014425404,41.000,52.875,65.079,41,2900,1000
1779014425916,41.000,53.125,66.063,44,2900,1000
1779014426426,42.000,52.750,75.026,65,2900,1000
1779014426935,41.000,53.500,83.012,76,2900,1000
1779014427449,41.000,54.375,89.053,84,2900,1000
1779014427963,40.000,55.000,89.005,84,2900,1000
1779014428476,43.000,54.625,95.097,85,2900,1000
1779014428987,39.000,54.125,73.003,51,2900,1000
1779014429496,49.000,56.250,71.003,40,2900,1000
1779014430008,49.000,54.750,90.031,63,2900,1000
1779014430520,50.000,54.125,101.090,77,2900,1000
1779014431037,50.000,54.000,104.000,77,2900,1000
1779014431554,51.000,53.500,110.028,85,2900,1000
1779014432066,53.000,53.250,114.018,90,2900,1000
1779014432581,53.000,53.250,116.051,93,2900,1000
1779014433097,52.000,53.250,117.089,94,2900,1000
1779014433609,52.000,53.375,118.066,95,2900,1000
1779014434121,53.000,53.250,118.037,95,2900,1000
1779014434635,53.000,53.375,118.072,96,2900,1000
1779014435149,53.000,53.500,118.082,96,2900,1000
1779014435661,53.000,53.625,119.008,97,2900,1000
1779014436175,54.000,53.750,118.086,97,2900,1000
1779014436689,53.000,53.875,118.040,96,2900,1000
1779014437203,52.000,54.375,119.006,96,2900,1000
1779014437718,52.000,55.750,119.040,96,2900,1000
1779014438232,53.000,55.375,119.062,96,2900,1000
1779014438749,53.000,55.250,119.076,97,2900,1000
1779014439265,54.000,55.000,118.075,96,2900,1000
1779014439783,54.000,54.875,119.006,96,2900,1000
1779014440298,55.000,54.875,119.041,97,2900,1000
1779014440811,54.000,54.875,119.061,97,2900,1000
1779014441324,54.000,54.875,119.080,97,2900,1000
1779014441839,55.000,55.000,119.086,97,2900,1000
1779014442351,56.000,55.500,115.019,90,2900,1000
1779014442864,53.000,55.500,117.010,93,2900,1000
1779014443375,55.000,55.500,118.021,95,2900,1000
1779014443888,55.000,55.625,118.089,96,2900,1000
1779014444398,55.000,55.750,119.030,96,2900,1000
1779014444908,44.000,55.625,113.050,89,2900,1000
