epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779015060826,52.000,66.000,49.090,11,2900,1000
1779015061337,53.000,69.500,49.082,7,2900,1000
1779015061847,53.000,68.750,49.086,5,2900,1000
1779015062358,55.000,69.250,58.018,13,2900,1000
1779015062868,55.000,68.500,63.075,27,2900,1000
1779015063379,55.000,68.875,68.041,34,2900,1000
1779015063891,55.000,69.000,70.087,38,2900,1000
1779015064402,54.000,69.125,71.019,40,2900,1000
1779015064913,54.000,69.750,72.095,41,2900,1000
1779015065423,56.000,69.000,78.030,61,2900,1000
1779015065932,56.000,69.875,87.069,74,2900,1000
1779015066443,56.000,69.125,93.098,82,2900,1000
1779015066957,60.000,68.125,103.099,89,2900,1000
1779015067473,62.000,69.250,94.035,89,2900,1000
1779015067990,63.000,67.875,104.065,91,2900,1000
1779015068508,63.000,67.000,110.010,90,2900,1000
1779015069026,62.000,66.125,113.094,92,2900,1000
1779015069544,64.000,65.500,116.036,93,2900,1000
1779015070061,63.000,65.000,117.087,93,2900,1000
1779015070576,64.000,64.750,118.080,94,2900,1000
1779015071092,63.000,64.500,118.044,93,2900,1000
1779015071611,64.000,64.375,119.008,94,2900,1000
1779015072129,64.000,64.375,119.053,94,2900,1000
1779015072647,62.000,64.250,119.066,95,2900,1000
1779015073165,64.000,64.250,119.081,95,2900,1000
1779015073679,63.000,64.250,119.097,95,2900,1000
1779015074192,63.000,64.375,119.086,95,2900,1000
1779015074710,64.000,64.375,119.098,95,2900,1000
1779015075225,65.000,64.500,120.006,95,2900,1000
1779015075746,63.000,64.500,119.092,95,2900,1000
1779015076267,65.000,64.625,119.096,95,2900,1000
1779015076782,64.000,64.625,120.002,95,2900,1000
1779015077298,65.000,64.625,120.003,95,2900,1000
1779015077817,64.000,64.625,119.083,94,2900,1000
1779015078335,64.000,64.625,119.027,94,2900,1000
1779015078854,64.000,64.625,119.054,94,2900,1000
1779015079373,63.000,64.750,119.071,94,2900,1000
1779015079890,65.000,64.750,119.080,94,2900,1000
1779015080407,66.000,64.750,120.005,95,2900,1000
1779015080925,64.000,64.875,120.002,94,2900,1000
1779015081441,65.000,64.875,119.098,95,2900,1000
1779015081956,64.000,64.875,119.095,95,2900,1000
1779015082470,64.000,64.875,120.006,95,2900,1000
1779015082987,66.000,64.875,120.004,95,2900,1000
1779015083503,65.000,65.000,119.092,95,2900,1000
1779015084017,64.000,65.125,119.099,95,2900,1000
1779015084532,65.000,65.125,119.097,95,2900,1000
1779015085046,63.000,65.125,119.065,95,2900,1000
1779015085558,63.000,65.250,119.023,94,2900,1000
1779015086076,65.000,65.250,119.059,94,2900,1000
1779015086594,65.000,65.250,119.077,94,2900,1000
1779015087112,65.000,65.250,119.092,95,2900,1000
1779015087628,66.000,65.375,119.085,95,2900,1000
1779015088145,66.000,65.375,119.086,95,2900,1000
1779015088663,65.000,65.500,120.007,95,2900,1000
1779015089182,65.000,65.375,119.094,95,2900,1000
1779015089695,64.000,65.375,120.002,95,2900,1000
1779015090212,65.000,65.500,119.092,95,2900,1000
1779015090727,65.000,65.500,120.005,95,2900,1000
1779015091244,65.000,65.500,120.002,95,2900,1000
1779015091759,64.000,65.625,119.026,93,2900,1000
1779015092278,65.000,65.750,119.024,93,2900,1000
1779015092795,65.000,65.875,119.065,94,2900,1000
1779015093313,67.000,65.875,119.072,95,2900,1000
1779015093832,66.000,65.875,119.089,94,2900,1000
1779015094348,67.000,65.875,119.093,94,2900,1000
1779015094866,66.000,65.875,119.098,95,2900,1000
1779015095381,66.000,66.000,120.010,95,2900,1000
1779015095898,67.000,66.000,119.096,95,2900,1000
1779015096416,64.000,66.000,119.099,95,2900,1000
1779015096935,65.000,66.000,120.001,95,2900,1000
1779015097449,57.000,66.375,116.095,90,2900,1000
