epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779014906112,52.000,66.250,50.084,11,2900,1000
1779014906624,52.000,70.500,50.007,7,2900,1000
1779014907134,51.000,69.750,50.037,5,2900,1000
1779014907645,53.000,69.375,57.072,14,2900,1000
1779014908156,54.000,68.375,63.007,28,2900,1000
1779014908667,54.000,68.750,68.000,36,2900,1000
1779014909181,53.000,68.500,69.077,39,2900,1000
1779014909692,54.000,68.500,71.034,41,2900,1000
1779014910203,55.000,68.750,73.015,45,2900,1000
1779014910714,54.000,69.000,83.023,65,2900,1000
1779014911223,55.000,70.000,91.050,76,2900,1000
1779014911742,55.000,70.000,95.016,83,2900,1000
1779014912257,62.000,69.250,104.072,89,2900,1000
1779014912782,52.000,68.375,90.064,81,2900,1000
1779014913297,62.000,66.875,102.061,86,2900,1000
1779014913810,62.000,65.750,109.058,90,2900,1000
1779014914324,63.000,65.000,113.023,91,2900,1000
1779014914839,62.000,64.500,115.090,93,2900,1000
1779014915353,64.000,64.250,117.054,94,2900,1000
1779014915866,63.000,64.000,118.062,95,2900,1000
1779014916380,62.000,63.875,118.040,94,2900,1000
1779014916896,62.000,63.625,119.009,94,2900,1000
1779014917411,63.000,63.750,119.048,95,2900,1000
1779014917924,63.000,63.625,119.068,95,2900,1000
1779014918439,62.000,63.625,119.044,94,2900,1000
1779014918961,64.000,63.625,119.031,94,2900,1000
1779014919477,63.000,63.750,119.067,95,2900,1000
1779014919992,63.000,63.750,119.071,95,2900,1000
1779014920506,64.000,63.875,119.092,95,2900,1000
1779014921021,63.000,63.875,119.000,93,2900,1000
1779014921533,64.000,64.000,119.048,94,2900,1000
1779014922048,64.000,64.000,119.070,95,2900,1000
1779014922562,64.000,64.000,119.078,95,2900,1000
1779014923082,63.000,64.125,119.090,95,2900,1000
1779014923598,64.000,64.250,119.002,93,2900,1000
1779014924112,63.000,64.250,119.036,94,2900,1000
1779014924628,64.000,64.250,119.064,95,2900,1000
1779014925143,65.000,64.375,119.076,95,2900,1000
