epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779014696804,49.000,62.875,52.024,12,2900,1000
1779014697317,49.000,66.750,53.022,7,2900,1000
1779014697827,49.000,65.500,51.018,5,2900,1000
1779014698349,51.000,65.625,57.026,15,2900,1000
1779014698859,51.000,65.375,64.038,29,2900,1000
1779014699370,51.000,65.250,66.087,37,2900,1000
1779014699881,51.000,66.000,70.080,42,2900,1000
1779014700393,51.000,65.625,71.011,45,2900,1000
1779014700905,52.000,65.500,80.025,62,2900,1000
1779014701414,52.000,65.000,88.096,75,2900,1000
1779014701923,52.000,65.250,95.023,83,2900,1000
1779014702435,53.000,66.250,94.020,87,2900,1000
1779014702950,55.000,64.875,94.019,86,2900,1000
1779014703468,52.000,64.500,85.065,64,2900,1000
1779014703986,58.000,63.250,99.063,75,2900,1000
1779014704503,59.000,62.375,106.070,82,2900,1000
1779014705019,58.000,61.750,112.002,87,2900,1000
1779014705534,60.000,61.500,115.019,90,2900,1000
1779014706050,61.000,61.500,117.016,92,2900,1000
1779014706564,61.000,61.500,117.030,92,2900,1000
1779014707080,60.000,61.500,118.032,93,2900,1000
1779014707595,61.000,61.625,119.000,94,2900,1000
1779014708110,60.000,61.750,119.049,94,2900,1000
1779014708626,61.000,61.875,119.060,95,2900,1000
1779014709141,60.000,62.000,118.094,93,2900,1000
1779014709657,62.000,62.000,119.027,94,2900,1000
1779014710172,61.000,62.125,119.059,95,2900,1000
1779014710688,61.000,62.250,119.077,95,2900,1000
1779014711205,62.000,62.375,119.082,95,2900,1000
1779014711721,63.000,62.375,119.090,95,2900,1000
1779014712237,63.000,62.500,119.033,94,2900,1000
1779014712750,62.000,62.500,119.057,94,2900,1000
1779014713263,63.000,62.625,119.075,94,2900,1000
1779014713776,62.000,62.625,119.086,94,2900,1000
1779014714291,61.000,62.750,119.085,95,2900,1000
1779014714806,63.000,62.875,118.095,93,2900,1000
1779014715323,64.000,62.875,119.044,94,2900,1000
1779014715839,62.000,62.875,119.069,94,2900,1000
1779014716354,64.000,62.875,119.082,95,2900,1000
