epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779014534184,48.000,61.625,49.018,11,2900,1000
1779014534695,49.000,65.375,48.094,7,2900,1000
1779014535206,48.000,66.125,51.007,5,2900,1000
1779014535723,50.000,65.125,56.064,16,2900,1000
1779014536234,50.000,65.125,63.098,29,2900,1000
1779014536745,50.000,65.250,68.039,37,2900,1000
1779014537256,51.000,64.750,68.088,42,2900,1000
1779014537766,51.000,65.125,70.079,45,2900,1000
1779014538278,51.000,65.125,78.088,63,2900,1000
1779014538790,52.000,64.125,84.004,76,2900,1000
1779014539301,54.000,64.875,92.021,83,2900,1000
1779014539815,58.000,63.875,100.044,89,2900,1000
1779014540333,58.000,64.125,100.038,92,2900,1000
1779014540853,60.000,63.125,108.041,95,2900,1000
1779014541370,61.000,62.500,112.041,94,2900,1000
1779014541889,62.000,62.375,115.057,93,2900,1000
1779014542408,60.000,62.375,117.016,93,2900,1000
1779014542926,61.000,62.375,118.037,93,2900,1000
1779014543445,62.000,62.375,118.027,92,2900,1000
1779014543963,63.000,62.500,118.097,93,2900,1000
1779014544480,63.000,62.625,119.048,93,2900,1000
1779014545001,62.000,62.750,119.065,93,2900,1000
1779014545519,61.000,62.875,119.064,92,2900,1000
1779014546037,64.000,63.000,119.084,93,2900,1000
1779014546556,63.000,62.875,119.039,91,2900,1000
1779014547079,64.000,63.000,119.040,92,2900,1000
1779014547599,63.000,63.125,119.071,92,2900,1000
1779014548117,61.000,63.250,119.061,93,2900,1000
1779014548635,64.000,63.375,119.086,93,2900,1000
1779014549150,63.000,63.375,119.097,93,2900,1000
1779014549670,65.000,63.500,119.093,93,2900,1000
1779014550190,61.000,63.500,119.022,92,2900,1000
1779014550712,63.000,63.500,119.056,92,2900,1000
1779014551232,63.000,63.625,119.062,92,2900,1000
1779014551746,64.000,63.750,119.086,93,2900,1000
1779014552268,63.000,63.750,119.096,93,2900,1000
1779014552789,63.000,63.875,119.084,93,2900,1000
1779014553307,63.000,63.875,119.085,93,2900,1000
1779014553825,62.000,63.875,118.089,91,2900,1000
1779014554342,63.000,64.000,119.028,92,2900,1000
1779014554859,64.000,64.000,119.066,92,2900,1000
1779014555379,64.000,64.125,119.076,93,2900,1000
1779014555899,65.000,64.250,120.021,93,2900,1000
1779014556420,51.000,65.250,100.068,68,2900,1000
