epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779015120969,51.000,64.375,41.082,1,2900,1000
1779015121480,50.000,68.250,46.057,1,2900,1000
1779015121990,50.000,68.500,48.034,1,2900,1000
1779015122501,53.000,68.000,55.028,9,2900,1000
1779015123012,53.000,67.250,62.028,25,2900,1000
1779015123521,52.000,67.125,67.065,33,2900,1000
1779015124032,52.000,67.000,69.058,37,2900,1000
1779015124545,52.000,67.250,71.083,40,2900,1000
1779015125056,52.000,67.375,73.013,41,2900,1000
1779015125567,54.000,66.750,78.025,57,2900,1000
1779015126078,53.000,67.375,88.031,72,2900,1000
1779015126590,53.000,66.375,91.019,81,2900,1000
1779015127101,56.000,65.375,100.086,88,2900,1000
1779015127612,56.000,64.500,88.061,87,2900,1000
1779015128127,61.000,63.625,101.032,92,2900,1000
1779015128641,61.000,63.000,108.085,93,2900,1000
1779015129155,61.000,62.625,113.030,94,2900,1000
1779015129668,61.000,62.375,116.005,94,2900,1000
1779015130184,61.000,62.375,117.060,95,2900,1000
1779015130698,62.000,62.250,118.059,95,2900,1000
1779015131214,61.000,62.250,119.016,95,2900,1000
1779015131730,61.000,62.375,119.051,95,2900,1000
1779015132243,62.000,62.750,119.071,95,2900,1000
1779015132756,63.000,62.625,119.081,96,2900,1000
1779015133270,62.000,62.625,118.095,94,2900,1000
1779015133785,62.000,62.625,119.038,94,2900,1000
1779015134298,62.000,62.750,119.055,95,2900,1000
1779015134813,63.000,62.875,119.077,95,2900,1000
1779015135329,63.000,62.875,119.089,95,2900,1000
1779015135842,63.000,63.000,119.089,95,2900,1000
1779015136360,62.000,63.000,119.092,95,2900,1000
1779015136878,62.000,63.125,119.096,96,2900,1000
1779015137393,62.000,63.125,120.000,96,2900,1000
1779015137909,63.000,63.125,120.001,96,2900,1000
1779015138426,63.000,63.375,118.090,94,2900,1000
1779015138942,64.000,63.250,119.035,95,2900,1000
1779015139456,63.000,63.375,119.060,95,2900,1000
1779015139970,62.000,63.375,119.073,95,2900,1000
1779015140484,63.000,63.500,119.090,96,2900,1000
1779015141002,63.000,63.500,119.090,96,2900,1000
1779015141518,62.000,63.625,119.096,95,2900,1000
1779015142032,63.000,63.625,120.002,95,2900,1000
1779015142545,62.000,63.750,119.096,95,2900,1000
1779015143059,64.000,63.875,119.099,95,2900,1000
1779015143573,64.000,63.875,120.004,95,2900,1000
1779015144088,63.000,64.000,119.099,96,2900,1000
1779015144603,63.000,64.000,120.003,95,2900,1000
1779015145119,63.000,64.000,120.002,95,2900,1000
1779015145635,64.000,64.125,119.020,94,2900,1000
1779015146150,64.000,64.125,119.051,94,2900,1000
1779015146667,63.000,64.000,119.076,95,2900,1000
1779015147182,62.000,64.000,119.080,95,2900,1000
1779015147696,64.000,64.125,119.095,95,2900,1000
1779015148215,65.000,64.125,119.097,95,2900,1000
1779015148731,64.000,64.250,119.099,95,2900,1000
1779015149246,63.000,64.250,119.092,95,2900,1000
1779015149761,63.000,64.250,120.003,95,2900,1000
1779015150276,64.000,64.250,120.003,96,2900,1000
1779015150793,64.000,64.375,120.003,96,2900,1000
1779015151311,65.000,64.500,120.003,96,2900,1000
1779015151827,64.000,64.500,119.098,95,2900,1000
1779015152342,65.000,64.500,118.070,93,2900,1000
1779015152860,65.000,64.500,119.023,94,2900,1000
1779015153376,63.000,64.625,119.055,95,2900,1000
1779015153890,64.000,64.625,119.071,95,2900,1000
1779015154405,64.000,64.750,119.093,95,2900,1000
1779015154920,64.000,64.875,119.087,95,2900,1000
1779015155437,64.000,64.875,120.000,95,2900,1000
1779015155952,64.000,64.875,119.099,95,2900,1000
1779015156466,64.000,65.000,119.097,95,2900,1000
1779015156984,65.000,65.000,120.000,96,2900,1000
1779015157500,65.000,65.000,120.003,96,2900,1000
1779015158017,65.000,65.125,120.005,96,2900,1000
1779015158533,62.000,65.125,118.048,93,2900,1000
1779015159050,64.000,65.125,119.003,94,2900,1000
1779015159568,65.000,65.250,119.041,94,2900,1000
1779015160086,64.000,65.250,119.064,95,2900,1000
1779015160599,65.000,65.250,119.087,95,2900,1000
1779015161115,64.000,65.250,119.086,95,2900,1000
1779015161628,65.000,65.250,119.092,95,2900,1000
1779015162143,65.000,65.375,119.092,95,2900,1000
1779015162659,65.000,65.375,119.097,95,2900,1000
1779015163173,65.000,65.750,120.003,95,2900,1000
1779015163688,65.000,65.750,119.093,95,2900,1000
1779015164200,61.000,65.750,119.019,94,2900,1000
