epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779015409607,42.000,53.250,37.012,1,2900,1000
1779015410117,43.000,57.625,45.015,1,2900,1000
1779015410630,44.000,57.500,49.035,4,2900,1000
1779015411141,45.000,57.750,58.075,22,2900,1000
1779015411652,45.000,57.875,63.020,34,2900,1000
1779015412163,45.000,58.750,67.050,42,2900,1000
1779015412676,45.000,59.625,70.080,49,2900,1000
1779015413187,45.000,58.875,79.075,67,2900,1000
1779015413697,46.000,59.125,87.090,78,2900,1000
1779015414207,46.000,58.750,87.049,84,2900,1000
1779015414716,44.000,60.875,82.041,79,2900,1000
1779015415228,43.000,60.500,68.014,48,2900,1000
1779015415740,43.000,60.125,59.087,29,2900,1000
1779015416249,43.000,60.000,55.050,18,2900,1000
1779015416760,43.000,59.750,50.046,11,2900,1000
1779015417271,43.000,59.375,48.030,7,2900,1000
1779015417781,43.000,58.625,46.010,4,2900,1000
1779015418290,43.000,57.875,44.045,3,2900,1000
1779015418802,43.000,58.250,43.083,2,2900,1000
1779015419312,43.000,57.750,43.048,1,2900,1000
1779015419822,43.000,57.500,43.052,1,2900,1000
1779015420331,43.000,56.625,42.060,1,2900,1000
1779015420843,43.000,57.250,42.083,1,2900,1000
1779015421353,43.000,57.375,43.063,1,2900,1000
1779015421865,43.000,57.125,43.070,1,2900,1000
1779015422376,43.000,56.625,43.011,1,2900,1000
1779015422888,43.000,57.250,43.016,1,2900,1000
1779015423398,43.000,56.875,43.016,1,2900,1000
1779015423910,43.000,56.250,42.098,1,2900,1000
1779015424421,43.000,56.875,42.090,1,2900,1000
1779015424931,42.000,56.750,43.051,1,2900,1000
1779015425443,43.000,56.750,44.072,1,2900,1000
1779015425954,43.000,56.000,43.076,1,2900,1000
1779015426465,43.000,57.000,44.030,1,2900,1000
1779015426976,43.000,57.750,45.010,1,2900,1000
1779015427487,43.000,57.375,44.055,1,2900,1000
1779015427996,43.000,57.125,43.053,1,2900,1000
1779015428507,43.000,57.000,43.058,1,2900,1000
1779015429019,42.000,56.625,43.037,1,2900,1000
1779015429529,43.000,56.125,43.017,1,2900,1000
1779015430041,43.000,56.500,42.083,1,2900,1000
1779015430552,42.000,56.000,42.086,1,2900,1000
1779015431065,43.000,55.875,43.007,1,2900,1000
1779015431574,42.000,55.625,42.087,1,2900,1000
1779015432084,42.000,56.500,43.010,1,2900,1000
1779015432594,42.000,56.125,43.013,1,2900,1000
1779015433104,42.000,56.125,43.045,1,2900,1000
1779015433616,43.000,56.250,42.091,1,2900,1000
1779015434125,42.000,56.500,42.088,1,2900,1000
1779015434635,42.000,56.625,42.097,1,2900,1000
1779015435146,43.000,56.125,43.003,1,2900,1000
1779015435658,43.000,55.500,42.009,1,2900,1000
1779015436171,42.000,55.500,42.051,1,2900,1000
1779015436686,43.000,56.000,43.001,1,2900,1000
1779015437196,42.000,55.750,42.046,1,2900,1000
1779015437706,43.000,55.500,42.055,1,2900,1000
1779015438219,42.000,56.500,43.067,1,2900,1000
1779015438730,42.000,56.500,44.012,1,2900,1000
1779015439241,42.000,55.625,42.066,1,2900,1000
1779015439753,42.000,55.500,42.046,1,2900,1000
1779015440263,42.000,55.750,42.050,1,2900,1000
1779015440774,42.000,55.500,42.081,1,2900,1000
1779015441287,42.000,55.000,42.053,1,2900,1000
1779015441796,42.000,55.750,43.031,1,2900,1000
1779015442307,42.000,55.875,43.021,1,2900,1000
1779015442817,42.000,55.500,42.093,1,2900,1000
1779015443328,43.000,55.125,42.038,1,2900,1000
1779015443839,43.000,55.125,42.056,1,2900,1000
1779015444348,42.000,55.625,43.079,1,2900,1000
1779015444857,42.000,55.000,43.017,1,2900,1000
1779015445368,42.000,55.000,43.036,1,2900,1000
1779015445878,42.000,58.250,48.074,1,2900,1000
1779015446388,42.000,62.375,54.046,1,2900,1000
1779015446898,42.000,64.625,53.040,1,2900,1000
1779015447408,42.000,65.875,54.026,1,2900,1000
1779015447918,42.000,66.750,54.019,1,2900,1000
1779015448429,42.000,67.250,54.010,1,2900,1000
1779015448941,43.000,67.500,53.018,1,2900,1000
1779015449452,42.000,67.375,53.071,1,2900,1000
1779015449961,42.000,67.375,54.047,1,2900,1000
1779015450473,42.000,67.250,53.056,1,2900,1000
1779015450983,42.000,67.250,53.004,1,2900,1000
1779015451492,42.000,67.250,53.096,1,2900,1000
1779015452003,42.000,67.125,54.012,1,2900,1000
1779015452512,42.000,67.000,52.077,1,2900,1000
1779015453024,42.000,67.000,52.092,1,2900,1000
1779015453535,42.000,66.875,53.034,1,2900,1000
1779015454045,42.000,66.875,53.070,1,2900,1000
1779015454554,42.000,66.750,52.095,1,2900,1000
1779015455065,42.000,66.625,53.085,1,2900,1000
1779015455575,42.000,66.625,54.020,1,2900,1000
1779015456084,43.000,66.625,54.027,1,2900,1000
1779015456596,42.000,66.500,54.063,1,2900,1000
1779015457107,42.000,66.500,54.044,1,2900,1000
1779015457617,42.000,66.375,54.034,1,2900,1000
1779015458127,42.000,66.250,52.099,1,2900,1000
1779015458638,42.000,66.125,53.014,1,2900,1000
1779015459148,42.000,66.000,53.042,1,2900,1000
1779015459658,42.000,66.000,53.089,1,2900,1000
1779015460169,42.000,66.000,53.060,1,2900,1000
1779015460678,42.000,66.000,54.010,1,2900,1000
1779015461190,42.000,66.000,54.061,1,2900,1000
1779015461700,42.000,66.000,54.026,1,2900,1000
1779015462211,42.000,66.000,53.099,1,2900,1000
1779015462721,42.000,66.000,54.022,1,2900,1000
1779015463231,42.000,65.750,54.032,1,2900,1000
1779015463742,42.000,65.500,53.008,1,2900,1000
1779015464252,42.000,65.375,53.030,1,2900,1000
1779015464764,42.000,65.250,53.067,1,2900,1000
1779015465274,42.000,65.000,53.044,1,2900,1000
1779015465785,42.000,64.875,52.060,1,2900,1000
1779015466297,43.000,64.750,53.005,1,2900,1000
1779015466807,42.000,64.625,53.086,1,2900,1000
1779015467317,42.000,64.375,52.044,1,2900,1000
1779015467830,42.000,64.250,52.005,1,2900,1000
1779015468339,42.000,64.125,52.066,1,2900,1000
1779015468849,43.000,63.875,52.092,1,2900,1000
1779015469362,42.000,63.750,52.011,1,2900,1000
1779015469871,42.000,63.500,52.069,1,2900,1000
1779015470380,42.000,63.375,53.010,1,2900,1000
1779015470892,42.000,63.125,52.059,1,2900,1000
1779015471404,42.000,63.000,51.091,1,2900,1000
1779015471916,43.000,63.000,53.059,1,2900,1000
1779015472425,42.000,62.875,53.097,1,2900,1000
1779015472935,42.000,62.625,52.032,1,2900,1000
1779015473447,42.000,62.500,52.017,1,2900,1000
1779015473958,42.000,62.125,52.010,1,2900,1000
1779015474468,42.000,62.000,52.009,1,2900,1000
1779015474977,42.000,61.750,50.074,1,2900,1000
1779015475487,42.000,61.625,50.074,1,2900,1000
1779015475998,42.000,61.500,51.039,1,2900,1000
1779015476508,42.000,61.500,51.077,1,2900,1000
1779015477017,42.000,62.000,52.098,1,2900,1000
1779015477528,42.000,64.625,56.042,1,2900,1000
1779015478039,42.000,64.000,55.028,1,2900,1000
1779015478549,42.000,63.250,54.013,1,2900,1000
1779015479058,42.000,62.500,51.083,1,2900,1000
1779015479569,42.000,62.125,51.046,1,2900,1000
1779015480080,42.000,61.750,51.031,1,2900,1000
1779015480590,42.000,61.375,51.027,1,2900,1000
1779015481099,42.000,61.000,50.014,1,2900,1000
1779015481609,42.000,61.000,50.075,1,2900,1000
1779015482119,42.000,61.000,51.058,1,2900,1000
1779015482633,42.000,60.750,51.038,1,2900,1000
1779015483143,42.000,60.500,50.035,1,2900,1000
1779015483653,42.000,60.250,50.032,1,2900,1000
1779015484164,43.000,60.250,50.082,1,2900,1000
1779015484673,42.000,60.000,50.081,1,2900,1000
1779015485183,42.000,59.875,50.025,1,2900,1000
1779015485694,43.000,59.875,49.098,1,2900,1000
1779015486207,42.000,59.875,50.012,1,2900,1000
1779015486717,42.000,60.625,52.023,1,2900,1000
1779015487227,42.000,60.375,52.000,1,2900,1000
1779015487736,42.000,60.250,51.041,1,2900,1000
1779015488245,42.000,60.125,51.076,1,2900,1000
1779015488755,42.000,60.000,50.096,1,2900,1000
1779015489265,42.000,59.750,50.006,1,2900,1000
1779015489775,42.000,59.625,50.027,1,2900,1000
1779015490287,42.000,59.500,49.097,1,2900,1000
1779015490795,42.000,59.375,49.062,1,2900,1000
1779015491306,42.000,59.125,49.012,1,2900,1000
1779015491815,42.000,59.250,49.047,1,2900,1000
1779015492325,42.000,59.125,50.040,1,2900,1000
1779015492833,42.000,59.000,50.041,1,2900,1000
1779015493344,42.000,58.750,49.059,1,2900,1000
1779015493855,42.000,60.125,50.096,1,2900,1000
1779015494365,42.000,61.000,51.053,1,2900,1000
1779015494877,42.000,61.375,51.026,1,2900,1000
1779015495391,42.000,61.750,50.068,1,2900,1000
1779015495917,42.000,62.000,50.069,1,2900,1000
1779015496427,42.000,62.000,50.096,1,2900,1000
1779015496937,42.000,62.000,51.021,1,2900,1000
1779015497448,42.000,62.000,50.092,1,2900,1000
1779015497961,42.000,61.875,51.035,1,2900,1000
1779015498472,42.000,61.875,51.065,1,2900,1000
1779015498984,42.000,61.875,52.001,1,2900,1000
1779015499493,42.000,62.000,51.029,1,2900,1000
1779015500004,42.000,63.125,51.016,1,2900,1000
1779015500513,42.000,63.750,51.039,1,2900,1000
1779015501024,42.000,64.500,51.031,1,2900,1000
1779015501534,42.000,65.000,50.028,1,2900,1000
1779015502044,42.000,64.375,50.041,1,2900,1000
1779015502556,43.000,63.375,51.019,1,2900,1000
1779015503065,42.000,63.000,51.045,1,2900,1000
1779015503575,42.000,62.375,50.042,1,2900,1000
1779015504085,42.000,62.125,50.058,1,2900,1000
1779015504596,42.000,61.875,50.080,1,2900,1000
1779015505106,42.000,61.750,50.098,1,2900,1000
1779015505619,42.000,61.500,49.077,1,2900,1000
1779015506131,42.000,61.500,49.060,1,2900,1000
