epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779015532448,44.000,55.500,47.009,12,2900,1000
1779015532960,44.000,58.625,48.005,8,2900,1000
1779015533471,46.000,59.375,52.046,10,2900,1000
1779015533983,46.000,59.500,59.074,26,2900,1000
1779015534497,47.000,59.625,63.069,37,2900,1000
1779015535007,46.000,60.500,67.075,42,2900,1000
1779015535519,48.000,61.375,71.023,50,2900,1000
1779015536029,47.000,60.625,79.066,68,2900,1000
1779015536538,47.000,60.375,87.018,78,2900,1000
1779015537050,48.000,60.500,90.031,83,2900,1000
1779015537558,47.000,60.375,85.098,86,2900,1000
1779015538073,53.000,59.500,83.009,85,2900,1000
1779015538591,50.000,59.000,79.040,67,2900,1000
1779015539104,55.000,58.000,95.059,79,2900,1000
1779015539620,54.000,57.500,105.015,86,2900,1000
1779015540133,56.000,57.875,111.006,90,2900,1000
1779015540645,56.000,58.125,114.061,93,2900,1000
1779015541160,56.000,57.875,116.075,95,2900,1000
1779015541673,57.000,57.750,118.004,96,2900,1000
1779015542188,57.000,57.750,118.059,96,2900,1000
1779015542707,58.000,57.875,119.014,96,2900,1000
1779015543225,57.000,57.875,119.049,97,2900,1000
1779015543740,58.000,58.125,119.022,96,2900,1000
1779015544254,59.000,58.375,119.051,97,2900,1000
1779015544766,58.000,58.500,119.079,97,2900,1000
1779015545285,60.000,58.750,119.086,97,2900,1000
1779015545802,58.000,58.875,119.039,96,2900,1000
1779015546319,58.000,59.125,119.068,97,2900,1000
1779015546836,60.000,59.500,119.077,97,2900,1000
1779015547352,59.000,59.500,119.085,97,2900,1000
1779015547869,63.000,59.750,120.072,97,2900,1000
1779015548392,59.000,60.000,119.067,96,2900,1000
1779015548907,59.000,60.000,119.077,97,2900,1000
1779015549423,60.000,60.125,119.090,97,2900,1000
1779015549940,60.000,60.250,119.092,97,2900,1000
