epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779015552121,46.000,57.750,48.011,12,2900,1000
1779015552635,46.000,61.000,48.090,8,2900,1000
1779015553145,49.000,61.125,54.004,12,2900,1000
1779015553655,48.000,61.000,60.031,27,2900,1000
1779015554166,49.000,61.375,65.082,37,2900,1000
1779015554678,49.000,62.000,70.011,43,2900,1000
1779015555189,49.000,61.875,71.040,51,2900,1000
1779015555700,49.000,61.875,81.035,68,2900,1000
1779015556215,49.000,62.750,88.035,79,2900,1000
1779015556726,55.000,61.625,98.066,86,2900,1000
1779015557244,54.000,61.875,92.099,88,2900,1000
1779015557756,55.000,60.625,103.080,93,2900,1000
1779015558273,56.000,59.875,110.034,95,2900,1000
1779015558790,58.000,59.500,113.097,95,2900,1000
1779015559304,57.000,59.250,116.048,96,2900,1000
1779015559815,59.000,59.250,117.081,97,2900,1000
1779015560328,58.000,59.125,118.077,97,2900,1000
1779015560843,58.000,59.250,118.083,96,2900,1000
1779015561356,60.000,59.250,119.025,97,2900,1000
1779015561872,59.000,59.375,119.061,97,2900,1000
1779015562387,60.000,59.500,119.020,96,2900,1000
1779015562901,60.000,59.750,119.055,97,2900,1000
1779015563419,60.000,59.875,119.075,97,2900,1000
1779015563932,60.000,59.875,119.089,97,2900,1000
1779015564450,59.000,60.125,119.063,95,2900,1000
1779015564966,60.000,60.375,119.077,96,2900,1000
1779015565481,60.000,60.500,119.082,97,2900,1000
1779015565995,61.000,60.500,119.093,97,2900,1000
1779015566506,61.000,60.875,119.033,96,2900,1000
1779015567021,60.000,61.000,119.053,97,2900,1000
1779015567534,60.000,61.125,119.086,97,2900,1000
1779015568046,61.000,61.125,119.086,97,2900,1000
1779015568560,49.000,61.500,112.090,87,2900,1000
