epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779015570589,47.000,59.625,48.044,12,2900,1000
1779015571099,47.000,62.125,49.034,8,2900,1000
1779015571611,49.000,66.500,56.082,11,2900,1000
1779015572122,49.000,66.125,63.003,26,2900,1000
1779015572633,50.000,65.625,67.056,37,2900,1000
1779015573147,50.000,65.500,71.044,43,2900,1000
1779015573657,51.000,64.625,73.006,51,2900,1000
1779015574167,50.000,64.750,78.028,68,2900,1000
1779015574677,50.000,64.125,83.005,79,2900,1000
1779015575187,56.000,63.625,93.037,85,2900,1000
1779015575707,52.000,62.750,89.080,88,2900,1000
1779015576220,57.000,61.750,101.091,92,2900,1000
1779015576732,56.000,61.000,108.088,94,2900,1000
1779015577242,60.000,60.625,113.029,95,2900,1000
1779015577758,59.000,60.250,116.003,96,2900,1000
1779015578272,60.000,60.125,117.062,96,2900,1000
1779015578788,58.000,60.000,118.061,97,2900,1000
1779015579303,60.000,60.125,118.085,96,2900,1000
1779015579819,60.000,60.125,119.024,96,2900,1000
1779015580335,59.000,60.125,119.059,97,2900,1000
1779015580851,61.000,60.375,119.024,96,2900,1000
1779015581368,61.000,60.625,119.058,96,2900,1000
1779015581884,61.000,60.750,119.076,97,2900,1000
1779015582401,61.000,60.875,119.086,97,2900,1000
1779015582917,60.000,61.000,119.053,95,2900,1000
1779015583429,62.000,61.250,119.074,96,2900,1000
1779015583943,62.000,61.375,119.084,97,2900,1000
1779015584457,61.000,61.500,119.093,97,2900,1000
1779015584973,62.000,61.875,119.039,96,2900,1000
1779015585487,62.000,61.875,119.058,96,2900,1000
1779015586004,61.000,62.125,119.084,97,2900,1000
1779015586519,62.000,62.250,119.085,97,2900,1000
