epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779015589027,49.000,61.000,48.057,12,2900,1000
1779015589538,49.000,64.000,49.087,8,2900,1000
1779015590053,51.000,64.125,54.055,11,2900,1000
1779015590563,51.000,63.750,60.042,26,2900,1000
1779015591075,51.000,63.875,65.069,36,2900,1000
1779015591586,51.000,64.625,70.042,41,2900,1000
1779015592096,51.000,65.125,72.013,46,2900,1000
1779015592605,51.000,65.625,81.045,65,2900,1000
1779015593115,51.000,65.250,89.062,77,2900,1000
1779015593628,52.000,64.375,91.034,83,2900,1000
1779015594137,52.000,65.250,89.082,87,2900,1000
1779015594648,50.000,65.375,84.038,86,2900,1000
1779015595158,49.000,64.500,87.009,76,2900,1000
1779015595668,56.000,63.500,99.093,83,2900,1000
1779015596185,58.000,62.750,108.003,89,2900,1000
1779015596701,60.000,62.250,112.065,92,2900,1000
1779015597215,60.000,61.875,115.061,94,2900,1000
1779015597729,59.000,61.500,117.041,95,2900,1000
1779015598248,58.000,61.500,118.043,96,2900,1000
1779015598763,61.000,61.375,118.083,96,2900,1000
1779015599278,61.000,61.250,119.025,96,2900,1000
1779015599791,60.000,61.125,119.058,97,2900,1000
1779015600305,61.000,61.125,119.033,96,2900,1000
1779015600820,60.000,61.375,119.065,96,2900,1000
1779015601338,61.000,61.625,119.077,96,2900,1000
1779015601855,62.000,61.625,119.086,97,2900,1000
1779015602373,62.000,61.875,119.063,95,2900,1000
1779015602887,62.000,62.375,119.078,96,2900,1000
1779015603403,60.000,63.625,119.090,97,2900,1000
1779015603916,63.000,63.375,119.088,97,2900,1000
1779015604435,62.000,63.250,119.048,96,2900,1000
1779015604953,62.000,63.125,119.066,96,2900,1000
1779015605467,63.000,63.000,119.083,97,2900,1000
1779015605982,62.000,62.875,119.090,97,2900,1000
1779015606495,51.000,62.875,112.032,87,2900,1000
