epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779197155227,41.000,46.250,29.095,1,2900,1000
1779197155738,41.000,54.875,36.002,1,2900,1000
1779197156248,40.000,54.750,36.072,1,2900,1000
1779197156756,42.000,55.000,44.040,9,2900,1000
1779197157267,42.000,54.750,47.080,17,2900,1000
1779197157777,42.000,54.375,49.097,22,2900,1000
1779197158286,42.000,54.750,51.012,25,2900,1000
1779197158796,42.000,54.375,52.005,27,2900,1000
1779197159307,42.000,54.750,52.068,29,2900,1000
1779197159816,42.000,54.875,53.044,30,2900,1000
1779197160327,42.000,57.750,55.096,30,2900,1000
1779197160836,42.000,61.000,58.059,31,2900,1000
1779197161346,43.000,59.375,57.006,31,2900,1000
1779197161856,43.000,59.500,67.053,48,2900,1000
1779197162366,53.000,59.125,73.019,52,2900,1000
1779197162885,50.000,57.500,70.086,46,2900,1000
1779197163400,50.000,56.000,87.059,67,2900,1000
1779197163913,51.000,54.750,95.015,79,2900,1000
1779197164424,51.000,54.000,100.024,85,2900,1000
1779197164935,51.000,53.625,105.001,90,2900,1000
1779197165448,52.000,53.500,109.091,93,2900,1000
1779197165961,53.000,53.500,111.093,95,2900,1000
1779197166474,52.000,53.500,111.023,96,2900,1000
1779197166987,54.000,53.500,111.034,96,2900,1000
1779197167500,55.000,53.625,112.061,96,2900,1000
1779197168013,53.000,53.500,111.033,97,2900,1000
1779197168524,53.000,53.375,109.034,97,2900,1000
1779197169035,52.000,53.500,109.056,98,2900,1000
1779197169548,53.000,53.625,109.072,98,2900,1000
1779197170060,55.000,53.875,111.048,97,2900,1000
1779197170572,54.000,54.000,111.083,97,2900,1000
1779197171084,53.000,54.000,111.028,97,2900,1000
1779197171597,54.000,54.250,112.031,98,2900,1000
1779197172110,54.000,54.375,112.020,98,2900,1000
1779197172622,55.000,54.625,113.035,97,2900,1000
1779197173134,52.000,54.500,111.055,97,2900,1000
1779197173646,54.000,54.750,111.090,97,2900,1000
1779197174160,54.000,54.750,111.066,97,2900,1000
1779197174672,53.000,54.875,112.001,98,2900,1000
1779197175186,56.000,55.125,113.016,96,2900,1000
1779197175700,55.000,55.375,114.016,97,2900,1000
1779197176211,55.000,55.500,114.054,97,2900,1000
1779197176722,55.000,55.500,114.038,97,2900,1000
1779197177234,56.000,55.625,114.053,98,2900,1000
1779197177745,48.000,55.750,111.047,94,2900,1000
