epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779197179907,44.000,52.375,39.075,11,2900,1000
1779197180418,44.000,60.375,39.080,7,2900,1000
1779197180928,44.000,59.000,39.082,5,2900,1000
1779197181436,46.000,58.375,46.018,18,2900,1000
1779197181946,46.000,58.250,52.026,30,2900,1000
1779197182454,46.000,58.375,56.006,37,2900,1000
1779197182963,46.000,58.500,58.028,42,2900,1000
1779197183471,46.000,58.500,58.076,44,2900,1000
1779197183980,46.000,57.750,58.024,45,2900,1000
1779197184491,52.000,57.500,67.047,51,2900,1000
1779197185005,44.000,56.375,64.079,42,2900,1000
1779197185516,55.000,56.000,86.061,63,2900,1000
1779197186031,57.000,56.125,99.098,77,2900,1000
1779197186543,56.000,56.250,107.039,84,2900,1000
1779197187056,58.000,56.625,112.056,89,2900,1000
1779197187570,59.000,57.125,115.058,92,2900,1000
1779197188084,57.000,57.500,117.020,94,2900,1000
1779197188594,59.000,57.750,117.081,94,2900,1000
1779197189107,57.000,58.000,118.062,95,2900,1000
1779197189619,58.000,58.125,119.024,96,2900,1000
1779197190132,59.000,58.375,119.057,96,2900,1000
1779197190645,57.000,58.500,118.077,95,2900,1000
1779197191158,59.000,58.500,119.033,96,2900,1000
1779197191672,59.000,59.000,119.063,96,2900,1000
1779197192183,58.000,59.875,119.073,96,2900,1000
1779197192695,57.000,59.625,119.091,96,2900,1000
1779197193209,58.000,59.750,119.016,95,2900,1000
1779197193725,59.000,59.750,119.053,95,2900,1000
1779197194237,60.000,59.625,119.067,96,2900,1000
1779197194751,59.000,59.625,119.077,96,2900,1000
1779197195264,60.000,59.750,119.023,95,2900,1000
1779197195776,60.000,59.875,119.043,96,2900,1000
1779197196290,60.000,60.000,119.075,96,2900,1000
1779197196803,58.000,60.000,119.078,96,2900,1000
1779197197316,60.000,60.125,119.085,96,2900,1000
