epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779197760177,41.000,46.625,29.050,1,2900,1000
1779197760687,41.000,54.875,35.073,1,2900,1000
1779197761197,41.000,55.125,37.081,1,2900,1000
1779197761707,41.000,55.125,41.001,3,2900,1000
1779197762215,44.000,55.625,49.085,23,2900,1000
1779197762725,43.000,56.375,56.052,37,2900,1000
1779197763234,44.000,57.000,61.017,46,2900,1000
1779197763744,43.000,58.125,63.039,47,2900,1000
1779197764253,43.000,59.500,65.079,46,2900,1000
1779197764762,43.000,60.250,65.039,45,2900,1000
1779197765272,43.000,58.250,61.096,46,2900,1000
1779197765782,42.000,57.000,58.055,40,2900,1000
1779197766292,46.000,55.875,66.097,45,2900,1000
1779197766804,52.000,55.000,87.053,66,2900,1000
1779197767317,52.000,54.250,96.064,80,2900,1000
1779197767828,52.000,53.625,101.066,88,2900,1000
1779197768339,52.000,53.500,105.092,92,2900,1000
1779197768852,51.000,53.250,108.089,95,2900,1000
1779197769367,52.000,53.000,109.065,97,2900,1000
1779197769879,52.000,53.000,110.022,98,2900,1000
1779197770390,52.000,53.000,110.090,99,2900,1000
1779197770900,52.000,53.000,111.016,99,2900,1000
1779197771410,53.000,53.125,111.082,99,2900,1000
1779197771921,53.000,53.125,111.068,100,2900,1000
1779197772431,54.000,53.375,113.004,100,2900,1000
1779197772944,53.000,53.500,112.035,100,2900,1000
1779197773454,52.000,53.625,112.042,100,2900,1000
1779197773966,54.000,53.500,110.075,100,2900,1000
1779197774478,54.000,53.750,111.067,100,2900,1000
1779197774991,54.000,53.750,110.042,100,2900,1000
1779197775500,53.000,53.750,109.048,100,2900,1000
1779197776013,53.000,53.625,108.026,100,2900,1000
1779197776526,54.000,53.875,109.045,100,2900,1000
1779197777039,53.000,54.000,109.067,100,2900,1000
1779197777551,54.000,54.125,109.083,100,2900,1000
1779197778063,55.000,54.375,110.078,100,2900,1000
1779197778575,54.000,54.500,111.073,100,2900,1000
1779197779087,54.000,54.625,112.083,100,2900,1000
1779197779600,54.000,55.000,113.053,100,2900,1000
1779197780111,55.000,59.875,115.099,100,2900,1000
1779197780622,56.000,60.625,116.084,100,2900,1000
1779197781132,55.000,59.500,115.069,100,2900,1000
1779197781642,55.000,58.500,114.038,100,2900,1000
1779197782154,56.000,57.750,112.096,100,2900,1000
1779197782664,55.000,57.125,112.046,100,2900,1000
1779197783176,55.000,56.625,111.096,100,2900,1000
1779197783688,56.000,56.500,113.050,100,2900,1000
1779197784202,56.000,56.500,114.058,100,2900,1000
1779197784716,55.000,56.375,115.032,100,2900,1000
1779197785230,56.000,56.375,115.023,100,2900,1000
1779197785742,55.000,56.375,115.024,100,2900,1000
1779197786256,55.000,56.250,113.060,100,2900,1000
1779197786768,55.000,56.250,112.050,100,2900,1000
1779197787280,55.000,56.125,111.022,100,2900,1000
1779197787791,55.000,56.125,110.072,100,2900,1000
1779197788302,56.000,56.125,110.053,100,2900,1000
1779197788815,56.000,56.250,111.039,100,2900,1000
1779197789326,55.000,56.375,111.040,100,2900,1000
1779197789838,57.000,56.500,111.079,100,2900,1000
1779197790350,57.000,56.375,110.090,100,2900,1000
1779197790858,56.000,56.500,111.048,100,2900,1000
1779197791372,56.000,56.500,110.013,100,2900,1000
1779197791881,57.000,57.125,111.075,98,2900,1000
1779197792392,56.000,57.125,110.038,98,2900,1000
1779197792901,57.000,57.125,110.063,99,2900,1000
1779197793411,57.000,57.250,111.011,99,2900,1000
1779197793922,56.000,57.500,112.010,99,2900,1000
1779197794432,57.000,57.500,111.091,100,2900,1000
1779197794945,57.000,57.625,112.095,100,2900,1000
1779197795460,58.000,58.875,115.057,100,2900,1000
1779197795973,57.000,58.750,115.033,100,2900,1000
1779197796486,58.000,58.625,114.063,100,2900,1000
1779197796997,57.000,58.500,114.000,100,2900,1000
1779197797509,59.000,58.375,113.073,100,2900,1000
1779197798021,58.000,58.375,114.035,100,2900,1000
1779197798532,58.000,58.500,116.019,100,2900,1000
1779197799044,58.000,58.750,117.045,100,2900,1000
1779197799556,58.000,59.875,118.049,100,2900,1000
1779197800068,58.000,59.750,117.031,99,2900,1000
1779197800579,58.000,59.500,116.000,100,2900,1000
1779197801090,58.000,59.250,115.065,100,2900,1000
1779197801602,58.000,59.125,116.033,100,2900,1000
1779197802114,58.000,59.125,116.027,100,2900,1000
1779197802626,58.000,59.000,114.074,100,2900,1000
1779197803139,58.000,59.000,114.003,100,2900,1000
1779197803650,58.000,58.875,112.068,100,2900,1000
1779197804163,59.000,58.875,112.091,100,2900,1000
1779197804676,60.000,59.000,112.084,100,2900,1000
1779197805189,59.000,59.000,112.006,100,2900,1000
1779197805700,59.000,58.875,110.062,100,2900,1000
1779197806211,58.000,58.875,109.087,100,2900,1000
1779197806723,59.000,59.000,110.069,100,2900,1000
1779197807235,59.000,59.125,111.084,100,2900,1000
1779197807747,59.000,59.375,112.052,100,2900,1000
1779197808260,59.000,59.500,112.086,100,2900,1000
1779197808774,59.000,59.625,113.085,100,2900,1000
1779197809286,60.000,59.750,114.041,100,2900,1000
1779197809799,59.000,59.875,114.005,100,2900,1000
1779197810308,60.000,59.875,114.010,100,2900,1000
1779197810818,61.000,60.125,114.091,100,2900,1000
1779197811332,60.000,61.000,115.020,100,2900,1000
1779197811841,60.000,64.375,116.074,100,2900,1000
1779197812352,61.000,63.375,115.020,100,2900,1000
1779197812864,60.000,62.625,114.008,100,2900,1000
1779197813376,60.000,62.000,112.099,100,2900,1000
1779197813887,59.000,61.500,111.000,100,2900,1000
1779197814400,60.000,61.125,110.096,100,2900,1000
1779197814909,61.000,61.250,113.051,100,2900,1000
1779197815423,61.000,61.875,115.085,100,2900,1000
1779197815936,61.000,62.500,116.043,100,2900,1000
1779197816449,60.000,63.125,116.037,100,2900,1000
1779197816962,61.000,63.125,115.064,97,2900,1000
1779197817474,60.000,63.500,116.032,98,2900,1000
1779197817986,61.000,63.875,116.005,99,2900,1000
1779197818500,60.000,64.250,115.031,99,2900,1000
1779197819010,60.000,64.125,115.060,99,2900,1000
1779197819523,60.000,64.125,115.008,100,2900,1000
1779197820036,61.000,64.125,115.001,100,2900,1000
1779197820548,61.000,63.375,113.044,100,2900,1000
1779197821059,61.000,62.750,112.048,100,2900,1000
