epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779198007071,59.000,66.625,42.014,11,2900,1000
1779198007581,59.000,72.875,41.086,7,2900,1000
1779198008091,59.000,72.000,42.080,5,2900,1000
1779198008601,59.000,71.000,44.042,6,2900,1000
1779198009113,61.000,71.875,56.079,28,2900,1000
1779198009623,62.000,72.625,64.076,41,2900,1000
1779198010134,62.000,73.250,68.089,49,2900,1000
1779198010644,62.000,74.000,71.066,53,2900,1000
1779198011154,62.000,74.500,72.078,57,2900,1000
1779198011662,62.000,74.500,83.028,71,2900,1000
1779198012170,62.000,74.250,89.074,81,2900,1000
1779198012679,62.000,74.125,93.076,86,2900,1000
1779198013190,64.000,74.125,96.090,89,2900,1000
1779198013703,62.000,73.250,100.092,92,2900,1000
1779198014213,65.000,72.250,108.048,95,2900,1000
1779198014725,68.000,71.250,113.013,97,2900,1000
1779198015238,68.000,70.625,116.051,98,2900,1000
1779198015759,69.000,70.375,118.063,98,2900,1000
1779198016311,69.000,70.125,119.019,97,2900,1000
1779198016849,69.000,70.000,119.063,97,2900,1000
1779198017372,70.000,70.000,120.056,97,2900,1000
1779198017924,70.000,70.000,120.026,97,2900,1000
1779198018467,70.000,70.000,120.008,97,2900,1000
1779198018994,68.000,70.000,120.009,97,2900,1000
1779198019520,70.000,70.000,120.049,97,2900,1000
1779198020074,70.000,70.125,120.037,97,2900,1000
1779198020625,70.000,70.125,120.003,97,2900,1000
1779198021153,70.000,70.250,120.029,97,2900,1000
1779198021684,70.000,70.250,120.044,97,2900,1000
1779198022234,70.000,70.250,120.030,97,2900,1000
1779198022781,70.000,70.250,120.011,97,2900,1000
1779198023303,70.000,70.375,120.058,97,2900,1000
1779198023850,70.000,70.375,120.042,97,2900,1000
1779198024400,70.000,70.375,120.027,97,2900,1000
1779198024924,68.000,70.375,120.018,97,2900,1000
1779198025449,71.000,70.375,120.050,97,2900,1000
1779198026000,70.000,70.375,120.036,97,2900,1000
1779198026549,70.000,70.375,120.003,97,2900,1000
1779198027074,70.000,70.375,119.023,96,2900,1000
1779198027589,70.000,70.500,119.000,95,2900,1000
1779198028113,69.000,70.500,119.055,96,2900,1000
1779198028637,70.000,70.500,120.035,96,2900,1000
1779198029184,70.000,70.500,120.023,97,2900,1000
1779198029735,71.000,70.625,120.005,97,2900,1000
1779198030271,68.000,70.625,119.088,97,2900,1000
1779198030793,70.000,70.625,120.069,97,2900,1000
1779198031348,70.000,70.750,120.065,97,2900,1000
1779198031898,71.000,70.750,120.038,97,2900,1000
1779198032426,69.000,70.750,120.022,97,2900,1000
1779198032945,70.000,70.750,120.046,97,2900,1000
1779198033487,70.000,70.750,120.056,97,2900,1000
1779198034021,69.000,70.750,120.031,96,2900,1000
1779198034543,70.000,70.750,120.081,97,2900,1000
1779198035094,71.000,70.750,120.083,97,2900,1000
1779198035638,70.000,70.750,120.046,97,2900,1000
