epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779811663514,50.000,55.500,27.087,0,2900,1000
1779811664023,50.000,63.250,35.047,0,2900,1000
1779811664533,51.000,67.500,36.041,1,2900,1000
1779811665040,50.000,67.000,41.093,1,2900,1000
1779811665549,53.000,70.125,55.033,24,2900,1000
1779811666059,53.000,71.250,62.050,37,2900,1000
1779811666567,54.000,69.750,63.086,44,2900,1000
1779811667077,54.000,69.000,66.016,49,2900,1000
1779811667585,54.000,67.750,74.079,68,2900,1000
1779811668094,63.000,67.250,85.058,79,2900,1000
1779811668613,54.000,66.125,88.088,86,2900,1000
1779811669124,60.000,65.125,100.020,91,2900,1000
1779811669637,62.000,64.375,108.007,93,2900,1000
1779811670151,63.000,63.750,111.055,93,2900,1000
1779811670666,62.000,63.375,114.091,94,2900,1000
1779811671179,62.000,63.125,117.006,95,2900,1000
1779811671692,62.000,63.000,116.029,93,2900,1000
1779811672206,63.000,62.875,117.082,95,2900,1000
1779811672718,62.000,62.875,118.070,96,2900,1000
1779811673232,63.000,62.875,119.024,96,2900,1000
1779811673745,62.000,63.000,119.050,97,2900,1000
1779811674258,63.000,63.000,118.014,94,2900,1000
1779811674771,62.000,63.125,118.090,95,2900,1000
1779811675284,62.000,63.250,119.032,96,2900,1000
1779811675796,64.000,63.375,119.061,96,2900,1000
1779811676311,63.000,63.500,117.093,94,2900,1000
1779811676823,63.000,63.500,118.027,94,2900,1000
1779811677336,65.000,63.625,118.099,95,2900,1000
1779811677849,64.000,63.750,119.043,96,2900,1000
1779811678361,63.000,63.875,119.061,97,2900,1000
1779811678873,63.000,64.000,118.081,95,2900,1000
1779811679385,64.000,64.000,119.037,96,2900,1000
1779811679896,64.000,64.125,119.057,96,2900,1000
1779811680408,65.000,64.250,119.074,96,2900,1000
