epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779811322416,58.000,66.875,43.027,10,2900,1000
1779811322926,59.000,73.250,42.002,7,2900,1000
1779811323435,58.000,74.625,42.046,4,2900,1000
1779811323944,61.000,73.750,47.005,8,2900,1000
1779811324454,61.000,74.375,57.039,28,2900,1000
1779811324964,61.000,74.500,63.007,38,2900,1000
1779811325474,61.000,74.875,66.025,43,2900,1000
1779811325983,61.000,75.500,68.003,45,2900,1000
1779811326499,62.000,74.500,76.081,67,2900,1000
1779811327007,62.000,73.875,85.076,80,2900,1000
1779811327522,69.000,73.125,97.005,87,2900,1000
1779811328046,67.000,72.125,92.043,90,2900,1000
1779811328560,69.000,71.500,101.006,88,2900,1000
1779811329077,61.000,70.875,106.026,88,2900,1000
1779811329588,68.000,70.500,111.084,90,2900,1000
1779811330103,68.000,70.125,115.026,93,2900,1000
1779811330617,68.000,69.875,117.015,94,2900,1000
1779811331131,68.000,69.625,116.034,91,2900,1000
1779811331645,69.000,69.500,117.093,93,2900,1000
1779811332160,69.000,69.500,118.068,94,2900,1000
1779811332673,69.000,69.500,119.034,95,2900,1000
1779811333188,69.000,69.500,119.057,96,2900,1000
1779811333703,70.000,69.500,118.014,93,2900,1000
1779811334216,70.000,69.625,118.082,94,2900,1000
1779811334732,69.000,69.625,119.040,95,2900,1000
1779811335247,69.000,69.625,119.057,95,2900,1000
1779811335759,69.000,69.750,119.074,96,2900,1000
1779811336273,71.000,69.875,119.093,96,2900,1000
1779811336789,71.000,70.000,117.073,93,2900,1000
1779811337302,68.000,70.000,118.059,94,2900,1000
1779811337817,69.000,70.000,119.040,95,2900,1000
1779811338336,69.000,70.000,119.047,94,2900,1000
1779811338852,70.000,70.125,119.075,95,2900,1000
1779811339370,69.000,70.125,119.050,95,2900,1000
1779811339880,69.000,70.250,118.083,94,2900,1000
1779811340394,69.000,70.250,119.030,95,2900,1000
1779811340905,69.000,70.250,119.048,95,2900,1000
1779811341419,69.000,70.375,119.073,96,2900,1000
