epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779811492605,60.000,66.000,35.059,10,2900,1000
1779811493116,60.000,73.125,37.033,7,2900,1000
1779811493624,59.000,74.750,38.058,4,2900,1000
1779811494133,63.000,73.625,43.009,9,2900,1000
1779811494643,63.000,74.000,55.042,29,2900,1000
1779811495152,62.000,74.375,61.060,39,2900,1000
1779811495660,62.000,74.625,66.002,45,2900,1000
1779811496170,63.000,74.875,69.033,52,2900,1000
1779811496679,63.000,74.500,81.024,69,2900,1000
1779811497190,65.000,74.000,94.061,80,2900,1000
1779811497703,64.000,73.375,96.037,86,2900,1000
1779811498215,69.000,72.750,104.056,91,2900,1000
1779811498728,69.000,72.125,110.076,93,2900,1000
1779811499242,70.000,71.625,114.054,95,2900,1000
1779811499753,69.000,71.250,116.067,95,2900,1000
1779811500268,70.000,71.000,117.098,96,2900,1000
1779811500782,70.000,70.750,118.080,96,2900,1000
1779811501297,71.000,70.625,119.033,96,2900,1000
1779811501809,71.000,70.625,119.055,96,2900,1000
1779811502322,69.000,70.500,119.071,96,2900,1000
1779811502837,70.000,70.625,118.009,94,2900,1000
1779811503350,71.000,70.625,118.084,95,2900,1000
1779811503863,70.000,70.750,119.038,95,2900,1000
1779811504375,71.000,70.750,119.060,96,2900,1000
1779811504888,70.000,70.750,119.078,96,2900,1000
1779811505401,70.000,70.750,119.081,96,2900,1000
1779811505914,71.000,70.875,119.090,96,2900,1000
1779811506427,72.000,70.875,119.095,96,2900,1000
1779811506939,70.000,70.875,120.003,96,2900,1000
1779811507451,71.000,71.000,118.052,94,2900,1000
1779811507964,70.000,71.000,119.014,95,2900,1000
1779811508479,71.000,71.000,119.035,95,2900,1000
1779811508990,71.000,71.125,119.068,96,2900,1000
1779811509504,71.000,71.250,119.081,96,2900,1000
1779811510016,71.000,71.375,119.083,97,2900,1000
1779811510530,71.000,71.375,119.090,96,2900,1000
1779811511043,71.000,71.375,119.094,97,2900,1000
1779811511556,70.000,71.500,120.003,97,2900,1000
1779811512070,71.000,71.625,119.095,97,2900,1000
1779811512582,72.000,71.750,120.004,97,2900,1000
1779811513094,73.000,71.750,119.099,97,2900,1000
1779811513606,72.000,71.875,119.098,97,2900,1000
1779811514118,65.000,71.875,118.058,95,2900,1000
1779811514631,72.000,71.875,118.077,94,2900,1000
1779811515145,71.000,71.875,119.025,95,2900,1000
1779811515658,72.000,71.875,119.055,96,2900,1000
1779811516171,71.000,72.000,119.069,96,2900,1000
1779811516685,71.000,72.000,119.082,97,2900,1000
1779811517197,72.000,72.000,119.097,97,2900,1000
1779811517711,71.000,72.125,119.093,97,2900,1000
1779811518222,71.000,72.250,119.095,97,2900,1000
1779811518736,71.000,72.250,119.098,97,2900,1000
1779811519246,71.000,72.375,119.097,97,2900,1000
1779811519759,71.000,72.375,120.003,97,2900,1000
1779811520271,73.000,72.500,120.001,97,2900,1000
1779811520783,71.000,72.500,119.093,97,2900,1000
1779811521296,71.000,72.500,118.048,94,2900,1000
1779811521810,73.000,72.500,119.015,95,2900,1000
1779811522322,71.000,72.625,119.041,96,2900,1000
1779811522834,74.000,72.625,119.077,96,2900,1000
1779811523344,72.000,72.750,119.080,97,2900,1000
1779811523857,72.000,72.750,119.084,97,2900,1000
1779811524368,73.000,72.875,119.097,97,2900,1000
1779811524881,73.000,72.875,119.094,97,2900,1000
1779811525394,71.000,72.875,120.001,97,2900,1000
1779811525909,72.000,72.875,120.001,97,2900,1000
1779811526423,73.000,73.000,119.096,97,2900,1000
1779811526936,72.000,73.000,119.096,97,2900,1000
1779811527448,72.000,73.000,118.034,94,2900,1000
1779811527962,72.000,73.000,118.098,95,2900,1000
1779811528475,72.000,73.125,119.041,96,2900,1000
1779811528985,73.000,73.125,119.065,96,2900,1000
1779811529498,74.000,73.125,119.077,96,2900,1000
1779811530008,72.000,73.125,119.086,96,2900,1000
1779811530520,72.000,73.125,120.002,96,2900,1000
1779811531032,73.000,73.125,120.016,96,2900,1000
1779811531546,73.000,73.250,119.094,96,2900,1000
1779811532059,73.000,73.250,119.097,96,2900,1000
