epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779895102514,48.000,53.375,25.017,0,2900,1000
1779895103025,47.000,61.500,33.058,0,2900,1000
1779895103535,48.000,61.750,35.027,1,2900,1000
1779895104044,50.000,62.250,45.081,11,2900,1000
1779895104556,50.000,62.000,53.044,24,2900,1000
1779895105065,50.000,61.875,57.046,32,2900,1000
1779895105580,49.000,61.625,75.003,48,2900,1000
1779895106091,57.000,60.875,90.094,66,2900,1000
1779895106605,57.000,60.250,101.008,78,2900,1000
1779895107119,58.000,59.625,105.081,84,2900,1000
1779895107632,57.000,59.250,109.043,90,2900,1000
1779895108143,58.000,59.125,111.069,93,2900,1000
1779895108655,59.000,58.875,112.043,95,2900,1000
1779895109166,58.000,58.750,113.019,96,2900,1000
1779895109675,57.000,58.875,111.024,93,2900,1000
1779895110187,59.000,58.875,112.053,95,2900,1000
1779895110698,61.000,59.125,115.010,96,2900,1000
1779895111209,59.000,59.375,116.021,96,2900,1000
1779895111722,58.000,59.500,115.099,97,2900,1000
1779895112234,58.000,59.375,114.000,97,2900,1000
1779895112746,59.000,59.500,112.036,95,2900,1000
1779895113258,59.000,59.375,110.063,96,2900,1000
1779895113769,58.000,59.500,110.086,97,2900,1000
1779895114280,58.000,59.500,110.023,97,2900,1000
1779895114792,59.000,59.500,109.027,97,2900,1000
1779895115301,59.000,59.750,109.011,94,2900,1000
1779895115813,60.000,59.875,111.019,96,2900,1000
1779895116325,60.000,60.125,112.075,96,2900,1000
1779895116836,60.000,60.250,114.010,97,2900,1000
1779895117346,61.000,60.500,113.093,97,2900,1000
1779895117860,61.000,63.000,114.083,95,2900,1000
1779895118378,59.000,63.250,114.081,95,2900,1000
1779895118892,59.000,62.750,113.073,96,2900,1000
1779895119405,60.000,62.250,112.043,97,2900,1000
1779895119915,60.000,61.875,111.054,97,2900,1000
1779895120427,60.000,61.625,110.040,97,2900,1000
