epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779895557037,59.000,65.375,37.014,11,2900,1000
1779895557548,58.000,71.750,38.005,7,2900,1000
1779895558056,59.000,73.500,38.089,5,2900,1000
1779895558564,61.000,72.250,42.009,7,2900,1000
1779895559073,61.000,72.375,52.045,24,2900,1000
1779895559582,60.000,73.625,63.010,31,2900,1000
1779895560096,66.000,73.375,74.091,41,2900,1000
1779895560617,59.000,71.750,70.013,37,2900,1000
1779895561126,67.000,71.125,80.024,48,2900,1000
1779895561641,69.000,70.500,96.027,67,2900,1000
1779895562154,67.000,70.375,104.094,77,2900,1000
1779895562665,67.000,71.125,110.099,85,2900,1000
1779895563181,69.000,70.625,114.062,89,2900,1000
1779895563694,68.000,70.125,115.063,90,2900,1000
1779895564207,69.000,69.750,117.036,92,2900,1000
1779895564719,67.000,69.625,118.035,94,2900,1000
1779895565231,69.000,69.500,119.009,95,2900,1000
1779895565743,70.000,69.375,119.047,96,2900,1000
1779895566255,69.000,69.250,118.078,94,2900,1000
1779895566768,67.000,69.250,119.028,95,2900,1000
1779895567280,68.000,69.250,119.057,96,2900,1000
1779895567793,69.000,69.375,119.076,96,2900,1000
1779895568305,68.000,69.250,118.088,94,2900,1000
1779895568818,70.000,69.375,119.035,95,2900,1000
1779895569330,69.000,69.375,119.059,96,2900,1000
1779895569843,70.000,69.500,119.076,96,2900,1000
1779895570357,66.000,69.500,118.065,94,2900,1000
1779895570871,69.000,69.625,119.024,95,2900,1000
1779895571384,70.000,69.625,119.052,96,2900,1000
1779895571894,69.000,69.625,119.078,96,2900,1000
