epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779895415048,57.000,60.500,25.016,0,2900,1000
1779895415559,56.000,67.875,33.050,0,2900,1000
1779895416067,56.000,71.750,35.092,0,2900,1000
1779895416577,56.000,71.875,42.005,1,2900,1000
1779895417085,59.000,71.625,52.044,19,2900,1000
1779895417594,58.000,71.125,57.082,28,2900,1000
1779895418107,68.000,70.875,69.049,40,2900,1000
1779895418654,56.000,69.500,66.082,37,2900,1000
1779895419167,67.000,68.750,84.034,55,2900,1000
1779895419680,67.000,68.250,98.065,72,2900,1000
1779895420193,66.000,67.750,106.031,80,2900,1000
1779895420707,66.000,67.500,111.079,87,2900,1000
1779895421220,67.000,67.250,115.014,91,2900,1000
1779895421732,66.000,67.250,115.072,91,2900,1000
1779895422246,66.000,67.125,117.052,93,2900,1000
1779895422758,66.000,67.125,118.049,95,2900,1000
1779895423272,67.000,67.250,119.011,95,2900,1000
1779895423784,67.000,67.375,119.049,96,2900,1000
1779895424298,67.000,67.375,118.073,95,2900,1000
1779895424810,67.000,67.375,119.021,95,2900,1000
1779895425323,68.000,67.500,119.057,96,2900,1000
1779895425836,67.000,67.625,119.069,96,2900,1000
1779895426348,68.000,67.750,118.076,95,2900,1000
1779895426862,67.000,67.750,119.028,95,2900,1000
1779895427373,66.000,67.750,119.052,96,2900,1000
1779895427885,67.000,67.750,119.073,96,2900,1000
1779895428401,69.000,67.875,118.068,94,2900,1000
1779895428914,67.000,67.875,119.021,95,2900,1000
1779895429428,68.000,68.000,119.053,96,2900,1000
1779895429941,68.000,68.125,119.076,96,2900,1000
