epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1779895574371,59.000,65.250,35.018,11,2900,1000
1779895574881,59.000,72.125,36.066,7,2900,1000
1779895575390,59.000,73.750,38.061,5,2900,1000
1779895575898,62.000,72.625,42.008,8,2900,1000
1779895576410,61.000,72.500,52.051,24,2900,1000
1779895576919,62.000,72.375,57.013,33,2900,1000
1779895577429,71.000,72.000,72.004,44,2900,1000
1779895577950,59.000,70.500,62.028,33,2900,1000
1779895578459,68.000,70.125,80.051,52,2900,1000
1779895578974,69.000,69.750,96.040,70,2900,1000
1779895579484,70.000,69.625,104.094,79,2900,1000
1779895579996,69.000,69.500,111.001,86,2900,1000
1779895580509,68.000,69.375,114.057,90,2900,1000
1779895581022,69.000,69.375,115.074,90,2900,1000
1779895581533,69.000,69.375,117.042,93,2900,1000
1779895582047,69.000,69.375,118.045,95,2900,1000
1779895582560,68.000,69.375,119.007,96,2900,1000
1779895583073,69.000,69.375,119.048,96,2900,1000
1779895583586,69.000,69.375,118.074,95,2900,1000
1779895584099,69.000,69.500,119.025,95,2900,1000
1779895584613,69.000,69.625,119.058,96,2900,1000
1779895585124,70.000,69.750,119.075,96,2900,1000
1779895585636,70.000,69.750,118.065,94,2900,1000
1779895586150,69.000,69.875,119.013,95,2900,1000
1779895586661,70.000,70.000,119.061,96,2900,1000
1779895587172,71.000,70.000,119.072,96,2900,1000
1779895587684,64.000,70.000,118.050,95,2900,1000
1779895588195,71.000,70.125,119.020,95,2900,1000
1779895588708,69.000,70.250,119.046,95,2900,1000
1779895589222,71.000,70.250,119.081,96,2900,1000
1779895589736,65.000,70.500,119.007,95,2900,1000
