epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1780335228438,62.000,78.125,44.055,3,2900,1000
1780335228947,61.000,80.250,45.030,3,2900,1000
1780335229456,62.000,79.625,49.027,4,2900,1000
1780335229965,61.000,78.625,52.027,7,2900,1000
1780335230475,64.000,77.750,56.002,16,2900,1000
1780335230985,64.000,77.250,64.049,31,2900,1000
1780335231495,64.000,76.750,71.087,40,2900,1000
1780335232002,62.000,76.500,73.050,44,2900,1000
1780335232511,63.000,76.250,80.069,51,2900,1000
1780335233022,62.000,73.750,62.081,31,2900,1000
1780335233531,69.000,73.875,84.027,52,2900,1000
1780335234046,70.000,73.000,98.026,71,2900,1000
1780335234557,70.000,72.375,106.070,83,2900,1000
1780335235070,70.000,71.875,111.032,89,2900,1000
1780335235582,71.000,71.500,114.058,94,2900,1000
1780335236091,71.000,71.250,116.062,96,2900,1000
1780335236600,71.000,71.125,117.055,97,2900,1000
1780335237112,71.000,71.250,118.050,98,2900,1000
1780335237625,70.000,71.125,118.073,99,2900,1000
1780335238137,70.000,71.000,118.082,99,2900,1000
1780335238651,70.000,70.875,119.009,99,2900,1000
1780335239162,71.000,70.875,119.028,99,2900,1000
1780335239674,71.000,71.000,119.056,100,2900,1000
1780335240185,70.000,71.500,119.075,100,2900,1000
1780335240695,70.000,74.875,119.079,100,2900,1000
1780335241205,71.000,74.250,119.063,100,2900,1000
1780335241718,71.000,73.625,119.079,100,2900,1000
1780335242229,71.000,73.125,119.074,100,2900,1000
1780335242742,71.000,72.625,119.079,100,2900,1000
1780335243253,71.000,72.375,119.050,100,2900,1000
1780335243764,71.000,72.125,119.042,100,2900,1000
1780335244274,71.000,71.875,119.036,100,2900,1000
1780335244783,71.000,72.000,119.063,100,2900,1000
1780335245294,71.000,72.625,119.078,100,2900,1000
1780335245805,71.000,73.250,119.088,99,2900,1000
1780335246318,71.000,74.000,119.092,99,2900,1000
1780335246829,71.000,75.500,119.096,99,2900,1000
1780335247340,71.000,74.750,119.097,99,2900,1000
1780335247855,72.000,74.125,120.000,100,2900,1000
1780335248367,71.000,73.750,119.099,100,2900,1000
1780335248880,71.000,73.375,119.096,100,2900,1000
1780335249395,72.000,73.125,120.000,100,2900,1000
1780335249906,72.000,73.250,119.095,100,2900,1000
1780335250417,72.000,73.125,119.098,100,2900,1000
1780335250930,72.000,72.875,119.085,100,2900,1000
1780335251443,72.000,72.750,119.085,100,2900,1000
1780335251954,71.000,72.625,119.078,100,2900,1000
1780335252467,72.000,72.500,119.069,100,2900,1000
1780335252980,72.000,72.500,119.066,100,2900,1000
1780335253492,72.000,72.500,119.073,100,2900,1000
1780335254003,72.000,72.500,119.072,100,2900,1000
1780335254515,72.000,72.500,119.076,100,2900,1000
1780335255027,73.000,72.625,119.086,100,2900,1000
1780335255540,72.000,72.625,119.092,100,2900,1000
1780335256052,72.000,72.750,119.098,100,2900,1000
1780335256565,73.000,72.750,119.073,100,2900,1000
