epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1780335389347,68.000,74.125,45.020,12,2900,1000
1780335389858,68.000,79.125,43.066,8,2900,1000
1780335390367,67.000,81.125,44.005,6,2900,1000
1780335390874,67.000,80.500,47.018,5,2900,1000
1780335391383,68.000,80.000,50.009,8,2900,1000
1780335391891,70.000,80.375,53.037,11,2900,1000
1780335392399,70.000,80.875,63.035,28,2900,1000
1780335392907,70.000,81.125,70.000,37,2900,1000
1780335393415,68.000,81.125,73.015,37,2900,1000
1780335393923,70.000,80.500,83.036,49,2900,1000
1780335394434,68.000,78.750,65.083,30,2900,1000
1780335394945,75.000,78.625,88.076,53,2900,1000
1780335395462,77.000,78.250,104.039,71,2900,1000
1780335395997,77.000,78.000,112.067,82,2900,1000
1780335396541,78.000,77.750,117.009,88,2900,1000
1780335397062,76.000,77.625,120.005,91,2900,1000
1780335397584,78.000,77.625,122.030,94,2900,1000
1780335398131,77.000,77.625,123.004,95,2900,1000
1780335398668,77.000,77.625,123.055,95,2900,1000
1780335399192,78.000,77.875,125.019,96,2900,1000
1780335399726,78.000,77.875,125.052,97,2900,1000
1780335400273,78.000,78.000,125.068,97,2900,1000
1780335400817,78.000,78.125,125.041,96,2900,1000
1780335401345,76.000,78.250,125.086,96,2900,1000
1780335401868,78.000,78.375,126.017,97,2900,1000
1780335402412,78.000,78.375,126.031,97,2900,1000
1780335402955,78.000,78.375,126.009,96,2900,1000
1780335403486,75.000,78.500,126.041,96,2900,1000
1780335404008,79.000,78.625,126.082,97,2900,1000
1780335404560,79.000,78.750,126.071,97,2900,1000
1780335405111,78.000,78.750,126.017,97,2900,1000
1780335405661,78.000,78.750,125.083,96,2900,1000
1780335406193,80.000,78.875,126.017,96,2900,1000
1780335406723,79.000,79.000,126.011,97,2900,1000
1780335407273,79.000,79.000,125.067,96,2900,1000
1780335407821,78.000,78.500,116.001,88,2900,1000
1780335408342,78.000,78.500,118.053,91,2900,1000
1780335408891,78.000,78.625,121.060,93,2900,1000
1780335409420,79.000,78.750,123.028,94,2900,1000
1780335409967,80.000,78.750,124.019,95,2900,1000
1780335410516,79.000,78.750,123.082,95,2900,1000
1780335411067,79.000,78.875,124.010,95,2900,1000
1780335411617,76.000,78.875,123.071,95,2900,1000
1780335412166,79.000,78.875,124.054,95,2900,1000
1780335412714,79.000,78.875,124.067,95,2900,1000
1780335413266,78.000,78.750,124.022,95,2900,1000
1780335413818,78.000,78.750,123.063,95,2900,1000
1780335414362,76.000,78.875,124.042,95,2900,1000
1780335414908,79.000,79.000,125.003,96,2900,1000
1780335415458,79.000,79.000,125.033,96,2900,1000
1780335416012,79.000,79.000,125.055,96,2900,1000
1780335416566,78.000,79.000,125.000,96,2900,1000
1780335417117,76.000,79.000,124.046,95,2900,1000
1780335417661,79.000,79.000,125.018,96,2900,1000
1780335418211,79.000,79.000,124.081,96,2900,1000
1780335418765,78.000,79.000,124.081,96,2900,1000
1780335419320,78.000,79.125,125.020,96,2900,1000
1780335419869,77.000,79.250,125.005,95,2900,1000
1780335420423,79.000,79.125,125.064,96,2900,1000
1780335420972,78.000,78.875,117.078,89,2900,1000
1780335421493,78.000,78.750,116.085,88,2900,1000
1780335422042,79.000,78.875,120.005,91,2900,1000
1780335422597,78.000,79.000,121.079,93,2900,1000
1780335423150,77.000,79.125,122.084,94,2900,1000
1780335423702,80.000,79.250,124.057,95,2900,1000
1780335424251,79.000,79.250,124.086,95,2900,1000
1780335424798,80.000,79.250,124.093,95,2900,1000
1780335425350,79.000,79.250,124.011,95,2900,1000
1780335425899,78.000,79.250,125.000,95,2900,1000
1780335426450,79.000,79.375,125.064,96,2900,1000
1780335426998,79.000,79.375,124.090,95,2900,1000
1780335427549,79.000,79.375,124.073,95,2900,1000
1780335428104,79.000,79.500,124.082,95,2900,1000
1780335428657,77.000,79.500,124.046,95,2900,1000
1780335429206,80.000,79.625,125.075,96,2900,1000
1780335429754,79.000,79.625,125.075,96,2900,1000
1780335430306,80.000,79.500,125.040,96,2900,1000
1780335430860,79.000,79.500,124.078,95,2900,1000
1780335431412,79.000,79.625,124.074,95,2900,1000
1780335431958,80.000,79.750,125.069,96,2900,1000
1780335432504,80.000,79.750,125.038,96,2900,1000
1780335433052,79.000,79.750,125.076,96,2900,1000
1780335433604,79.000,79.750,126.007,96,2900,1000
1780335434154,78.000,79.750,125.099,96,2900,1000
1780335434704,73.000,79.375,117.027,92,2900,1000
1780335435236,72.000,78.875,112.037,86,2900,1000
1780335435763,79.000,79.000,118.065,91,2900,1000
1780335436311,80.000,79.125,121.025,92,2900,1000
1780335436864,79.000,79.250,123.029,94,2900,1000
1780335437411,78.000,79.375,123.096,95,2900,1000
1780335437968,78.000,79.500,125.009,95,2900,1000
1780335438518,79.000,79.500,125.077,95,2900,1000
1780335439068,80.000,79.500,125.096,96,2900,1000
1780335439617,79.000,79.500,124.096,95,2900,1000
1780335440166,77.000,79.500,124.087,95,2900,1000
1780335440715,80.000,79.625,125.063,95,2900,1000
1780335441269,80.000,79.625,126.015,96,2900,1000
1780335441820,80.000,79.750,126.059,96,2900,1000
1780335442371,81.000,79.750,126.037,96,2900,1000
1780335442924,79.000,79.875,126.033,96,2900,1000
1780335443474,79.000,79.875,126.003,96,2900,1000
1780335444019,81.000,79.875,126.061,96,2900,1000
1780335444565,79.000,79.875,126.042,96,2900,1000
1780335445116,80.000,79.875,125.036,96,2900,1000
1780335445667,80.000,79.875,126.002,96,2900,1000
1780335446217,78.000,79.875,126.003,96,2900,1000
1780335446767,80.000,80.000,126.094,96,2900,1000
1780335447317,81.000,80.000,126.019,96,2900,1000
1780335447865,80.000,80.000,125.098,96,2900,1000
1780335448417,79.000,80.000,126.016,96,2900,1000
1780335448968,79.000,80.000,125.066,96,2900,1000
1780335449513,80.000,80.000,126.045,96,2900,1000
1780335450058,78.000,79.750,121.058,94,2900,1000
1780335450611,79.000,79.375,114.026,87,2900,1000
1780335451160,80.000,79.375,118.007,90,2900,1000
1780335451715,79.000,79.500,121.022,92,2900,1000
1780335452268,79.000,79.500,122.091,93,2900,1000
1780335452817,77.000,79.500,123.041,93,2900,1000
1780335453378,79.000,79.625,124.056,94,2900,1000
