prompt,run,latency_s,in_tok,out_tok,tps
prompt_1,1,5.8899,15,10,4.24
prompt_1,2,0.2105,15,10,118.74
prompt_1,3,0.2182,15,10,114.57
prompt_1,4,0.2638,15,12,102.37
prompt_1,5,0.2657,15,12,101.63
prompt_1,6,0.2199,15,10,113.67
prompt_1,7,0.217,15,10,115.2
prompt_1,8,0.233,15,10,107.27
prompt_1,9,0.2187,15,10,114.33
prompt_1,10,0.2531,15,12,106.67
prompt_1,11,0.2202,15,10,113.51
prompt_1,12,0.2393,15,10,104.46
prompt_1,13,0.2488,15,12,108.52
prompt_1,14,0.2342,15,10,106.73
prompt_1,15,0.2173,15,10,115.04
prompt_2,1,5.4782,34,347,69.55
prompt_2,2,2.5487,34,158,75.33
prompt_2,3,2.4327,34,152,76.46
prompt_2,4,3.9953,34,254,72.09
prompt_2,5,4.5252,34,289,71.38
prompt_2,6,2.9348,34,172,70.19
prompt_2,7,2.9521,34,187,74.86
prompt_2,8,3.7684,34,238,72.18
prompt_2,9,2.2429,34,140,77.58
prompt_2,10,2.3583,34,146,76.33
prompt_2,11,3.5572,34,226,73.09
prompt_2,12,3.0286,34,190,73.96
prompt_2,13,2.9804,34,188,74.49
prompt_2,14,2.4077,34,150,76.42
prompt_2,15,2.2095,34,138,77.84
prompt_3,1,8.072,45,512,69.0
prompt_3,2,7.8928,45,512,70.57
prompt_3,3,7.9445,45,512,70.11
prompt_3,4,7.9466,45,512,70.09
prompt_3,5,7.9558,45,512,70.01
prompt_3,6,7.9247,45,512,70.29
prompt_3,7,7.949,45,512,70.07
prompt_3,8,7.9259,45,512,70.28
prompt_3,9,7.9673,45,512,69.91
prompt_3,10,8.122,45,512,68.58
prompt_3,11,7.9865,45,512,69.74
prompt_3,12,7.9609,45,512,69.97
prompt_3,13,7.9817,45,512,69.78
prompt_3,14,7.9429,45,512,70.13
prompt_3,15,7.9985,45,512,69.64
