run,phase,model,timestamp,prompt_label,wall_seconds,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_tps,eval_count,eval_duration_ns,eval_tps,total_duration_ns,load_duration_ns,done_reason
0,cold,qwen3.6:35b-a3b,2026-07-02T14:04:07.598334+00:00,reproducible_local_ai_benchmarks,23.390531,25,614321000,40.695337,128,1801953000,71.034039,23378742856,20960612308,length
1,warm,qwen3.6:35b-a3b,2026-07-02T14:04:10.932707+00:00,reproducible_local_ai_benchmarks,2.334263,25,26508000,943.111514,128,1777998000,71.991082,2332038872,210335286,length
2,warm,qwen3.6:35b-a3b,2026-07-02T14:04:14.263884+00:00,reproducible_local_ai_benchmarks,2.331080,25,26260000,952.018279,128,1781216000,71.861021,2329106832,203214156,length
3,warm,qwen3.6:35b-a3b,2026-07-02T14:04:17.280974+00:00,reproducible_local_ai_benchmarks,2.016993,25,26547000,941.725995,128,1781886000,71.834001,2014930973,204946867,length
4,warm,qwen3.6:35b-a3b,2026-07-02T14:04:20.305804+00:00,reproducible_local_ai_benchmarks,2.024725,25,26391000,947.292638,128,1787161000,71.621975,2022853973,208119308,length
5,warm,qwen3.6:35b-a3b,2026-07-02T14:04:23.323520+00:00,reproducible_local_ai_benchmarks,2.017614,25,26833000,931.688592,128,1785185000,71.701252,2015813911,202288744,length
6,warm,qwen3.6:35b-a3b,2026-07-02T14:04:26.343218+00:00,reproducible_local_ai_benchmarks,2.019593,25,26614000,939.355227,128,1781109000,71.865338,2017590918,208313508,length
7,warm,qwen3.6:35b-a3b,2026-07-02T14:04:29.365204+00:00,reproducible_local_ai_benchmarks,2.021888,25,26330000,949.487277,128,1784840000,71.715112,2019910668,207120202,length
8,warm,qwen3.6:35b-a3b,2026-07-02T14:04:32.372375+00:00,reproducible_local_ai_benchmarks,2.007067,25,26325000,949.667616,128,1776653000,72.045582,2005113951,200282045,length
9,warm,qwen3.6:35b-a3b,2026-07-02T14:04:35.395341+00:00,reproducible_local_ai_benchmarks,2.022859,25,26505000,943.218261,128,1783961000,71.750447,2020734418,208745874,length
