route,concurrency,prompt_tokens_per_sequence,generation_tokens_per_sequence,prompt_tps,aggregate_decode_tps,total_seconds,combined_tps
"stock-vulkan-b9946",1,512,128,1306.009155,89.140900,1.827963,350.116516
"stock-vulkan-b9946",2,512,128,1303.817383,127.919151,2.786650,459.332855
"stock-vulkan-b9946",4,512,128,1356.772095,181.606262,4.328751,591.394592
"stock-vulkan-b9946",8,512,128,1383.890381,214.229614,7.739690,661.525208
"stock-vulkan-b9946",9,512,128,1381.572876,143.053467,11.388262,505.783936
"stock-vulkan-b9946",12,512,128,1379.005371,171.864700,13.392648,573.448975
"stock-vulkan-b9946",16,512,128,1376.519409,208.839447,15.757818,649.836182
"stock-vulkan-b9946",24,512,128,1376.983643,261.017334,20.693186,742.273315
"stock-vulkan-b9946",32,512,128,1380.175049,321.973663,24.592495,832.774414
"patched-vulkan-b9946-flat-threshold",1,512,128,932.203979,90.923424,1.957014,327.028809
"patched-vulkan-b9946-flat-threshold",2,512,128,1391.376221,130.832199,2.692667,475.365143
"patched-vulkan-b9946-flat-threshold",4,512,128,1378.774536,176.975800,4.378428,584.684753
"patched-vulkan-b9946-flat-threshold",8,512,128,1394.104858,202.731644,7.989098,640.873352
"patched-vulkan-b9946-flat-threshold",9,512,128,1389.383057,195.377533,9.212857,625.213196
"patched-vulkan-b9946-flat-threshold",12,512,128,1392.556641,205.005585,11.904508,645.133789
"patched-vulkan-b9946-flat-threshold",16,512,128,1390.961304,221.601501,15.131267,676.744385
"patched-vulkan-b9946-flat-threshold",24,512,128,1394.308594,279.047485,19.821850,774.902466
"patched-vulkan-b9946-flat-threshold",32,512,128,1396.015015,321.015900,24.495756,836.063171
"rocm-b9946",1,512,128,158.965485,37.069096,6.673836,95.896873
"rocm-b9946",2,512,128,168.896210,49.691101,11.214723,114.135681
"rocm-b9946",4,512,128,166.000198,63.604141,20.387125,125.569443
"rocm-b9946",8,512,128,171.683578,77.295166,37.105759,137.983978
"rocm-b9946",9,512,128,165.412125,81.029282,42.074776,136.899124
"rocm-b9946",12,512,128,168.350723,84.654831,54.639507,140.557632
"rocm-b9946",16,512,128,167.034592,90.663246,71.632820,142.951233
"rocm-b9946",24,512,128,167.200485,93.646523,106.296814,144.501038
"rocm-b9946",32,512,128,167.850555,97.575256,139.588501,146.716949
"lemonade-rocm-b1259",1,512,128,1181.157837,59.650303,2.579313,248.128113
"lemonade-rocm-b1259",2,512,128,1264.667480,88.697021,3.695929,346.326996
"lemonade-rocm-b1259",4,512,128,1271.888550,124.913689,5.709034,448.412109
"lemonade-rocm-b1259",8,512,128,1275.210449,184.927673,8.749319,585.188416
"lemonade-rocm-b1259",9,512,128,1266.812500,191.236755,9.661423,596.185486
"lemonade-rocm-b1259",12,512,128,1282.447510,230.007156,11.468892,669.637451
"lemonade-rocm-b1259",16,512,128,1279.035156,275.444000,13.840096,739.879272
"lemonade-rocm-b1259",24,512,128,1276.890137,300.565521,19.844112,774.033081
"lemonade-rocm-b1259",32,512,128,1279.184204,354.594818,24.359375,840.744080
