run,phase,model,timestamp,prompt_label,wall_seconds,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_tps,eval_count,eval_duration_ns,eval_tps,total_duration_ns,load_duration_ns,done_reason
"0","cold","qwen3.6:35b-a3b","2026-07-10T02:23:25+02:00","reproducible_local_ai_benchmarks","28.477224",26,156201000,166.4521994097349,128,2120266999,60.36975534702457,28467917728,26186777697,"length"
"1","warm","qwen3.6:35b-a3b","2026-07-10T02:23:29+02:00","reproducible_local_ai_benchmarks","2.508246",26,32189999,807.7042810718945,128,2108042000,60.719852830256706,2497909022,335138420,"length"
"2","warm","qwen3.6:35b-a3b","2026-07-10T02:23:32+02:00","reproducible_local_ai_benchmarks","2.495508",26,31699000,820.2151487428625,128,2103157000,60.8608867526295,2486683452,330038859,"length"
"3","warm","qwen3.6:35b-a3b","2026-07-10T02:23:36+02:00","reproducible_local_ai_benchmarks","2.518337",26,33210000,782.8967178560674,128,2120914000,60.351339092485595,2507898809,331336467,"length"
"4","warm","qwen3.6:35b-a3b","2026-07-10T02:23:39+02:00","reproducible_local_ai_benchmarks","2.489283",26,32780000,793.1665649786455,128,2110813000,60.6401419737324,2480378955,313449108,"length"
"5","warm","qwen3.6:35b-a3b","2026-07-10T02:23:43+02:00","reproducible_local_ai_benchmarks","2.494139",26,31835000,816.7111669546097,128,2108880000,60.69572474488828,2484641794,320332109,"length"
"6","warm","qwen3.6:35b-a3b","2026-07-10T02:23:46+02:00","reproducible_local_ai_benchmarks","2.480967",26,32830000,791.9585744745659,128,2091188000,61.20922652578343,2467708615,319009738,"length"
"7","warm","qwen3.6:35b-a3b","2026-07-10T02:23:50+02:00","reproducible_local_ai_benchmarks","2.478737",26,32756999,793.723503181717,128,2106913000,60.75238987086795,2468679901,326588604,"length"
"8","warm","qwen3.6:35b-a3b","2026-07-10T02:23:53+02:00","reproducible_local_ai_benchmarks","2.492403",26,32281000,805.4273411604349,128,2126085000,60.20455438046927,2481989251,320306745,"length"
"9","warm","qwen3.6:35b-a3b","2026-07-10T02:23:57+02:00","reproducible_local_ai_benchmarks","2.454440",26,32894000,790.4177053566,128,2100437000,60.93969969106429,2443511696,307558899,"length"
