unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783902930,49000,18033000,2900000000,0
1783902931,51000,35045000,2900000000,12
1783902932,61000,55031000,2900000000,33
1783902933,71000,113072000,2900000000,76
1783902934,75000,137023000,2900000000,91
1783902935,77000,145078000,2900000000,97
1783902936,77000,149019000,2900000000,99
1783902937,77000,150059000,2900000000,99
1783902938,77000,151008000,2900000000,100
1783902939,79000,151002000,2900000000,100
1783902940,78000,151074000,2900000000,100
1783902941,80000,152003000,2900000000,100
1783902942,79000,152001000,2900000000,100
1783902943,79000,152053000,2900000000,100
1783902944,79000,152067000,2900000000,100
1783902945,80000,152090000,2900000000,100
1783902946,81000,152082000,2900000000,100
1783902947,81000,153056000,2900000000,100
1783902948,81000,153062000,2900000000,100
1783902949,81000,153021000,2900000000,100
1783902950,81000,153048000,2900000000,100
1783902951,82000,153070000,2900000000,100
1783902952,82000,153098000,2900000000,100
1783902953,84000,154033000,2900000000,100
1783902954,83000,154084000,2900000000,100
1783902955,81000,149095000,2900000000,98
1783902956,82000,145047000,2900000000,98
1783902957,81000,144047000,2900000000,98
1783902958,81000,144057000,2900000000,99
1783902959,81000,144077000,2900000000,98
1783902960,82000,144067000,2900000000,98
1783902961,82000,144075000,2900000000,98
1783902962,82000,144066000,2900000000,98
1783902963,82000,145013000,2900000000,98
1783902964,82000,145086000,2900000000,98
1783902965,82000,145098000,2900000000,98
1783902966,82000,145068000,2900000000,98
1783902967,82000,145047000,2900000000,98
1783902968,84000,145050000,2900000000,98
1783902969,83000,145057000,2900000000,98
1783902970,83000,145092000,2900000000,98
1783902971,84000,145073000,2900000000,99
1783902972,83000,145059000,2900000000,98
1783902973,83000,145095000,2900000000,98
