unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783901391,64000,119003000,2900000000,0
1783901392,66000,119011000,2900000000,4
1783901393,66000,119069000,2900000000,28
1783901394,79000,132037000,2900000000,48
1783901395,89000,155047000,2900000000,81
1783901396,91000,165071000,2900000000,93
1783901397,91000,169097000,2900000000,97
1783901398,92000,171037000,2900000000,99
1783901399,91000,171076000,2900000000,99
1783901400,94000,172065000,2900000000,100
1783901401,93000,172097000,2900000000,100
1783901402,93000,173012000,2900000000,100
1783901404,94000,173054000,2900000000,100
1783901405,93000,173016000,2900000000,100
1783901406,89000,171052000,2900000000,98
1783901407,96000,176095000,2900000000,97
