unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783900762,54000,24003000,2900000000,0
1783900763,57000,38044000,2900000000,11
1783900764,63000,55019000,2900000000,30
1783900765,66000,99035000,2900000000,73
1783900766,73000,118024000,2900000000,90
1783900767,70000,124006000,2900000000,95
1783900768,71000,121048000,2900000000,97
1783900769,81000,137058000,2900000000,99
1783900770,76000,141001000,2900000000,98
1783900771,76000,131043000,2900000000,97
1783900772,76000,127089000,2900000000,96
1783900773,83000,138013000,2900000000,97
1783900774,81000,148039000,2900000000,99
1783900775,81000,152057000,2900000000,99
1783900776,80000,147069000,2900000000,98
1783900777,82000,146032000,2900000000,97
1783900778,82000,145065000,2900000000,97
1783900779,83000,145053000,2900000000,97
1783900780,83000,146045000,2900000000,97
1783900781,83000,152038000,2900000000,99
1783900782,84000,154093000,2900000000,99
1783900783,80000,152019000,2900000000,98
1783900784,80000,138090000,2900000000,98
1783900785,80000,134006000,2900000000,98
1783900786,82000,132088000,2900000000,98
1783900787,80000,131080000,2900000000,98
1783900788,82000,131061000,2900000000,98
1783900789,83000,143075000,2900000000,98
1783900790,85000,152060000,2900000000,99
1783900791,85000,155069000,2900000000,100
1783900792,88000,157080000,2900000000,100
1783900793,82000,150067000,2900000000,98
1783900794,84000,143036000,2900000000,98
1783900795,83000,140079000,2900000000,98
1783900796,83000,139099000,2900000000,98
1783900797,83000,139056000,2900000000,98
1783900799,83000,139038000,2900000000,98
1783900800,84000,138040000,2900000000,96
1783900801,87000,151062000,2900000000,98
1783900802,89000,157020000,2900000000,99
1783900803,87000,158063000,2900000000,100
1783900804,87000,159068000,2900000000,100
1783900805,89000,160020000,2900000000,100
1783900806,86000,155083000,2900000000,98
1783900807,88000,151092000,2900000000,98
1783900808,89000,151000000,2900000000,98
1783900809,89000,150086000,2900000000,98
1783900810,88000,150082000,2900000000,98
1783900811,87000,150054000,2900000000,98
1783900812,87000,150015000,2900000000,98
1783900813,88000,151006000,2900000000,98
1783900814,89000,155068000,2900000000,98
1783900815,89000,159050000,2900000000,99
1783900816,89000,160055000,2900000000,100
1783900817,90000,161064000,2900000000,100
1783900818,91000,162037000,2900000000,100
1783900819,90000,162033000,2900000000,100
1783900820,90000,162080000,2900000000,100
1783900821,90000,163010000,2900000000,100
1783900822,93000,161046000,2900000000,98
1783900823,90000,163027000,2900000000,98
1783900824,91000,163056000,2900000000,98
1783900825,92000,163055000,2900000000,98
1783900826,90000,163084000,2900000000,98
1783900827,93000,163049000,2900000000,98
1783900828,91000,163064000,2900000000,98
1783900829,91000,163096000,2900000000,98
1783900830,92000,163068000,2900000000,98
1783900831,93000,163040000,2900000000,98
1783900832,90000,161002000,2900000000,97
1783900833,91000,162011000,2900000000,99
1783900834,92000,163004000,2900000000,99
1783900835,93000,163042000,2900000000,100
1783900836,92000,163037000,2900000000,100
1783900837,91000,163056000,2900000000,100
1783900838,91000,163068000,2900000000,100
1783900839,91000,163029000,2900000000,100
1783900840,90000,162080000,2900000000,100
1783900841,91000,163055000,2900000000,100
1783900842,90000,163054000,2900000000,100
1783900843,91000,163019000,2900000000,100
1783900844,96000,169016000,2900000000,98
