unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783906008,49000,17093000,2859000000,0
1783906009,51000,34051000,2885000000,8
1783906010,62000,61048000,2894000000,42
1783906011,68000,102032000,2898000000,79
1783906012,72000,119072000,2899000000,92
1783906013,72000,126035000,2900000000,97
1783906015,71000,127047000,2900000000,99
1783906016,73000,128058000,2900000000,100
1783906017,71000,128042000,2900000000,100
1783906018,72000,128087000,2900000000,100
1783906019,74000,129032000,2900000000,100
1783906020,74000,129019000,2900000000,100
1783906021,74000,129077000,2900000000,100
1783906022,74000,130008000,2900000000,100
1783906023,75000,130035000,2900000000,100
1783906024,75000,130047000,2900000000,100
1783906025,75000,130046000,2900000000,100
1783906026,76000,130040000,2900000000,100
1783906027,76000,130038000,2900000000,100
1783906028,75000,130058000,2900000000,100
1783906029,76000,130043000,2900000000,100
1783906030,77000,130087000,2900000000,100
1783906031,78000,131097000,2900000000,100
1783906032,76000,131072000,2900000000,100
1783906033,77000,131096000,2900000000,100
1783906034,77000,131054000,2900000000,100
1783906035,77000,131084000,2900000000,100
1783906036,75000,126085000,2900000000,97
1783906037,76000,125051000,2900000000,98
1783906038,76000,125040000,2900000000,98
1783906039,76000,125022000,2900000000,98
1783906040,78000,125020000,2900000000,98
1783906041,77000,125083000,2900000000,98
1783906042,76000,125084000,2900000000,98
1783906043,77000,125093000,2900000000,98
1783906044,77000,126006000,2900000000,98
1783906045,78000,126027000,2900000000,98
1783906046,78000,126069000,2900000000,98
1783906047,77000,126094000,2900000000,98
1783906048,77000,126079000,2900000000,98
1783906049,79000,126085000,2900000000,98
1783906050,78000,127011000,2900000000,98
1783906051,78000,127048000,2900000000,98
1783906052,78000,127017000,2900000000,98
1783906053,78000,127043000,2900000000,98
1783906054,78000,127079000,2900000000,98
