unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783900535,43000,22018000,2900000000,0
1783900536,45000,38045000,2900000000,12
1783900537,54000,59002000,2900000000,31
1783900538,55000,99070000,2900000000,73
1783900539,62000,117011000,2900000000,90
1783900540,62000,122080000,2900000000,95
1783900541,63000,121003000,2900000000,98
1783900542,69000,132092000,2900000000,99
1783900543,65000,135056000,2900000000,98
1783900544,67000,125037000,2900000000,96
1783900545,66000,121094000,2900000000,96
1783900546,73000,130074000,2900000000,97
1783900547,73000,140097000,2900000000,99
1783900548,72000,145010000,2900000000,99
1783900549,72000,140002000,2900000000,98
1783900550,74000,138072000,2900000000,97
1783900551,74000,138072000,2900000000,97
1783900552,73000,138056000,2900000000,97
1783900553,74000,139008000,2900000000,96
1783900554,74000,145029000,2900000000,99
1783900555,74000,147093000,2900000000,99
1783900556,71000,146059000,2900000000,99
1783900557,71000,132054000,2900000000,98
1783900558,70000,126068000,2900000000,98
1783900559,71000,124094000,2900000000,98
1783900560,70000,123087000,2900000000,98
1783900561,72000,123069000,2900000000,98
1783900563,71000,124032000,2900000000,98
1783900564,71000,124069000,2900000000,98
1783900565,77000,130080000,2900000000,97
1783900566,77000,143016000,2900000000,99
1783900567,77000,148002000,2900000000,99
1783900568,78000,149093000,2900000000,100
1783900569,75000,147058000,2900000000,99
1783900570,72000,135027000,2900000000,98
1783900571,73000,131028000,2900000000,98
1783900572,74000,129065000,2900000000,98
1783900573,73000,129031000,2900000000,98
1783900574,73000,129021000,2900000000,98
1783900575,73000,128095000,2900000000,98
1783900576,74000,129004000,2900000000,98
1783900577,75000,129009000,2900000000,98
1783900578,80000,137072000,2900000000,98
1783900579,79000,147042000,2900000000,99
1783900580,80000,151043000,2900000000,99
1783900581,80000,152096000,2900000000,99
1783900582,81000,153084000,2900000000,100
1783900583,81000,153093000,2900000000,100
1783900584,77000,142032000,2900000000,98
1783900585,76000,137063000,2900000000,98
1783900586,76000,135093000,2900000000,98
1783900587,76000,136026000,2900000000,95
1783900588,77000,135039000,2900000000,97
1783900589,77000,134089000,2900000000,98
1783900590,78000,134088000,2900000000,98
1783900591,77000,135047000,2900000000,98
1783900592,77000,134036000,2900000000,98
1783900593,81000,139052000,2900000000,97
1783900594,82000,149030000,2900000000,99
1783900595,83000,153030000,2900000000,99
1783900596,83000,154050000,2900000000,100
1783900597,83000,154093000,2900000000,100
1783900598,83000,154095000,2900000000,100
1783900599,84000,155032000,2900000000,100
1783900600,84000,155047000,2900000000,100
1783900601,84000,155029000,2900000000,100
1783900602,80000,145000000,2900000000,99
1783900603,81000,141009000,2900000000,98
1783900604,79000,139096000,2900000000,98
1783900605,81000,139055000,2900000000,98
1783900606,80000,139082000,2900000000,98
1783900607,79000,139094000,2900000000,98
1783900608,80000,139095000,2900000000,98
1783900609,80000,139086000,2900000000,98
1783900611,80000,139063000,2900000000,98
1783900612,81000,140037000,2900000000,98
1783900613,80000,139079000,2900000000,99
1783900614,85000,146030000,2900000000,98
1783900615,86000,153022000,2900000000,99
1783900616,86000,155078000,2900000000,99
1783900617,86000,157020000,2900000000,100
1783900618,86000,157082000,2900000000,100
1783900619,87000,157096000,2900000000,100
1783900620,87000,158048000,2900000000,100
1783900621,87000,159017000,2900000000,100
1783900622,87000,158048000,2900000000,100
1783900623,87000,158078000,2900000000,100
1783900624,88000,159045000,2900000000,100
1783900625,84000,155031000,2900000000,99
1783900626,83000,149053000,2900000000,98
1783900627,84000,147055000,2900000000,98
1783900628,84000,146049000,2900000000,98
1783900629,84000,146054000,2900000000,98
1783900630,86000,146056000,2900000000,98
1783900631,84000,146087000,2900000000,98
1783900632,84000,147000000,2900000000,98
1783900633,85000,146069000,2900000000,98
1783900634,85000,146077000,2900000000,98
1783900635,86000,146081000,2900000000,98
1783900636,83000,146075000,2900000000,98
1783900637,87000,145040000,2900000000,96
1783900638,90000,155014000,2900000000,99
1783900639,89000,158066000,2900000000,99
1783900640,89000,160005000,2900000000,100
1783900641,89000,160068000,2900000000,100
1783900642,90000,160098000,2900000000,100
1783900643,90000,161009000,2900000000,100
1783900644,89000,160093000,2900000000,100
1783900645,90000,161046000,2900000000,100
1783900646,93000,161083000,2900000000,100
1783900647,92000,161093000,2900000000,100
1783900648,91000,162004000,2900000000,100
1783900649,92000,162030000,2900000000,100
1783900650,90000,162030000,2900000000,100
1783900651,91000,162022000,2900000000,100
1783900652,91000,162062000,2900000000,100
1783900653,93000,163017000,2900000000,100
1783900654,69000,149069000,2900000000,90
1783900655,83000,123030000,2900000000,79
1783900656,84000,136075000,2900000000,91
1783900657,85000,141098000,2900000000,96
1783900659,85000,143084000,2900000000,97
1783900660,84000,145001000,2900000000,98
1783900661,85000,145048000,2900000000,99
1783900662,85000,145066000,2900000000,98
1783900663,87000,145070000,2900000000,99
1783900664,85000,145046000,2900000000,98
1783900665,85000,145039000,2900000000,99
1783900666,82000,145016000,2900000000,98
1783900667,86000,145068000,2900000000,99
1783900668,86000,145099000,2900000000,99
1783900669,84000,145092000,2900000000,98
1783900670,87000,146018000,2900000000,99
1783900671,88000,146042000,2900000000,99
1783900672,86000,146056000,2900000000,99
1783900673,89000,148036000,2900000000,97
1783900674,91000,157040000,2900000000,99
1783900675,92000,160082000,2900000000,99
1783900676,92000,162051000,2900000000,100
1783900677,91000,162097000,2900000000,100
1783900678,91000,163034000,2900000000,100
1783900679,92000,163080000,2900000000,100
1783900680,93000,163077000,2900000000,100
1783900681,92000,163075000,2900000000,100
1783900682,92000,164013000,2900000000,100
1783900683,92000,164031000,2900000000,100
1783900684,92000,164014000,2900000000,100
1783900685,91000,164002000,2900000000,100
1783900686,91000,164009000,2900000000,100
1783900687,92000,163041000,2900000000,100
1783900688,92000,163038000,2900000000,100
1783900689,91000,163058000,2900000000,100
1783900690,92000,163031000,2900000000,100
1783900691,94000,163007000,2900000000,100
1783900692,94000,163031000,2900000000,100
1783900693,93000,163047000,2900000000,100
1783900694,92000,162075000,2900000000,100
1783900695,91000,162086000,2900000000,100
1783900696,88000,156027000,2900000000,99
1783900697,89000,152051000,2900000000,98
1783900698,89000,151042000,2900000000,98
1783900699,88000,151022000,2900000000,99
1783900700,88000,151000000,2900000000,98
1783900701,88000,150094000,2900000000,98
1783900702,88000,150013000,2900000000,98
1783900703,88000,150021000,2900000000,98
1783900704,87000,150033000,2900000000,99
1783900705,87000,150002000,2900000000,98
1783900707,88000,149094000,2900000000,98
1783900708,87000,149086000,2900000000,98
1783900709,87000,150020000,2900000000,98
1783900710,88000,150001000,2900000000,98
1783900711,87000,149080000,2900000000,98
1783900712,87000,149046000,2900000000,98
1783900713,84000,149025000,2900000000,98
1783900714,87000,149073000,2900000000,98
1783900715,87000,149088000,2900000000,98
