unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783904763,49000,17027000,2595000000,0
1783904764,49000,29000000,2788000000,1
1783904765,50000,33072000,2859000000,3
1783904766,49000,31018000,2885000000,5
1783904767,49000,30017000,2894000000,6
1783904768,50000,30023000,2898000000,7
1783904769,50000,36039000,2899000000,7
1783904770,49000,33062000,2900000000,7
1783904771,50000,31058000,2900000000,7
1783904772,50000,30059000,2900000000,7
1783904773,50000,30023000,2900000000,7
1783904774,50000,30014000,2900000000,7
1783904775,49000,29094000,2900000000,7
1783904776,50000,32095000,2900000000,7
1783904777,50000,31027000,2900000000,7
1783904778,49000,30078000,2900000000,7
1783904779,49000,30068000,2900000000,7
1783904780,49000,30086000,2900000000,7
1783904781,49000,30012000,2900000000,7
1783904782,49000,30007000,2900000000,7
1783904783,50000,29076000,2900000000,7
1783904784,50000,30076000,2900000000,7
1783904785,49000,32098000,2900000000,7
1783904786,49000,32071000,2900000000,7
1783904787,50000,30093000,2900000000,7
1783904788,50000,30050000,2900000000,7
1783904789,49000,30013000,2900000000,7
1783904790,49000,32003000,2900000000,7
1783904791,49000,37056000,2900000000,7
1783904792,49000,37005000,2900000000,7
1783904793,49000,34017000,2900000000,6
1783904794,49000,33018000,2900000000,6
1783904795,49000,32074000,2900000000,6
1783904796,49000,32054000,2900000000,7
1783904797,49000,32070000,2900000000,7
1783904798,49000,32089000,2900000000,7
1783904799,49000,32071000,2900000000,7
1783904800,49000,31085000,2900000000,7
1783904801,49000,33024000,2900000000,4
1783904802,59000,88077000,2900000000,64
1783904803,59000,98056000,2900000000,86
1783904804,63000,109026000,2900000000,94
1783904805,67000,124077000,2900000000,98
1783904806,65000,119022000,2900000000,98
1783904807,66000,118095000,2900000000,99
1783904808,68000,121089000,2900000000,99
1783904809,69000,130080000,2900000000,100
1783904810,70000,134053000,2900000000,100
1783904811,67000,127014000,2900000000,99
1783904812,68000,122063000,2900000000,99
1783904813,69000,120099000,2900000000,99
1783904814,69000,120036000,2900000000,99
1783904815,74000,127049000,2900000000,99
1783904816,73000,134046000,2900000000,100
1783904817,73000,136069000,2900000000,100
1783904818,74000,138005000,2900000000,100
1783904819,74000,138036000,2900000000,100
1783904820,70000,131020000,2900000000,98
1783904821,70000,122023000,2900000000,98
1783904822,71000,119020000,2900000000,97
1783904823,70000,118041000,2900000000,98
1783904824,70000,117075000,2900000000,98
1783904825,72000,117043000,2900000000,98
1783904826,72000,117018000,2900000000,98
1783904827,74000,118057000,2900000000,96
1783904828,76000,132006000,2900000000,98
1783904829,76000,136096000,2900000000,99
1783904830,75000,138066000,2900000000,100
1783904831,76000,139072000,2900000000,100
1783904832,75000,139060000,2900000000,100
1783904833,73000,130087000,2900000000,97
1783904834,74000,123072000,2900000000,98
1783904835,74000,121004000,2900000000,98
1783904836,73000,120017000,2900000000,98
1783904837,74000,119090000,2900000000,98
1783904838,74000,120023000,2900000000,98
1783904839,73000,119080000,2900000000,98
1783904840,75000,119056000,2900000000,98
1783904841,78000,124022000,2900000000,97
1783904842,78000,134061000,2900000000,99
1783904843,78000,138042000,2900000000,99
1783904844,78000,139093000,2900000000,100
1783904845,79000,140060000,2900000000,100
1783904847,79000,141000000,2900000000,100
1783904848,80000,141006000,2900000000,100
1783904849,79000,141022000,2900000000,100
1783904850,65000,87059000,2900000000,56
1783904851,71000,109027000,2900000000,83
1783904852,70000,116082000,2900000000,93
1783904853,71000,119071000,2900000000,96
1783904854,73000,121004000,2900000000,98
1783904855,72000,121016000,2900000000,98
1783904856,72000,121034000,2900000000,98
1783904857,73000,121058000,2900000000,98
1783904858,71000,121092000,2900000000,98
1783904859,73000,122010000,2900000000,98
1783904860,74000,122016000,2900000000,98
1783904861,77000,129093000,2900000000,98
1783904862,78000,137084000,2900000000,99
1783904863,78000,140034000,2900000000,99
1783904864,80000,141063000,2900000000,100
1783904865,79000,142046000,2900000000,100
1783904866,79000,142026000,2900000000,100
1783904867,79000,142089000,2900000000,100
1783904868,79000,142070000,2900000000,100
1783904869,81000,142086000,2900000000,100
1783904870,80000,142067000,2900000000,100
1783904871,78000,135052000,2900000000,98
1783904872,78000,124070000,2900000000,99
1783904873,78000,120087000,2900000000,99
1783904874,78000,119061000,2900000000,99
1783904875,77000,118081000,2900000000,99
1783904876,76000,118065000,2900000000,98
1783904877,78000,118070000,2900000000,99
1783904878,79000,119014000,2900000000,99
1783904879,79000,119023000,2900000000,99
1783904880,78000,119015000,2900000000,99
1783904881,78000,119008000,2900000000,99
1783904882,78000,119021000,2900000000,99
1783904883,78000,119027000,2900000000,99
1783904884,78000,119020000,2900000000,99
1783904885,78000,119020000,2900000000,99
1783904886,77000,119030000,2900000000,99
