unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783904984,50000,17006000,2859000000,0
1783904985,50000,28068000,2885000000,1
1783904986,50000,31070000,2894000000,2
1783904987,50000,30050000,2898000000,5
1783904988,50000,30011000,2899000000,6
1783904989,50000,31053000,2900000000,6
1783904990,50000,31035000,2900000000,7
1783904991,50000,30022000,2900000000,7
1783904992,50000,30048000,2900000000,7
1783904993,50000,30002000,2900000000,7
1783904994,49000,30018000,2900000000,7
1783904995,50000,29093000,2900000000,7
1783904996,50000,34006000,2900000000,7
1783904997,50000,33041000,2900000000,7
1783904998,50000,31054000,2900000000,7
1783904999,50000,30064000,2900000000,7
1783905000,49000,30022000,2900000000,7
1783905001,49000,30051000,2900000000,7
1783905002,50000,30099000,2900000000,7
1783905003,50000,31051000,2900000000,7
1783905004,50000,30070000,2900000000,7
1783905005,50000,30078000,2900000000,7
1783905006,50000,30032000,2900000000,7
1783905007,50000,30007000,2900000000,7
1783905008,50000,29093000,2900000000,7
1783905009,49000,30015000,2900000000,7
1783905010,49000,34031000,2900000000,7
1783905011,49000,35009000,2900000000,7
1783905012,50000,33055000,2900000000,7
1783905013,50000,32066000,2900000000,7
1783905014,49000,30067000,2900000000,7
1783905015,50000,30048000,2900000000,7
1783905016,50000,30038000,2900000000,7
1783905017,50000,30014000,2900000000,7
1783905018,49000,30019000,2900000000,7
1783905019,49000,30041000,2900000000,8
1783905020,49000,30089000,2900000000,7
1783905021,49000,30035000,2900000000,7
1783905022,58000,38045000,2900000000,12
1783905023,66000,100083000,2900000000,68
1783905024,69000,124087000,2900000000,88
1783905025,71000,133065000,2900000000,96
1783905026,71000,136085000,2900000000,98
1783905027,72000,138070000,2900000000,99
1783905028,73000,139021000,2900000000,100
1783905029,73000,139061000,2900000000,100
1783905030,74000,140023000,2900000000,100
1783905031,76000,140009000,2900000000,100
1783905032,74000,140051000,2900000000,100
1783905033,74000,140073000,2900000000,100
1783905034,74000,140087000,2900000000,100
1783905035,74000,141002000,2900000000,100
1783905036,75000,141032000,2900000000,100
1783905037,71000,125053000,2900000000,97
1783905038,72000,119016000,2900000000,98
1783905039,71000,116079000,2900000000,99
1783905040,71000,116015000,2900000000,99
1783905041,72000,115097000,2900000000,99
1783905042,72000,115078000,2900000000,99
1783905043,72000,115082000,2900000000,99
1783905044,70000,116004000,2900000000,99
1783905045,71000,116081000,2900000000,99
1783905046,73000,118013000,2900000000,99
1783905047,71000,119023000,2900000000,99
1783905048,72000,119063000,2900000000,100
1783905049,73000,119083000,2900000000,100
1783905050,74000,120001000,2900000000,100
1783905051,73000,120005000,2900000000,100
1783905052,71000,119099000,2900000000,100
1783905053,74000,120002000,2900000000,100
1783905054,73000,119099000,2900000000,100
1783905055,78000,128045000,2900000000,99
1783905056,78000,137090000,2900000000,100
1783905057,79000,141022000,2900000000,100
1783905058,79000,142087000,2900000000,100
1783905059,79000,143075000,2900000000,100
1783905060,79000,144022000,2900000000,100
1783905061,79000,143078000,2900000000,100
1783905062,79000,144035000,2900000000,100
1783905063,81000,144056000,2900000000,100
1783905064,81000,144035000,2900000000,100
1783905066,80000,144064000,2900000000,100
1783905067,81000,144075000,2900000000,100
1783905068,79000,144079000,2900000000,100
1783905069,80000,144087000,2900000000,100
1783905070,81000,145007000,2900000000,100
1783905071,80000,144088000,2900000000,100
1783905072,82000,145063000,2900000000,100
1783905073,83000,146019000,2900000000,100
1783905074,81000,145073000,2900000000,100
1783905075,78000,136092000,2900000000,98
1783905076,78000,129017000,2900000000,99
1783905077,78000,125071000,2900000000,99
1783905078,76000,124038000,2900000000,99
1783905079,79000,124049000,2900000000,99
1783905080,78000,124012000,2900000000,99
1783905081,77000,124024000,2900000000,99
1783905082,76000,124035000,2900000000,99
1783905083,77000,124047000,2900000000,99
1783905084,77000,124065000,2900000000,99
1783905085,79000,124073000,2900000000,99
1783905086,79000,124072000,2900000000,99
1783905087,80000,124089000,2900000000,99
1783905088,80000,124090000,2900000000,99
1783905089,79000,124095000,2900000000,99
1783905090,78000,125028000,2900000000,99
1783905091,79000,125018000,2900000000,99
1783905092,80000,125001000,2900000000,99
1783905093,81000,125042000,2900000000,99
1783905094,79000,125022000,2900000000,99
1783905095,78000,125042000,2900000000,99
1783905096,79000,125055000,2900000000,99
1783905097,78000,125059000,2900000000,99
