unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783904343,50000,19051000,2594000000,0
1783904344,49000,30047000,2788000000,1
1783904345,50000,34049000,2859000000,2
1783904346,49000,32038000,2885000000,5
1783904347,50000,31014000,2894000000,6
1783904348,50000,30069000,2898000000,6
1783904349,49000,30063000,2899000000,7
1783904350,50000,30076000,2900000000,7
1783904351,50000,30056000,2900000000,7
1783904352,49000,30030000,2900000000,7
1783904353,50000,30030000,2900000000,7
1783904354,50000,29088000,2900000000,7
1783904355,49000,29092000,2900000000,7
1783904356,49000,30027000,2900000000,7
1783904357,49000,31006000,2900000000,7
1783904358,50000,31004000,2900000000,7
1783904359,49000,38007000,2900000000,6
1783904360,49000,34006000,2900000000,7
1783904361,49000,32001000,2900000000,7
1783904362,49000,31085000,2900000000,7
1783904363,50000,31082000,2900000000,7
1783904364,49000,35014000,2900000000,7
1783904365,49000,32089000,2900000000,7
1783904366,49000,33025000,2900000000,7
1783904367,49000,33036000,2900000000,7
1783904368,49000,31034000,2900000000,7
1783904369,49000,30083000,2900000000,7
1783904370,49000,30011000,2900000000,7
1783904371,49000,30018000,2900000000,7
1783904372,49000,30017000,2900000000,7
1783904373,50000,29090000,2900000000,7
1783904374,49000,30034000,2900000000,7
1783904375,49000,30087000,2900000000,7
1783904376,49000,30032000,2900000000,7
1783904377,49000,30038000,2900000000,7
1783904378,49000,31050000,2900000000,7
1783904379,49000,31090000,2900000000,7
1783904380,49000,31052000,2900000000,7
1783904381,49000,32090000,2900000000,6
1783904382,65000,84059000,2900000000,53
1783904383,69000,117069000,2900000000,83
1783904384,70000,130010000,2900000000,94
1783904385,71000,134054000,2900000000,98
1783904386,73000,136045000,2900000000,99
1783904387,73000,137084000,2900000000,100
1783904388,73000,138019000,2900000000,100
1783904389,74000,138047000,2900000000,100
1783904390,73000,138076000,2900000000,100
1783904391,74000,138068000,2900000000,100
1783904392,74000,139034000,2900000000,100
1783904393,74000,139063000,2900000000,100
1783904394,74000,139085000,2900000000,100
1783904395,76000,140057000,2900000000,100
1783904396,76000,140057000,2900000000,100
1783904397,75000,140037000,2900000000,100
1783904398,76000,140032000,2900000000,100
1783904399,76000,140098000,2900000000,100
1783904400,76000,140033000,2900000000,100
1783904401,77000,140074000,2900000000,100
1783904402,76000,140082000,2900000000,100
1783904403,76000,140069000,2900000000,100
1783904404,77000,141036000,2900000000,100
1783904405,77000,141016000,2900000000,100
1783904406,78000,141001000,2900000000,100
1783904407,78000,141054000,2900000000,100
1783904408,78000,141029000,2900000000,100
1783904409,78000,141057000,2900000000,100
1783904411,78000,141070000,2900000000,100
1783904412,75000,129033000,2900000000,97
1783904413,73000,125089000,2900000000,98
1783904414,74000,124051000,2900000000,99
1783904415,76000,124061000,2900000000,99
1783904416,76000,124040000,2900000000,99
1783904417,75000,124034000,2900000000,99
1783904418,74000,124038000,2900000000,99
1783904419,76000,124041000,2900000000,99
1783904420,74000,124028000,2900000000,99
1783904421,75000,124045000,2900000000,99
1783904422,76000,124067000,2900000000,99
1783904423,76000,124080000,2900000000,99
1783904424,77000,125008000,2900000000,99
1783904425,77000,125006000,2900000000,99
1783904426,76000,125002000,2900000000,99
1783904427,74000,124079000,2900000000,99
1783904428,76000,125002000,2900000000,99
1783904429,77000,125074000,2900000000,99
1783904430,78000,125054000,2900000000,99
1783904431,75000,125030000,2900000000,99
1783904432,77000,125032000,2900000000,99
1783904433,77000,125053000,2900000000,99
1783904434,79000,125096000,2900000000,99
1783904435,77000,125097000,2900000000,99
1783904436,77000,126035000,2900000000,99
1783904437,76000,126021000,2900000000,99
1783904438,78000,126016000,2900000000,99
1783904439,78000,125096000,2900000000,99
1783904440,78000,126027000,2900000000,99
1783904441,79000,126029000,2900000000,99
1783904442,78000,126060000,2900000000,99
1783904443,80000,126055000,2900000000,99
1783904444,76000,126052000,2900000000,99
