unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783903916,50000,22038000,2899000000,0
1783903917,49000,30021000,2900000000,1
1783903918,50000,34002000,2900000000,2
1783903919,50000,35060000,2900000000,5
1783903920,50000,33052000,2900000000,6
1783903921,50000,32053000,2900000000,6
1783903922,50000,32044000,2900000000,7
1783903923,50000,31077000,2900000000,7
1783903924,50000,31020000,2900000000,7
1783903925,50000,30077000,2900000000,7
1783903926,50000,30032000,2900000000,7
1783903927,50000,30024000,2900000000,7
1783903928,50000,30019000,2900000000,7
1783903929,50000,31003000,2900000000,7
1783903930,50000,30065000,2900000000,7
1783903931,49000,30021000,2900000000,7
1783903932,50000,30038000,2900000000,7
1783903933,49000,36095000,2900000000,7
1783903934,50000,37007000,2900000000,7
1783903935,50000,33068000,2900000000,7
1783903936,50000,34092000,2900000000,7
1783903937,50000,36003000,2900000000,7
1783903938,50000,32043000,2900000000,7
1783903939,50000,32031000,2900000000,7
1783903940,50000,31000000,2900000000,7
1783903941,50000,30048000,2900000000,7
1783903942,50000,30003000,2900000000,7
1783903943,49000,29097000,2900000000,7
1783903944,49000,30011000,2900000000,7
1783903945,49000,30023000,2900000000,7
1783903946,50000,29079000,2900000000,7
1783903947,50000,29092000,2900000000,7
1783903948,49000,30025000,2900000000,7
1783903949,49000,30002000,2900000000,7
1783903950,49000,31036000,2900000000,7
1783903951,49000,30053000,2900000000,7
1783903952,50000,30026000,2900000000,7
1783903953,49000,30037000,2900000000,7
1783903954,60000,57088000,2900000000,31
1783903955,60000,98027000,2900000000,74
1783903956,59000,105087000,2900000000,90
1783903957,67000,119072000,2900000000,96
1783903958,65000,123023000,2900000000,97
1783903959,65000,118008000,2900000000,99
1783903960,65000,114064000,2900000000,99
1783903961,70000,124007000,2900000000,99
1783903962,71000,131096000,2900000000,100
1783903963,72000,134063000,2900000000,100
1783903964,69000,125013000,2900000000,99
1783903965,68000,121087000,2900000000,99
1783903966,70000,120066000,2900000000,99
1783903967,69000,120022000,2900000000,99
1783903969,72000,129074000,2900000000,99
1783903970,72000,134090000,2900000000,100
1783903971,72000,136098000,2900000000,100
1783903972,74000,137097000,2900000000,100
1783903973,73000,138056000,2900000000,100
1783903974,72000,127015000,2900000000,98
1783903975,72000,121000000,2900000000,98
1783903976,70000,118081000,2900000000,98
1783903977,72000,118001000,2900000000,98
1783903978,71000,117067000,2900000000,98
1783903979,72000,117055000,2900000000,98
1783903980,73000,117071000,2900000000,98
1783903981,76000,124077000,2900000000,97
1783903982,74000,134029000,2900000000,99
1783903983,75000,137068000,2900000000,99
1783903984,76000,139003000,2900000000,100
1783903985,77000,139057000,2900000000,100
1783903986,76000,139043000,2900000000,100
1783903987,71000,121036000,2900000000,98
1783903988,70000,109068000,2900000000,98
1783903989,70000,105099000,2900000000,98
1783903990,72000,105008000,2900000000,99
1783903991,72000,114060000,2900000000,99
1783903992,71000,118000000,2900000000,99
1783903993,72000,119025000,2900000000,100
1783903994,72000,119035000,2900000000,100
1783903995,73000,119085000,2900000000,100
1783903996,77000,128062000,2900000000,100
1783903997,77000,136088000,2900000000,100
1783903998,79000,139073000,2900000000,100
1783903999,78000,141014000,2900000000,100
1783904000,77000,141012000,2900000000,100
1783904001,79000,141063000,2900000000,100
1783904002,78000,141066000,2900000000,100
1783904003,78000,141086000,2900000000,100
1783904004,74000,122098000,2900000000,98
1783904005,74000,113009000,2900000000,98
1783904006,73000,109074000,2900000000,98
1783904007,73000,108048000,2900000000,98
1783904008,73000,108078000,2900000000,99
1783904009,74000,113055000,2900000000,99
1783904010,75000,117055000,2900000000,100
1783904011,74000,119017000,2900000000,100
1783904012,74000,119082000,2900000000,100
1783904013,76000,119083000,2900000000,100
1783904014,76000,119099000,2900000000,100
1783904015,80000,132047000,2900000000,100
1783904016,79000,138098000,2900000000,100
1783904017,81000,141036000,2900000000,100
1783904018,80000,142025000,2900000000,100
1783904019,81000,142077000,2900000000,100
1783904020,80000,143014000,2900000000,100
1783904021,79000,143044000,2900000000,100
1783904022,79000,143007000,2900000000,100
1783904023,81000,143070000,2900000000,100
1783904024,82000,143070000,2900000000,100
1783904025,76000,132060000,2900000000,98
1783904027,77000,120029000,2900000000,98
1783904028,76000,115092000,2900000000,98
1783904029,75000,114040000,2900000000,99
1783904030,75000,113097000,2900000000,98
1783904031,77000,113073000,2900000000,99
1783904032,76000,113082000,2900000000,99
1783904033,76000,114027000,2900000000,99
1783904034,77000,114074000,2900000000,99
1783904035,78000,116099000,2900000000,100
1783904036,77000,119003000,2900000000,100
1783904037,77000,119056000,2900000000,100
1783904038,76000,119092000,2900000000,100
1783904039,78000,119091000,2900000000,100
