unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783904136,49000,19028000,2899000000,0
1783904137,49000,29016000,2900000000,1
1783904138,50000,31034000,2900000000,2
1783904139,50000,30087000,2900000000,5
1783904140,50000,30044000,2900000000,6
1783904141,50000,30004000,2900000000,7
1783904142,50000,30040000,2900000000,7
1783904143,50000,30000000,2900000000,7
1783904144,49000,30015000,2900000000,7
1783904145,50000,30026000,2900000000,7
1783904146,50000,30065000,2900000000,7
1783904147,50000,31069000,2900000000,7
1783904148,50000,31030000,2900000000,7
1783904149,50000,32034000,2900000000,7
1783904150,50000,33000000,2900000000,7
1783904151,50000,31001000,2900000000,7
1783904152,50000,33074000,2900000000,7
1783904153,50000,31009000,2900000000,7
1783904154,49000,30086000,2900000000,7
1783904155,50000,30078000,2900000000,7
1783904156,50000,30078000,2900000000,7
1783904157,50000,31025000,2900000000,7
1783904158,50000,30071000,2900000000,7
1783904159,50000,33085000,2900000000,7
1783904160,50000,31081000,2900000000,7
1783904161,50000,30094000,2900000000,7
1783904162,50000,30016000,2900000000,7
1783904163,50000,30009000,2900000000,7
1783904164,50000,30061000,2900000000,7
1783904165,49000,30046000,2900000000,7
1783904166,50000,30024000,2900000000,7
1783904167,49000,33036000,2900000000,7
1783904168,50000,35059000,2900000000,7
1783904169,49000,33098000,2900000000,7
1783904170,49000,32018000,2900000000,7
1783904171,50000,31016000,2900000000,7
1783904172,49000,30089000,2900000000,7
1783904173,49000,30047000,2900000000,7
1783904174,61000,50052000,2900000000,23
1783904175,67000,105046000,2900000000,72
1783904176,69000,126060000,2900000000,90
1783904177,71000,134076000,2900000000,96
1783904178,72000,137023000,2900000000,99
1783904179,73000,139015000,2900000000,99
1783904180,74000,140018000,2900000000,100
1783904181,73000,139085000,2900000000,100
1783904182,75000,140048000,2900000000,100
1783904183,74000,141003000,2900000000,100
1783904184,75000,141000000,2900000000,100
1783904185,75000,141005000,2900000000,100
1783904186,75000,141052000,2900000000,100
1783904187,75000,141086000,2900000000,100
1783904188,76000,141051000,2900000000,100
1783904189,71000,124083000,2900000000,98
1783904190,70000,118049000,2900000000,99
1783904191,70000,116057000,2900000000,99
1783904192,72000,115084000,2900000000,99
1783904194,72000,116006000,2900000000,99
1783904195,72000,116019000,2900000000,99
1783904196,72000,116003000,2900000000,99
1783904197,71000,116009000,2900000000,99
1783904198,73000,116084000,2900000000,99
1783904199,73000,117022000,2900000000,99
1783904200,73000,119005000,2900000000,100
1783904201,71000,119064000,2900000000,100
1783904202,73000,119084000,2900000000,100
1783904203,72000,119096000,2900000000,100
1783904204,73000,120002000,2900000000,100
1783904205,74000,120004000,2900000000,100
1783904206,73000,120001000,2900000000,100
1783904207,74000,120001000,2900000000,100
1783904208,79000,132091000,2900000000,100
1783904209,78000,139099000,2900000000,100
1783904210,79000,142086000,2900000000,100
1783904211,81000,143078000,2900000000,100
1783904212,79000,143078000,2900000000,100
1783904213,79000,144038000,2900000000,100
1783904214,79000,144061000,2900000000,100
1783904215,80000,144065000,2900000000,100
1783904216,80000,144086000,2900000000,100
1783904217,80000,145016000,2900000000,100
1783904218,81000,145033000,2900000000,100
1783904219,79000,144093000,2900000000,100
1783904220,80000,145034000,2900000000,100
1783904221,81000,145044000,2900000000,100
1783904222,82000,145045000,2900000000,100
1783904223,81000,145078000,2900000000,100
1783904224,82000,146006000,2900000000,100
1783904225,82000,145085000,2900000000,100
1783904226,83000,145099000,2900000000,100
1783904227,76000,132084000,2900000000,99
1783904228,76000,127058000,2900000000,99
1783904229,78000,125043000,2900000000,99
1783904230,79000,124028000,2900000000,99
1783904231,78000,124048000,2900000000,99
1783904232,77000,124025000,2900000000,99
1783904233,79000,124037000,2900000000,99
1783904234,79000,124092000,2900000000,99
1783904235,76000,124078000,2900000000,99
1783904236,77000,124056000,2900000000,99
1783904237,79000,124064000,2900000000,99
1783904238,78000,124062000,2900000000,99
1783904239,79000,125022000,2900000000,99
1783904240,79000,124095000,2900000000,99
1783904241,79000,124094000,2900000000,99
1783904242,79000,125039000,2900000000,99
1783904243,80000,125024000,2900000000,99
1783904244,79000,125024000,2900000000,99
1783904245,79000,125031000,2900000000,99
1783904246,77000,125035000,2900000000,99
1783904247,78000,125034000,2900000000,99
1783904248,78000,125016000,2900000000,99
1783904250,67000,119088000,2900000000,94
