unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783906135,50000,18014000,2894000000,0
1783906136,50000,31012000,2898000000,0
1783906137,50000,35006000,2899000000,1
1783906138,50000,32003000,2900000000,5
1783906139,49000,31022000,2900000000,6
1783906140,50000,30067000,2900000000,6
1783906141,50000,30077000,2900000000,7
1783906142,50000,30053000,2900000000,7
1783906143,50000,30075000,2900000000,7
1783906144,50000,31057000,2900000000,7
1783906145,50000,37030000,2900000000,8
1783906146,50000,35060000,2900000000,7
1783906147,49000,33024000,2900000000,7
1783906148,49000,31071000,2900000000,7
1783906149,49000,32081000,2900000000,7
1783906150,50000,32069000,2900000000,7
1783906151,50000,32007000,2900000000,7
1783906152,49000,32036000,2900000000,7
1783906153,50000,32031000,2900000000,7
1783906154,49000,32006000,2900000000,7
1783906156,49000,32040000,2900000000,7
1783906157,49000,32074000,2900000000,7
1783906158,49000,31064000,2900000000,7
1783906159,50000,31057000,2900000000,7
1783906160,50000,32051000,2900000000,7
1783906161,49000,31022000,2900000000,7
1783906162,49000,30060000,2900000000,7
1783906163,49000,30065000,2900000000,7
1783906164,49000,30088000,2900000000,7
1783906165,49000,30091000,2900000000,7
1783906166,49000,31064000,2900000000,7
1783906167,49000,31062000,2900000000,7
1783906168,49000,30081000,2900000000,7
1783906169,49000,30097000,2900000000,7
1783906170,49000,31005000,2900000000,7
1783906171,49000,31020000,2900000000,7
1783906172,49000,30095000,2900000000,7
1783906173,49000,31028000,2900000000,7
1783906174,62000,48073000,2900000000,23
1783906175,60000,89026000,2900000000,69
1783906176,60000,102001000,2900000000,88
1783906177,61000,109032000,2900000000,96
1783906178,72000,124035000,2900000000,98
1783906179,64000,122097000,2900000000,98
1783906180,66000,121012000,2900000000,99
1783906181,65000,120037000,2900000000,100
1783906182,66000,120013000,2900000000,100
1783906183,74000,129023000,2900000000,100
1783906184,75000,133010000,2900000000,100
1783906185,67000,128057000,2900000000,98
1783906186,67000,123018000,2900000000,99
1783906187,68000,121018000,2900000000,100
1783906188,67000,120040000,2900000000,100
1783906189,68000,120018000,2900000000,100
1783906190,68000,120010000,2900000000,100
1783906191,77000,128018000,2900000000,100
1783906192,76000,133079000,2900000000,100
1783906193,78000,135083000,2900000000,100
1783906194,77000,136013000,2900000000,100
1783906195,79000,137002000,2900000000,100
1783906196,70000,122076000,2900000000,99
1783906197,71000,112026000,2900000000,99
1783906198,71000,107090000,2900000000,99
1783906199,72000,108032000,2900000000,99
1783906200,71000,115072000,2900000000,100
1783906201,71000,118042000,2900000000,100
1783906202,70000,119036000,2900000000,100
1783906203,69000,119076000,2900000000,100
1783906204,70000,119098000,2900000000,100
1783906205,81000,128093000,2900000000,100
1783906206,79000,136043000,2900000000,100
1783906207,81000,137057000,2900000000,100
1783906208,79000,138010000,2900000000,100
1783906209,81000,138087000,2900000000,100
1783906210,78000,139067000,2900000000,100
1783906211,69000,109089000,2900000000,99
1783906212,68000,95038000,2900000000,99
1783906213,71000,110009000,2900000000,100
1783906214,71000,116044000,2900000000,100
1783906215,70000,118068000,2900000000,100
1783906216,72000,119052000,2900000000,100
1783906217,70000,119080000,2900000000,100
1783906218,71000,119091000,2900000000,100
1783906219,71000,119097000,2900000000,100
1783906220,81000,122045000,2900000000,100
1783906221,82000,133090000,2900000000,100
1783906222,82000,139042000,2900000000,100
1783906223,81000,140094000,2900000000,100
1783906224,81000,140068000,2900000000,100
1783906225,83000,141010000,2900000000,100
1783906226,82000,140072000,2900000000,100
1783906227,83000,141084000,2900000000,100
1783906228,71000,120008000,2900000000,99
1783906229,70000,100022000,2900000000,99
1783906230,72000,96078000,2900000000,99
1783906231,73000,111052000,2900000000,100
1783906232,73000,116089000,2900000000,100
1783906233,73000,118087000,2900000000,100
1783906234,73000,119063000,2900000000,100
1783906235,74000,119087000,2900000000,100
1783906236,72000,119093000,2900000000,100
1783906237,73000,119096000,2900000000,100
1783906238,74000,119098000,2900000000,100
1783906239,73000,119099000,2900000000,100
1783906240,84000,132093000,2900000000,100
1783906241,83000,139009000,2900000000,100
1783906242,84000,141046000,2900000000,100
1783906243,84000,142057000,2900000000,100
1783906244,84000,143013000,2900000000,100
1783906245,83000,143016000,2900000000,100
1783906246,84000,142063000,2900000000,100
1783906247,84000,143065000,2900000000,100
1783906248,85000,142098000,2900000000,100
1783906249,85000,144024000,2900000000,100
1783906250,74000,117093000,2900000000,99
1783906251,73000,101005000,2900000000,99
1783906253,73000,95039000,2900000000,99
1783906254,75000,107032000,2900000000,100
1783906255,75000,115035000,2900000000,100
1783906256,75000,118029000,2900000000,100
1783906257,74000,119044000,2900000000,100
1783906258,75000,119076000,2900000000,100
1783906259,75000,119091000,2900000000,100
1783906260,75000,119097000,2900000000,100
1783906261,75000,120001000,2900000000,100
1783906262,75000,119099000,2900000000,100
1783906263,74000,119099000,2900000000,100
1783906264,75000,120000000,2900000000,100
