unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783906367,50000,18049000,2594000000,0
1783906368,49000,34081000,2788000000,0
1783906369,49000,38084000,2859000000,0
1783906370,50000,34046000,2885000000,4
1783906371,50000,32007000,2894000000,6
1783906372,50000,31098000,2898000000,6
1783906373,50000,31084000,2899000000,7
1783906374,50000,31066000,2900000000,7
1783906375,50000,31036000,2900000000,7
1783906376,49000,31055000,2900000000,7
1783906377,50000,31071000,2900000000,7
1783906378,49000,30089000,2900000000,7
1783906379,49000,30069000,2900000000,7
1783906380,50000,30065000,2900000000,7
1783906381,50000,30082000,2900000000,7
1783906382,50000,30075000,2900000000,7
1783906383,50000,30097000,2900000000,7
1783906384,50000,30092000,2900000000,7
1783906385,50000,31006000,2900000000,7
1783906386,50000,30078000,2900000000,7
1783906387,50000,31036000,2900000000,7
1783906388,49000,31099000,2900000000,7
1783906389,50000,32066000,2900000000,7
1783906390,49000,32022000,2900000000,7
1783906391,50000,31095000,2900000000,7
1783906392,49000,31068000,2900000000,7
1783906393,50000,31025000,2900000000,7
1783906394,50000,30068000,2900000000,7
1783906395,49000,30097000,2900000000,7
1783906396,49000,31043000,2900000000,7
1783906397,50000,31082000,2900000000,7
1783906398,49000,32087000,2900000000,7
1783906399,50000,37008000,2900000000,7
1783906400,50000,35077000,2900000000,7
1783906401,49000,35012000,2900000000,7
1783906402,50000,33018000,2900000000,7
1783906403,50000,32089000,2900000000,7
1783906404,49000,33030000,2900000000,7
1783906405,51000,34010000,2900000000,7
1783906406,69000,90077000,2900000000,62
1783906407,70000,116038000,2900000000,86
1783906408,72000,127087000,2900000000,95
1783906409,74000,132000000,2900000000,98
1783906410,72000,134014000,2900000000,99
1783906411,76000,135081000,2900000000,100
1783906412,74000,134080000,2900000000,100
1783906413,75000,135044000,2900000000,100
1783906414,73000,135006000,2900000000,100
1783906415,76000,137026000,2900000000,100
1783906416,78000,138001000,2900000000,100
1783906417,76000,136063000,2900000000,100
1783906418,77000,137016000,2900000000,100
1783906419,76000,136055000,2900000000,100
1783906420,77000,137014000,2900000000,100
1783906421,68000,114057000,2900000000,98
1783906422,66000,101017000,2900000000,99
1783906423,70000,107025000,2900000000,99
1783906424,70000,115036000,2900000000,100
1783906425,71000,118025000,2900000000,100
1783906426,68000,119034000,2900000000,100
1783906427,70000,119076000,2900000000,100
1783906428,69000,119091000,2900000000,100
1783906429,70000,119096000,2900000000,100
1783906430,68000,119095000,2900000000,100
1783906431,70000,120000000,2900000000,100
1783906432,71000,119098000,2900000000,100
1783906433,73000,120003000,2900000000,100
1783906434,70000,120004000,2900000000,100
1783906435,69000,120000000,2900000000,100
1783906436,71000,119097000,2900000000,100
1783906437,72000,120001000,2900000000,100
1783906438,72000,119099000,2900000000,100
1783906439,72000,120000000,2900000000,100
1783906440,71000,119097000,2900000000,100
1783906441,71000,119099000,2900000000,100
1783906442,82000,129074000,2900000000,100
1783906443,79000,137027000,2900000000,100
1783906444,83000,139072000,2900000000,100
1783906445,81000,140029000,2900000000,100
1783906446,82000,140081000,2900000000,100
1783906447,81000,140047000,2900000000,100
1783906448,84000,140063000,2900000000,100
1783906450,84000,140052000,2900000000,100
1783906451,81000,141014000,2900000000,100
1783906452,81000,140071000,2900000000,100
1783906453,83000,140086000,2900000000,100
1783906454,83000,141057000,2900000000,100
1783906455,84000,141031000,2900000000,100
1783906456,83000,141046000,2900000000,100
1783906457,85000,141069000,2900000000,100
1783906458,83000,141001000,2900000000,100
1783906459,84000,142013000,2900000000,100
1783906460,84000,142047000,2900000000,100
1783906461,85000,142060000,2900000000,100
1783906462,86000,143032000,2900000000,100
1783906463,75000,125084000,2900000000,99
1783906464,74000,108008000,2900000000,99
1783906465,75000,101070000,2900000000,99
1783906466,75000,99070000,2900000000,99
1783906467,76000,108058000,2900000000,100
1783906468,76000,115085000,2900000000,100
1783906469,75000,118045000,2900000000,100
1783906470,74000,119041000,2900000000,100
1783906471,76000,119078000,2900000000,100
1783906472,75000,119093000,2900000000,100
1783906473,75000,119098000,2900000000,100
1783906474,75000,119094000,2900000000,100
1783906475,76000,120000000,2900000000,100
1783906476,76000,119099000,2900000000,100
1783906477,74000,119098000,2900000000,100
1783906478,76000,119097000,2900000000,100
1783906479,75000,119099000,2900000000,100
1783906480,77000,120005000,2900000000,100
1783906481,76000,120000000,2900000000,100
1783906482,75000,120005000,2900000000,100
1783906483,76000,120009000,2900000000,100
1783906484,76000,119096000,2900000000,100
1783906485,75000,119095000,2900000000,100
1783906486,77000,120002000,2900000000,100
1783906487,77000,119098000,2900000000,100
1783906488,78000,120000000,2900000000,100
