unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783903696,49000,24029000,2894000000,0
1783903697,49000,31081000,2898000000,1
1783903698,50000,35013000,2899000000,2
1783903699,49000,36026000,2900000000,5
1783903700,50000,33099000,2900000000,6
1783903701,50000,33044000,2900000000,6
1783903702,50000,33017000,2900000000,7
1783903703,49000,33021000,2900000000,7
1783903704,50000,33056000,2900000000,7
1783903705,50000,33019000,2900000000,7
1783903706,49000,33097000,2900000000,7
1783903707,50000,35089000,2900000000,7
1783903708,50000,36052000,2900000000,7
1783903709,50000,32066000,2900000000,7
1783903710,49000,31046000,2900000000,7
1783903711,49000,30085000,2900000000,7
1783903712,49000,30057000,2900000000,7
1783903713,49000,31057000,2900000000,7
1783903714,50000,31099000,2900000000,7
1783903715,49000,31029000,2900000000,7
1783903716,50000,30053000,2900000000,7
1783903717,50000,30085000,2900000000,7
1783903718,49000,30037000,2900000000,7
1783903719,49000,31075000,2900000000,7
1783903720,49000,32030000,2900000000,7
1783903721,49000,32030000,2900000000,7
1783903722,50000,32042000,2900000000,7
1783903723,49000,32038000,2900000000,7
1783903724,49000,32052000,2900000000,7
1783903725,50000,32084000,2900000000,7
1783903726,50000,32075000,2900000000,7
1783903727,49000,32043000,2900000000,7
1783903728,49000,33040000,2900000000,7
1783903729,49000,35087000,2900000000,7
1783903730,50000,37071000,2900000000,7
1783903731,50000,35038000,2900000000,7
1783903732,49000,33038000,2900000000,7
1783903733,49000,32072000,2900000000,7
1783903734,49000,35018000,2900000000,5
1783903735,65000,94084000,2900000000,61
1783903736,68000,122000000,2900000000,86
1783903737,70000,132026000,2900000000,95
1783903738,72000,136051000,2900000000,98
1783903739,72000,137095000,2900000000,99
1783903740,73000,138092000,2900000000,100
1783903741,73000,139054000,2900000000,100
1783903742,74000,139062000,2900000000,100
1783903743,75000,139069000,2900000000,100
1783903744,74000,140020000,2900000000,100
1783903745,75000,140021000,2900000000,100
1783903746,73000,140049000,2900000000,100
1783903747,76000,140096000,2900000000,100
1783903748,75000,140065000,2900000000,100
1783903750,75000,141009000,2900000000,100
1783903751,76000,141046000,2900000000,100
1783903752,77000,140060000,2900000000,100
1783903753,76000,141024000,2900000000,100
1783903754,78000,141045000,2900000000,100
1783903755,77000,141032000,2900000000,100
1783903756,76000,141037000,2900000000,100
1783903757,76000,141069000,2900000000,100
1783903758,77000,141057000,2900000000,100
1783903759,77000,141066000,2900000000,100
1783903760,77000,142027000,2900000000,100
1783903761,77000,141083000,2900000000,100
1783903762,78000,142020000,2900000000,100
1783903763,77000,142066000,2900000000,100
1783903764,78000,142026000,2900000000,100
1783903765,79000,143008000,2900000000,100
1783903766,79000,143027000,2900000000,100
1783903767,79000,142098000,2900000000,100
1783903768,79000,143093000,2900000000,100
1783903769,79000,143099000,2900000000,100
1783903770,80000,144012000,2900000000,100
1783903771,80000,144013000,2900000000,100
1783903772,79000,144081000,2900000000,100
1783903773,80000,144010000,2900000000,100
1783903774,76000,134081000,2900000000,98
1783903775,75000,126007000,2900000000,99
1783903776,78000,122035000,2900000000,99
1783903777,77000,121054000,2900000000,99
1783903778,76000,120089000,2900000000,99
1783903779,76000,120072000,2900000000,99
1783903780,76000,121025000,2900000000,99
1783903781,77000,121041000,2900000000,99
1783903782,76000,121026000,2900000000,99
1783903783,75000,121023000,2900000000,99
1783903784,74000,121034000,2900000000,99
1783903785,76000,120078000,2900000000,99
1783903786,75000,121021000,2900000000,99
1783903787,76000,121074000,2900000000,99
1783903788,75000,121047000,2900000000,99
1783903789,75000,121065000,2900000000,99
1783903790,76000,121037000,2900000000,99
1783903791,78000,121047000,2900000000,99
1783903792,77000,122002000,2900000000,99
1783903793,77000,122019000,2900000000,99
1783903794,76000,122001000,2900000000,99
1783903795,77000,122051000,2900000000,99
1783903796,77000,122033000,2900000000,99
1783903798,76000,121097000,2900000000,99
1783903799,77000,122016000,2900000000,99
1783903800,78000,122055000,2900000000,99
1783903801,78000,122093000,2900000000,99
1783903802,78000,122067000,2900000000,99
1783903803,77000,122065000,2900000000,99
1783903804,78000,122094000,2900000000,99
1783903805,78000,122084000,2900000000,99
1783903806,79000,122089000,2900000000,99
1783903807,79000,123023000,2900000000,99
1783903808,78000,122075000,2900000000,99
1783903809,78000,123066000,2900000000,99
1783903810,77000,123050000,2900000000,99
1783903811,79000,123039000,2900000000,99
1783903812,78000,123030000,2900000000,99
1783903813,78000,123039000,2900000000,99
1783903814,80000,123074000,2900000000,99
1783903815,80000,123042000,2900000000,99
1783903816,78000,123064000,2900000000,99
1783903817,81000,123065000,2900000000,99
