unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783903055,49000,20037000,2594000000,0
1783903056,49000,30076000,2788000000,1
1783903057,50000,42001000,2859000000,10
1783903058,50000,39011000,2885000000,8
1783903059,50000,37003000,2894000000,7
1783903060,50000,36094000,2898000000,6
1783903061,50000,37054000,2899000000,6
1783903062,50000,34094000,2900000000,6
1783903063,50000,33008000,2900000000,6
1783903064,50000,32046000,2900000000,7
1783903065,50000,33039000,2900000000,7
1783903066,51000,35003000,2900000000,7
1783903067,50000,35034000,2900000000,7
1783903068,50000,34075000,2900000000,7
1783903069,50000,34010000,2900000000,7
1783903070,50000,33096000,2900000000,7
1783903071,50000,33065000,2900000000,7
1783903072,50000,34051000,2900000000,7
1783903073,50000,32085000,2900000000,7
1783903074,50000,32066000,2900000000,7
1783903075,50000,33020000,2900000000,7
1783903076,50000,32090000,2900000000,7
1783903077,50000,32002000,2900000000,7
1783903078,50000,32033000,2900000000,7
1783903079,50000,31070000,2900000000,7
1783903080,50000,31062000,2900000000,7
1783903081,50000,31051000,2900000000,7
1783903082,50000,31059000,2900000000,7
1783903083,50000,31013000,2900000000,7
1783903084,50000,33009000,2900000000,7
1783903085,50000,33022000,2900000000,7
1783903086,50000,38003000,2900000000,7
1783903087,50000,37001000,2900000000,7
1783903088,50000,34012000,2900000000,7
1783903089,50000,32059000,2900000000,7
1783903090,50000,32062000,2900000000,8
1783903091,50000,33091000,2900000000,7
1783903092,50000,32040000,2900000000,7
1783903093,49000,32036000,2900000000,6
1783903094,62000,83022000,2900000000,53
1783903095,59000,97088000,2900000000,82
1783903096,62000,111071000,2900000000,93
1783903097,70000,125089000,2900000000,97
1783903098,65000,119097000,2900000000,98
1783903099,64000,115010000,2900000000,99
1783903100,64000,114081000,2900000000,99
1783903101,70000,128009000,2900000000,99
1783903102,71000,133023000,2900000000,100
1783903103,68000,130024000,2900000000,99
1783903104,69000,123079000,2900000000,99
1783903105,68000,121040000,2900000000,99
1783903106,69000,120051000,2900000000,99
1783903107,71000,121006000,2900000000,99
1783903108,74000,132063000,2900000000,100
1783903109,73000,136032000,2900000000,100
1783903110,73000,137067000,2900000000,100
1783903111,73000,138038000,2900000000,100
1783903112,75000,138068000,2900000000,100
1783903113,71000,123067000,2900000000,96
1783903114,72000,119060000,2900000000,97
1783903115,72000,118020000,2900000000,97
1783903116,71000,117063000,2900000000,98
1783903117,72000,117066000,2900000000,98
1783903118,73000,117082000,2900000000,98
1783903119,72000,117060000,2900000000,98
1783903120,75000,126063000,2900000000,97
1783903121,74000,134082000,2900000000,99
1783903122,75000,137059000,2900000000,99
1783903123,77000,139000000,2900000000,100
1783903124,77000,139041000,2900000000,100
1783903125,77000,138081000,2900000000,100
1783903126,72000,122099000,2900000000,98
1783903127,72000,114099000,2900000000,98
1783903128,72000,111099000,2900000000,98
1783903129,71000,111065000,2900000000,98
1783903130,72000,111058000,2900000000,99
1783903131,74000,112090000,2900000000,99
1783903132,73000,117034000,2900000000,100
1783903133,72000,118092000,2900000000,100
1783903134,73000,119052000,2900000000,100
1783903135,72000,119072000,2900000000,100
1783903136,73000,119080000,2900000000,100
1783903137,78000,125064000,2900000000,100
1783903138,79000,136008000,2900000000,100
1783903139,80000,139057000,2900000000,100
1783903140,77000,140070000,2900000000,100
1783903142,78000,141030000,2900000000,100
1783903143,78000,141064000,2900000000,100
1783903144,79000,141092000,2900000000,100
1783903145,80000,142002000,2900000000,100
1783903146,74000,129093000,2900000000,98
1783903147,75000,120003000,2900000000,99
1783903148,75000,116023000,2900000000,99
1783903149,74000,115053000,2900000000,99
1783903150,74000,114076000,2900000000,99
1783903151,75000,114049000,2900000000,99
1783903152,74000,114080000,2900000000,99
1783903153,77000,115024000,2900000000,99
1783903154,73000,115020000,2900000000,99
1783903155,76000,117061000,2900000000,100
1783903156,75000,118098000,2900000000,100
1783903157,76000,119082000,2900000000,100
1783903158,75000,119082000,2900000000,100
1783903159,78000,120067000,2900000000,99
1783903160,80000,135062000,2900000000,100
1783903161,80000,140016000,2900000000,100
1783903162,82000,141064000,2900000000,100
1783903163,82000,142072000,2900000000,100
1783903164,80000,143009000,2900000000,100
1783903165,80000,143073000,2900000000,100
1783903166,81000,143048000,2900000000,100
1783903167,82000,143065000,2900000000,100
1783903168,82000,143083000,2900000000,100
1783903169,81000,143090000,2900000000,100
1783903170,76000,130052000,2900000000,99
1783903171,76000,123005000,2900000000,99
1783903172,78000,120065000,2900000000,99
1783903173,77000,119061000,2900000000,99
1783903174,78000,119045000,2900000000,99
1783903175,77000,119023000,2900000000,99
1783903176,78000,118060000,2900000000,99
1783903177,76000,118056000,2900000000,99
1783903178,77000,118047000,2900000000,99
1783903179,76000,118069000,2900000000,99
1783903180,77000,118082000,2900000000,99
1783903181,78000,118055000,2900000000,99
1783903182,77000,118082000,2900000000,99
1783903183,78000,119036000,2900000000,99
1783903184,78000,118071000,2900000000,99
1783903185,78000,119009000,2900000000,99
