unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783903289,50000,20068000,2596000000,0
1783903290,50000,29079000,2789000000,1
1783903291,50000,33088000,2859000000,3
1783903292,50000,35088000,2885000000,5
1783903293,50000,33040000,2894000000,6
1783903294,50000,33003000,2898000000,6
1783903295,50000,33077000,2899000000,6
1783903296,50000,34055000,2900000000,7
1783903297,50000,35029000,2900000000,7
1783903298,50000,35042000,2900000000,7
1783903299,50000,36004000,2900000000,7
1783903300,50000,35056000,2900000000,7
1783903301,50000,34053000,2900000000,7
1783903302,50000,33085000,2900000000,7
1783903303,50000,35018000,2900000000,7
1783903304,50000,33072000,2900000000,7
1783903305,49000,33029000,2900000000,7
1783903306,50000,33041000,2900000000,7
1783903307,50000,33063000,2900000000,7
1783903308,50000,33060000,2900000000,7
1783903309,49000,32096000,2900000000,7
1783903310,50000,32094000,2900000000,7
1783903311,50000,32085000,2900000000,7
1783903312,50000,34002000,2900000000,7
1783903313,50000,38051000,2900000000,7
1783903314,50000,34012000,2900000000,7
1783903315,50000,31082000,2900000000,7
1783903316,50000,31003000,2900000000,7
1783903317,50000,30038000,2900000000,7
1783903318,49000,30032000,2900000000,6
1783903319,49000,31052000,2900000000,6
1783903320,50000,31068000,2900000000,7
1783903321,49000,31038000,2900000000,7
1783903322,50000,32026000,2900000000,7
1783903323,50000,32001000,2900000000,7
1783903324,49000,31072000,2900000000,7
1783903325,50000,32015000,2900000000,7
1783903326,50000,31011000,2900000000,7
1783903327,60000,45013000,2900000000,17
1783903328,67000,103083000,2900000000,70
1783903329,69000,125098000,2900000000,89
1783903330,70000,134010000,2900000000,96
1783903331,72000,137019000,2900000000,98
1783903332,72000,139018000,2900000000,99
1783903333,74000,139056000,2900000000,100
1783903334,74000,139081000,2900000000,100
1783903335,73000,140034000,2900000000,100
1783903336,75000,140043000,2900000000,100
1783903337,75000,140069000,2900000000,100
1783903338,74000,141000000,2900000000,100
1783903339,75000,141013000,2900000000,100
1783903340,76000,141024000,2900000000,100
1783903341,76000,141046000,2900000000,100
1783903342,71000,127027000,2900000000,99
1783903343,69000,119072000,2900000000,99
1783903344,69000,116087000,2900000000,99
1783903345,70000,116057000,2900000000,99
1783903346,71000,116048000,2900000000,99
1783903347,70000,116044000,2900000000,99
1783903348,72000,116032000,2900000000,99
1783903349,72000,116063000,2900000000,99
1783903350,70000,117030000,2900000000,99
1783903351,71000,117026000,2900000000,99
1783903352,72000,117092000,2900000000,99
1783903353,72000,119016000,2900000000,100
1783903354,71000,119067000,2900000000,100
1783903355,72000,119066000,2900000000,100
1783903356,72000,120001000,2900000000,100
1783903357,72000,120010000,2900000000,100
1783903358,71000,119078000,2900000000,100
1783903359,72000,119099000,2900000000,100
1783903360,73000,120012000,2900000000,100
1783903361,73000,120018000,2900000000,100
1783903362,79000,125057000,2900000000,99
1783903363,78000,137027000,2900000000,100
1783903364,77000,141037000,2900000000,100
1783903365,79000,143038000,2900000000,100
1783903366,81000,143078000,2900000000,100
1783903367,81000,143097000,2900000000,100
1783903368,81000,144049000,2900000000,100
1783903369,80000,144084000,2900000000,100
1783903371,79000,144072000,2900000000,100
1783903372,79000,144069000,2900000000,100
1783903373,79000,145008000,2900000000,100
1783903374,79000,144058000,2900000000,100
1783903375,80000,144086000,2900000000,100
1783903376,80000,145016000,2900000000,100
1783903377,81000,144075000,2900000000,100
1783903378,81000,145051000,2900000000,100
1783903379,82000,146004000,2900000000,100
1783903380,82000,146018000,2900000000,100
1783903381,81000,146021000,2900000000,100
1783903382,75000,139052000,2900000000,98
1783903383,78000,127058000,2900000000,99
1783903384,77000,122091000,2900000000,99
1783903385,77000,121024000,2900000000,99
1783903386,77000,121007000,2900000000,99
1783903387,77000,121006000,2900000000,99
1783903388,78000,120090000,2900000000,99
1783903389,76000,121004000,2900000000,99
1783903390,76000,120082000,2900000000,99
1783903391,77000,121034000,2900000000,99
1783903392,77000,121020000,2900000000,99
1783903393,76000,120078000,2900000000,99
1783903394,74000,120086000,2900000000,99
1783903395,76000,121026000,2900000000,99
1783903396,76000,121038000,2900000000,99
1783903397,76000,121097000,2900000000,99
1783903398,77000,121099000,2900000000,99
1783903399,77000,121078000,2900000000,99
1783903400,75000,121080000,2900000000,99
1783903401,75000,121000000,2900000000,99
1783903402,77000,121081000,2900000000,99
1783903403,76000,122017000,2900000000,99
1783903404,77000,122021000,2900000000,99
1783903405,76000,121079000,2900000000,99
1783903406,78000,121046000,2900000000,99
