unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783909077,49000,17083000,2595000000,0
1783909078,52000,35003000,2789000000,11
1783909079,59000,53066000,2859000000,32
1783909080,71000,112093000,2885000000,75
1783909081,75000,136029000,2895000000,91
1783909082,72000,142010000,2898000000,95
1783909083,75000,140096000,2899000000,97
1783909084,75000,141017000,2900000000,97
1783909085,75000,141000000,2900000000,97
1783909086,77000,140081000,2900000000,97
1783909087,78000,146004000,2900000000,98
1783909088,78000,149051000,2900000000,99
1783909089,80000,150059000,2900000000,100
1783909090,79000,147043000,2900000000,98
1783909091,79000,146017000,2900000000,98
1783909092,78000,146010000,2900000000,97
1783909093,79000,146017000,2900000000,97
1783909094,79000,146085000,2900000000,97
1783909095,80000,149020000,2900000000,98
1783909096,80000,151070000,2900000000,99
1783909097,81000,152040000,2900000000,100
1783909098,81000,153034000,2900000000,100
1783909099,83000,150084000,2900000000,98
1783909100,82000,151049000,2900000000,98
1783909101,82000,152040000,2900000000,98
1783909102,85000,151079000,2900000000,98
1783909103,85000,152028000,2900000000,98
1783909104,84000,152053000,2900000000,98
1783909105,84000,152012000,2900000000,97
1783909106,84000,153075000,2900000000,99
1783909107,84000,154092000,2900000000,99
1783909109,84000,155055000,2900000000,100
1783909110,84000,155051000,2900000000,100
1783909111,84000,155097000,2900000000,100
1783909112,83000,150051000,2900000000,98
1783909113,85000,148069000,2900000000,98
1783909114,83000,147066000,2900000000,98
1783909115,85000,147063000,2900000000,98
1783909116,84000,147053000,2900000000,98
1783909117,84000,147048000,2900000000,98
1783909118,84000,147035000,2900000000,98
1783909119,85000,147057000,2900000000,98
1783909120,86000,147079000,2900000000,98
